stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
pso-after	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52690944	4	0
pso-after	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53903360	2	6
pso-after	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53837824	2	6
pso-after	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53559296	11	7
pso-after	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53460992	11	7
pso-after	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.08	0.05	0.01	54444032	0	0
pso-after	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.08	0.06	0.01	54607872	0	0
pso-after	caat	sc	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52559872	3	0
pso-after	cat	sc	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52543488	3	0
pso-after	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52674560	4	0
pso-after	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52707328	4	0
pso-after	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.06	0.03	0.01	53706752	2	6
pso-after	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.06	0.03	0.01	53854208	2	6
pso-after	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53673984	8	6
pso-after	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53493760	8	6
pso-after	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	6	0	0.10	0.08	0.01	54378496	24	16
pso-after	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	6	0	0.16	0.13	0.01	54525952	24	16
pso-after	caat	tso	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52477952	4	0
pso-after	cat	tso	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52641792	4	0
pso-after	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52641792	4	0
