backend	repetition	runs	solved	timeouts	ooms	total_cpu_seconds_observed	total_wall_seconds_observed	maximum_peak_rss_bytes	median_peak_rss_bytes
Deagle	r01	725	618	16	10	2945.03184	3135.50303	3.99999795e+09	12890112
GenMC	r01	725	439	210	50	14811.2163	15544.6462	3.99999795e+09	26046464
GenMC+CAAT-PSO	r01	725	384	274	41	18249.672	18719.0866	3.99999795e+09	26345472
GenMC+CAAT-SC	r01	725	428	240	31	16154.4987	16761.5485	3.99999795e+09	26144768
GenMC+CAAT-TSO	r01	725	415	253	31	16696.127	17140.6817	3.99999795e+09	26324992
