baseline	backend	paired_tasks	wall_ratio_geomean	bootstrap_95ci_low	bootstrap_95ci_high	cpu_ratio_geomean	cpu_95ci_low	cpu_95ci_high	memory_ratio_geomean	memory_95ci_low	memory_95ci_high	backend_faster	baseline_faster	ties	exact_sign_p	holm_p
Deagle	GenMC	375	0.195917	0.153459	0.251961	0.171327	0.131583	0.222843	0.987891	0.891646	1.09296	310	65	0	2.24645e-39	8.98579e-39
Deagle	GenMC+CAAT-PSO	330	0.141773	0.11083	0.183126	0.122751	0.0942487	0.16182	0.918423	0.822962	1.02311	284	46	0	5.23401e-43	3.66381e-42
Deagle	GenMC+CAAT-SC	367	0.180484	0.141061	0.232856	0.159379	0.122443	0.209292	0.979084	0.881514	1.08342	305	62	0	1.14241e-39	5.71205e-39
Deagle	GenMC+CAAT-TSO	359	0.163391	0.129356	0.209776	0.144266	0.111147	0.189278	0.966747	0.871765	1.07293	301	58	0	1.07589e-40	6.45534e-40
GenMC	GenMC+CAAT-SC	404	1.08958	1.0446	1.13705	1.10209	1.06593	1.14047	1.05819	1.02343	1.10228	195	209	0	0.517829	1
GenMC	GenMC+CAAT-TSO	391	1.11747	1.06011	1.17916	1.14077	1.08841	1.19668	1.01958	1.01055	1.03413	197	194	0	0.919453	1
GenMC	GenMC+CAAT-PSO	360	1.39358	1.25175	1.55845	1.43059	1.28547	1.60613	1.02471	1.01105	1.04566	182	178	0	0.874395	1
