repetition	model	task	before_status	after_status	before_category	after_category	before_cpu_s	after_cpu_s	cpu_ratio	before_wall_s	after_wall_s	wall_ratio	before_rss_b	after_rss_b	rss_ratio	before_lazy-cycle-checks	after_lazy-cycle-checks	before_lazy-edge-candidates	after_lazy-edge-candidates	before_lazy-depth-fallbacks	after_lazy-depth-fallbacks	before_lazy-product-checks	after_lazy-product-checks	before_lazy-product-state-visits	after_lazy-product-state-visits	before_lazy-product-transitions	after_lazy-product-transitions	before_lazy-product-size-fallbacks	after_lazy-product-size-fallbacks	before_sync-ns	after_sync-ns	before_offline-ns	after_offline-ns	before_materialize-ns	after_materialize-ns	before_copy-ns	after_copy-ns	before_peak-snapshot-equivalent-bytes	after_peak-snapshot-equivalent-bytes	before_max-stable-events	after_max-stable-events
r01	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.926205344	60.970702509	1.0007303452553586	61.00984879292082	61.01041722798254	1.0000093171032705	26091520.0	26042368.0	0.998116169544741																										
r01	pso	queue_ok_longer.yml	true	true	correct	correct	4.046187632	3.976053411	0.9826665920173028	4.067244676058181	3.9841858620056883	0.979578604026107	120983552.0	120635392.0	0.9971222534448319	34	34	49930431	49930426	0	0		1		137		143		16	3941247084	3861611174	3004011880	2963070667	774269090	755162747	133257905	113443066	44133960	44133960	8033	8033
r01	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.351675145	23.279772956	0.9969208980275063	23.386358676012605	23.29762034805026	0.9962055517410086	25956352.0	25829376.0	0.9951080953132397	0	0	0	0	0	0		0		0		0		0	13602870773	13615460587	6975295707	6996740397	5501655469	5496346939	0	0	319136	319136	319	319
r01	sc	queue_ok_longer.yml	true	true	correct	correct	0.484848935	0.405926293	0.8372222020040119	0.4884501349879429	0.409698567003943	0.8387725535464459	79360000.0	79364096.0	1.0000516129032258	0	0	0	0	0	0		0		0		0		0	362654291	305346934	177206892	150046393	106710370	89186699	26098226	22130345	23936072	23936072	4029	4029
r01	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	46.860013946	42.687769438	0.9109636520209327	46.92488191102166	42.716563471010886	0.9103179748434843	26038272.0	26087424.0	1.001887682869278	35572	35572	455400086	101540205	0	0		17786		215828825		1776716915		0	36856325453	32821460911	29596102984	25489626537	5938162069	5983926701	0	0	281448	281448	319	319
r01	tso	queue_ok_longer.yml	true	true	correct	correct	1.103991642	1.11869461	1.0133180066230971	1.1058255629613996	1.126154077006504	1.0183831109769832	55558144.0	55582720.0	1.0004423473901505	4	4	15503664	15503664	0	0		0		0		0		2	990428948	999092401	870938946	880514757	100948430	100433562	11556895	11160110	13851760	13851760	4029	4029
