variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	584344	4712	24	36	1484	1197	1
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	16614268	10520	57	852	109463	82703	1
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	434883	4360	22	20	896	696	1
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	75205214	11224	61	3092	358521	274278	1
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2188035	6824	36	176	8032	6368	1
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	944343	5064	26	60	2516	2089	1
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2667698	5768	30	168	7121	5648	1
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2566045	6824	36	152	7396	5847	1
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	341886	5240	27	20	466	391	1
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	396674	5416	28	24	707	577	1
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	907279	4888	25	60	1846	1481	1
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	587137	4360	22	54	1168	943	1
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	1080791	4888	25	56	1685	1353	1
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	0	891719	4888	25	60	1818	1453	1
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	0	243073	4184	21	16	264	222	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	36485	2776	13	2	44	36	1
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	0	618035	5064	26	40	1079	843	1
after	pso	r03	13-privatized_44-traces-mine2_true.yml	0	107131	4184	21	6	108	92	1
after	pso	r03	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	888553	4888	25	58	1776	1345	1
after	pso	r03	13-privatized_46-refine-protected1_true.yml	0	94670	2952	14	8	176	117	1
after	pso	r03	13-privatized_47-refine-protected2_true.yml	0	273560	3128	15	20	289	239	1
after	pso	r03	13-privatized_57-singlethreaded-unlock_true.yml	0	45231	1544	6	2	13	9	1
after	pso	r03	13-privatized_58-singlethreaded-lock_true.yml	0	39348	1544	6	2	13	9	1
after	pso	r03	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
