   BENCHMARK INFORMATION
benchmark definition:    /work/parallel-scaling/definitions/parallel-pso-t8-r5.xml
name:                    parallel-pso-t8-r5
run sets:                cat-pso.t8.r01.unreach-call, caat-pso.t8.r01.unreach-call, caat-pso.t8.r02.unreach-call, cat-pso.t8.r02.unreach-call, cat-pso.t8.r03.unreach-call, caat-pso.t8.r03.unreach-call, caat-pso.t8.r04.unreach-call, cat-pso.t8.r04.unreach-call, cat-pso.t8.r05.unreach-call, caat-pso.t8.r05.unreach-call
date:                    Tue, 2026-07-14 22:41:27 UTC
tool:                    GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /work/build/genmc-caat-llvm15noble/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=8 --v1
parallel runs:           3
resource limits:
- memory:                16000.0 MB
- time:                  480 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    a432e3073d0a
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



cat-pso.t8.r01.unreach-call
Run set 1 of 10 with options '--disable-estimation --disable-mm-detector --nthreads=8 --v1 --svcomp-backend=cat-pso' and propertyfile 'None'

inputfile                                                                                            status                       cpu time   wall time        host  executions   blocked  oracle-checks
goblint-regression/28-race_reach_11-ptr_racing.yml                                                   TIMEOUT                        121.68       61.84        None        None      None           None
pthread-deagle/circular_buffer_bad.yml                                                               ABORTED                          0.12        0.20        None        None      None           None
pthread/fib_safe-5.yml                                                                               TIMEOUT                        486.91       61.01        None        None      None           None
pthread/fib_safe-6.yml                                                                               TIMEOUT                        487.04       61.01        None        None      None           None
pthread/fib_unsafe-5.yml                                                                             TIMEOUT                        487.09       61.01        None        None      None           None
pthread/fib_unsafe-6.yml                                                                             TIMEOUT                        487.20       61.01        None        None      None           None
pthread/fib_unsafe-7.yml                                                                             TIMEOUT                        487.03       61.01        None        None      None           None
goblint-regression/28-race_reach_24-sound_lock_racing.yml                                            TIMEOUT                        121.69       61.87        None        None      None           None
pthread/lazy01.yml                                                                                   ABORTED                          0.07        0.19        None        None      None           None
pthread-deagle/circular_buffer_ok.yml                                                                TIMEOUT                        487.36       61.01        None        None      None           None
pthread-atomic/szymanski.yml                                                                         true                             0.15        0.10        None           6        25           None
pthread-atomic/dekker.yml                                                                            true                             0.10        0.08        None           4         6           None
pthread-atomic/dekker-unfair.yml                                                                     true                             0.10        0.09        None           4         6           None
pthread-theta/unwind3-1.yml                                                                          false(unreach-call)              0.07        0.07        None           1      None           None
pthread-theta/exponential-nondet.yml                                                                 true                             0.07        0.08        None           1      None           None
pthread-theta/unwind2-1.yml                                                                          false(unreach-call)              0.07        0.07        None           2         1           None
pthread-theta/unwind2-100.yml                                                                        false(unreach-call)              0.08        0.08        None           2         1           None
