   BENCHMARK INFORMATION
benchmark definition:    /work/parallel-scaling/definitions/parallel-tso-t1-r5.xml
name:                    parallel-tso-t1-r5
run sets:                genmc-tso.t1.r01.unreach-call, cat-tso.t1.r01.unreach-call, caat-tso.t1.r01.unreach-call, cat-tso.t1.r02.unreach-call, caat-tso.t1.r02.unreach-call, genmc-tso.t1.r02.unreach-call, caat-tso.t1.r03.unreach-call, genmc-tso.t1.r03.unreach-call, cat-tso.t1.r03.unreach-call, genmc-tso.t1.r04.unreach-call, cat-tso.t1.r04.unreach-call, caat-tso.t1.r04.unreach-call, cat-tso.t1.r05.unreach-call, caat-tso.t1.r05.unreach-call, genmc-tso.t1.r05.unreach-call
date:                    Tue, 2026-07-14 20:02:34 UTC
tool:                    GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /work/build/genmc-caat-llvm15noble/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1
parallel runs:           24
resource limits:
- memory:                16000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    a432e3073d0a
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



genmc-tso.t1.r01.unreach-call
Run set 1 of 15 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --svcomp-backend=genmc-tso' and propertyfile 'None'

inputfile                                                                                            status                       cpu time   wall time        host  executions   blocked  oracle-checks
goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml    true                             0.06        0.06        None           2         2           None
goblint-regression/13-privatized_01-priv_nr_true.yml                                                 true                             0.06        0.07        None           2      None           None
goblint-regression/13-privatized_19-publish-precision_true.yml                                       true                             0.05        0.06        None           3      None           None
goblint-regression/13-privatized_42-traces-ex-mini_true.yml                                          true                             0.06        0.06        None           2      None           None
goblint-regression/13-privatized_33-traces-v-matters_true.yml                                        true                             0.06        0.06        None           1         2           None
goblint-regression/13-privatized_25-struct_nr_true.yml                                               true                             0.06        0.06        None           2      None           None
goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml                          true                             0.06        0.07        None           0         1           None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml                                   false(unreach-call)              0.05        0.05        None           0      None           None
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml                                    true                             0.05        0.05        None           4      None           None
goblint-regression/13-privatized_20-publish-regression_true.yml                                      true                             0.05        0.06        None           2      None           None
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml                                    true                             0.06        0.06        None           2         2           None
goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml                            true                             0.06        0.07        None           3         2           None
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml                          true                             0.06        0.06        None           1         1           None
goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml                  true                             0.06        0.06        None           0         1           None
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml                              true                             0.05        0.06        None           4      None           None
goblint-regression/13-privatized_24-multiple-protecting_true.yml                                     true                             0.06        0.06        None           7      None           None
goblint-regression/36-apron_21-traces-cluster-based_true.yml                                         true                             0.05        0.06        None           6         2           None
goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml              true                             0.05        0.06        None           1      None           None
goblint-regression/13-privatized_27-multiple-protecting2_true.yml                                    true                             0.06        0.06        None          26      None           None
pthread-ext/14_spin2003.yml                                                                          true                             0.06        0.07        None           0         1           None
pthread-ext/29_conditionals_vs.yml                                                                   true                             0.05        0.06        None           0         1           None
pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml                                             true                             0.06        0.06        None           0         1           None
pthread-ext/46_monabsex2_vs.yml                                                                      true                             0.05        0.06        None           0         1           None
pthread-ext/45_monabsex1_vs.yml                                                                      true                             0.06        0.06        None           0         1           None
