variant	model	program	repetition	status	wall_seconds	user_seconds	sys_seconds	peak_rss_kib	executions	blocked
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.087503757	0.046380000	0.040573000	92720	2	6
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.088980634	0.054060000	0.034488000	92832	2	6
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.092969937	0.068724000	0.023821000	92908	11	7
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.090115330	0.054761000	0.034862000	93048	11	7
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.313573594	0.280276000	0.032834000	93000	0	0
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.312866669	0.269458000	0.042911000	93168	0	0
before	sc	correct/litmus/SB/variants/sb0.c	9	0	0.075356250	0.035996000	0.039043000	92232	3	0
after	sc	correct/litmus/SB/variants/sb0.c	9	0	0.056714141	0.027111000	0.029216000	92296	3	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.064966166	0.030158000	0.034456000	92996	4	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.062705981	0.034329000	0.027992000	93248	4	0
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.089948268	0.045756000	0.043829000	93428	2	6
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.084144182	0.052199000	0.031601000	92972	2	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.073251670	0.049765000	0.023054000	93120	8	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.079766663	0.048246000	0.031068000	93376	8	6
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	9	0	0.357643665	0.340503000	0.016576000	93780	24	16
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	9	0	0.366630238	0.338189000	0.027970000	93576	24	16
before	tso	correct/litmus/SB/variants/sb0.c	9	0	0.072437521	0.036827000	0.035259000	92780	4	0
after	tso	correct/litmus/SB/variants/sb0.c	9	0	0.070180470	0.023343000	0.046472000	92168	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.071898425	0.028300000	0.043285000	92760	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.064955993	0.040728000	0.023824000	91884	4	0
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.074858811	0.035999000	0.038323000	93408	2	6
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.079154119	0.042843000	0.035903000	93036	2	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.076929879	0.045209000	0.031311000	92924	8	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.084863586	0.052979000	0.031473000	92636	8	6
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.333289865	0.300077000	0.032677000	93132	0	0
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.310303203	0.289099000	0.020762000	93496	0	0
before	pso	correct/litmus/SB/variants/sb0.c	9	0	0.063284534	0.036111000	0.026809000	92168	4	0
after	pso	correct/litmus/SB/variants/sb0.c	9	0	0.060910753	0.036785000	0.023774000	91884	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.055699449	0.024595000	0.030765000	92360	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	9	0	0.062178679	0.028076000	0.033822000	91884	4	0
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.094177730	0.061440000	0.032240000	93580	2	6
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	9	0	0.084224057	0.057734000	0.026085000	93124	2	6
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.086293901	0.060807000	0.025118000	93612	11	7
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	9	0	0.095405414	0.067114000	0.027862000	93040	11	7
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.317558488	0.285904000	0.031212000	92516	0	0
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	9	42	0.334752980	0.318450000	0.015729000	92516	0	0
