variant	model	program	repetition	status	wall_seconds	user_seconds	sys_seconds	peak_rss_kib	executions	blocked
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.082662092	0.061174000	0.021049000	92640	8	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.073476792	0.053423000	0.019551000	93456	8	6
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.308116507	0.264394000	0.042854000	92516	0	0
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.330374586	0.294597000	0.035280000	92864	0	0
after	pso	correct/litmus/SB/variants/sb0.c	2	0	0.061634134	0.027167000	0.034003000	92800	4	0
before	pso	correct/litmus/SB/variants/sb0.c	2	0	0.064508007	0.021108000	0.043011000	92228	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.058040714	0.031682000	0.025863000	93212	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.056821318	0.012847000	0.043549000	92628	4	0
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.075839408	0.041457000	0.033996000	92972	2	6
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.082345305	0.049725000	0.032123000	93340	2	6
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.101971242	0.070452000	0.031133000	93632	11	7
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.093150549	0.064723000	0.028010000	92580	11	7
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.314835690	0.278310000	0.035649000	93784	0	0
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.315207674	0.279856000	0.034838000	92516	0	0
before	sc	correct/litmus/SB/variants/sb0.c	3	0	0.061303877	0.029431000	0.031322000	92360	3	0
after	sc	correct/litmus/SB/variants/sb0.c	3	0	0.066420066	0.030007000	0.035978000	92824	3	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.069537927	0.041025000	0.027499000	92624	4	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.070396755	0.031567000	0.038498000	92116	4	0
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.088265043	0.056186000	0.031587000	92844	2	6
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.086400814	0.046930000	0.039029000	93128	2	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.085197098	0.060565000	0.024238000	92288	8	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.073876801	0.037398000	0.036051000	93280	8	6
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.354358735	0.325531000	0.028050000	92996	24	16
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.377992726	0.332733000	0.044717000	93864	24	16
before	tso	correct/litmus/SB/variants/sb0.c	3	0	0.053559105	0.025094000	0.028158000	91880	4	0
after	tso	correct/litmus/SB/variants/sb0.c	3	0	0.060977477	0.036362000	0.024179000	92448	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.058072560	0.025007000	0.032784000	92736	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.066828331	0.041687000	0.024028000	93416	4	0
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.066485998	0.044015000	0.021974000	93840	2	6
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.071971879	0.036361000	0.035031000	93848	2	6
