repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T01:58:41+00:00
02	28-51	0-23	0	0	2026-07-17T01:59:44+00:00
03	0-23	28-51	0	0	2026-07-17T02:00:47+00:00
04	28-51	0-23	0	0	2026-07-17T02:01:50+00:00
