back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
0	0	correct	0	0	0.068759167	25956352.0	0	0	0	01	0	0	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	0	baseline	0.07374879601411521	0	0
0	0	correct	0	0	0.066517597	25952256.0	1	1	0	01	0	0	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	baseline	0.07210693892557174	1	1
0	0	correct	0	0	0.070754295	25919488.0	0	0	0	01	0	0	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	0	baseline	0.07274283701553941	0	0
0	0	correct	3	1	0.06796323	25956352.0	1	1	1	01	1	0	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1	baseline	0.07459475693758577	1	1
1	1	correct	15	8	0.065813131	26001408.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	11	baseline	0.0700681620510295	10	10
0	0	correct	8	4	0.068041748	25956352.0	4	4	4	01	2	0	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	4	baseline	0.07364330906420946	4	4
1	1	correct	15	8	0.069364865	25952256.0	6	10	8	01	4	1	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	11	baseline	0.07282361504621804	10	10
1	1	correct	16	6	0.066137635	25960448.0	8	2	0	01	7	1	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1	baseline	0.07321467704605311	9	2
0	0	correct	4	1	0.065819246	25989120.0	2	1	0	01	2	0	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	baseline	0.07361422595568001	2	1
1	1	correct	16	6	0.071894396	26013696.0	7	8	6	01	8	1	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	9	baseline	0.07422772096469998	8	8
0	0	correct	4	1	0.065443548	25976832.0	1	1	1	01	2	0	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1	baseline	0.06938266905490309	1	1
1	1	correct	10	2	0.067016673	25956352.0	3	4	2	01	7	1	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	4	baseline	0.07351904001552612	4	4
1	1	correct	4	1	0.068643881	26091520.0	3	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1	baseline	0.07350008503999561	4	2
1	1	correct	4	1	0.064642757	25989120.0	3	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1	baseline	0.07091681100428104	4	2
2	2	correct	42	23	0.070332391	25939968.0	12	27	23	01	10	2	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	29	baseline	0.07539643405470997	27	27
1	1	correct	15	8	0.065459392	26087424.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_18-first-reads_true.yml	11	baseline	0.07362278900109231	10	10
3	3	correct	46	26	0.069457121	25960448.0	18	32	26	01	15	3	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	33	baseline	0.0730830809334293	32	32
1	1	correct	45	26	0.073544022	25939968.0	16	28	26	01	10	1	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	29	baseline	0.07536596700083464	28	28
3	3	correct	46	26	0.06586412	26083328.0	18	32	26	01	15	3	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	33	baseline	0.07526288495864719	32	32
1	1	correct	8	2	0.06723477	26099712.0	4	2	0	01	5	1	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	1	baseline	0.07519714999943972	5	2
0	0	correct	1	0	0.067071541	26062848.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0	baseline	0.07651801803149283	1	1
0	0	correct	1	0	0.069291529	25976832.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0	baseline	0.07621804799418896	1	1
1	1	correct	8	2	0.068453967	26083328.0	4	2	0	01	5	1	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1	baseline	0.08993795793503523	5	2
