repetition	caat	cat	genmc
1	2.08	0.71	0.63
2	2.03	0.68	0.61
3	2.04	0.69	0.61
4	2.06	0.7	0.61
5	2.05	0.7	0.61
6	2.05	0.68	0.61
7	2.03	0.69	0.61
8	2.13	0.72	0.63
9	2.04	0.68	0.61
10	2.05	0.69	0.61
