back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
0	0	correct	0	0	0.073445299	25952256.0	0	0	0	01	0	0	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	0	baseline	0.07725480699446052	0	0
0	0	correct	0	0	0.068425766	25956352.0	1	1	0	01	0	0	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	baseline	0.07314568501897156	1	1
0	0	correct	0	0	0.076388027	25952256.0	0	0	0	01	0	0	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	0	baseline	0.08191268506925553	0	0
0	0	correct	3	1	0.065380186	25944064.0	1	1	1	01	1	0	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1	baseline	0.07326135295443237	1	1
1	1	correct	15	8	0.069852078	25960448.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	11	baseline	0.07250735408160836	10	10
0	0	correct	8	4	0.067557048	25960448.0	4	4	4	01	2	0	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	4	baseline	0.07331814907956868	4	4
1	1	correct	15	8	0.067851467	25989120.0	6	10	8	01	4	1	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	11	baseline	0.07392681296914816	10	10
1	1	correct	16	6	0.069539706	26062848.0	8	2	0	01	7	1	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1	baseline	0.07173046108800918	9	2
0	0	correct	4	1	0.067966763	25911296.0	2	1	0	01	2	0	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	baseline	0.06944527407176793	2	1
1	1	correct	16	6	0.06807224	25972736.0	7	8	6	01	8	1	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	9	baseline	0.07161049207206815	8	8
0	0	correct	4	1	0.05456378	25939968.0	1	1	1	01	2	0	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1	baseline	0.06337137601803988	1	1
