variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.060383955	0.06809679098660126	26062848		134934	28	2048	2048	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.06544183	0.0721632509957999	26005504		276109	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.06612942	0.07077515497803688	26021888		298655	22	1616	1616	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	0.067465642	0.08377120998920873	25993216		313073	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	0.070469015	0.07853438699385151	26066944		359794	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	0.063634669	0.07168240303872153	25976832		101236	21	1544	1544	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	false(unreach-call)	correct	0.069558208	0.07601478899596259	26025984		0	0	0	0	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	correct	0.068701143	0.07183445699047297	25952256		22442	13	968	968	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	0.069667641	0.07441283500520512	25985024		259882	26	1904	1904	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	0.061290493	0.06835719000082463	26013696		40810	21	1544	1544	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	0.068316142	0.07282717601628974	26017792		384536	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	0.067064629	0.07100545900175348	25944064		50202	14	1040	1040	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	correct	0.063391632	0.06734344002325088	25989120		80715	15	1112	1112	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	0.064634514	0.07826654700329527	26009600		16379	6	464	464	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	correct	0.067200546	0.07257815898628905	25989120		21615	6	464	464	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	correct	0.075146379	0.07997857296140864	25870336		0	0	0	0	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	correct	0.069495693	0.07494226697599515	26066944		24226	10	752	752	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	true	correct	0.065915347	0.0718741089804098	26112000		21298	10	752	752	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	false	OUT OF MEMORY	error	8.939572878	9.014198120043147	3999997952		0	0	0	0	0	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
