repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T01:16:59+00:00
02	28-51	0-23	0	0	2026-07-17T01:18:02+00:00
03	0-23	28-51	0	0	2026-07-17T01:19:05+00:00
04	28-51	0-23	0	0	2026-07-17T01:20:08+00:00
