metric	group	task_yaml	ratio
cpu	sc	c/pthread/butterfly.yml	0.6493768050269105
cpu	sc	c/pthread/fib_safe-5.yml	0.7915401939897145
cpu	sc	c/pthread/fib_safe-6.yml	0.7755451013722677
cpu	sc	c/pthread/fib_unsafe-5.yml	0.8061465477946228
cpu	sc	c/pthread/fib_unsafe-6.yml	0.7694756478071635
cpu	sc	c/pthread/fib_unsafe-7.yml	0.7632141707141591
cpu	sc	c/pthread/lazy01.yml	1.014973301633411
cpu	sc	c/pthread/queue.yml	0.9591322229848888
cpu	sc	c/pthread/queue_ok.yml	0.9935720298736913
cpu	sc	c/pthread/queue_ok_longer.yml	0.5402819101693676
cpu	sc	c/pthread/queue_ok_longest.yml	0.4885951867991889
cpu	sc	c/pthread/reorder_2.yml	0.8812871865302576
cpu	sc	c/pthread/singleton.yml	1.0010555583110572
cpu	sc	c/pthread/singleton_with-uninit-problems.yml	1.0085801244223864
cpu	sc	c/pthread/stateful01-1.yml	0.9574910057082755
cpu	sc	c/pthread/stateful01-2.yml	0.9362691505024568
cpu	sc	c/pthread/triangular-1.yml	0.8744923470776885
cpu	sc	c/pthread/triangular-2.yml	0.8871920622613414
cpu	sc	c/pthread/twostage_3.yml	0.9954425936303051
cpu	tso	c/goblint-regression/13-privatized_01-priv_nr_true.yml	0.9808915444352926
cpu	tso	c/goblint-regression/13-privatized_18-first-reads_true.yml	0.9803106780951498
cpu	tso	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1.0388918240630367
cpu	tso	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	0.9967193347975184
cpu	tso	c/goblint-regression/13-privatized_19-publish-precision_true.yml	0.9692805341269353
cpu	tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0.9746238574146324
cpu	tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	0.9778403973475576
cpu	tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1.0027334617344332
cpu	tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0.9782142415376445
cpu	tso	c/goblint-regression/13-privatized_20-publish-regression_true.yml	1.0096453901591531
cpu	tso	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	1.03040783681032
cpu	tso	c/goblint-regression/13-privatized_25-struct_nr_true.yml	0.9995853815676885
cpu	tso	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	0.983379271844102
cpu	tso	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	1.0396242530719855
cpu	tso	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	0.9668550576533291
cpu	tso	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	0.9971148696602025
cpu	tso	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	1.0293555144570943
cpu	tso	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	1.0222559038352268
cpu	tso	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0.9719431217816412
cpu	tso	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	1.019437257555397
cpu	tso	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	1.0025257667231553
cpu	tso	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	0.9424162607042952
cpu	tso	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	0.9719094076399726
cpu	tso	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	1.0220793435739126
cpu	tso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	1.0428114981560674
cpu	tso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	0.9993607826023847
cpu	tso	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	0.9969077083959402
cpu	tso	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	1.0285957084802264
cpu	tso	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0.976641335052203
cpu	tso	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	1.0585475505908697
cpu	tso	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	0.9665064313415854
cpu	tso	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1.0149131254894372
cpu	tso	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1.0233641909192233
cpu	tso	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	1.0236872990012442
cpu	tso	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0.9857782858248193
cpu	tso	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	0.9804212277053214
cpu	tso	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	0.9663260847597295
cpu	tso	c/goblint-regression/28-race_reach_45-escape_racing.yml	1.0291512490967094
cpu	tso	c/goblint-regression/28-race_reach_46-escape_racefree.yml	1.0068757761824714
cpu	tso	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	1.0031814036665732
cpu	tso	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	0.999481441035729
cpu	tso	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	1.0172482773924072
cpu	tso	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	0.9744325730708477
cpu	tso	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	1.0205036165127044
cpu	tso	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0.973649527538335
cpu	tso	c/ldv-races/race-1_1-join.yml	1.008834113061909
cpu	tso	c/ldv-races/race-1_2-join.yml	1.001241156360195
cpu	tso	c/ldv-races/race-1_3-join.yml	1.0285125033514844
cpu	tso	c/ldv-races/race-2_1-container_of.yml	0.9951770022827129
cpu	tso	c/ldv-races/race-3_1-container_of-global.yml	0.9799924260693106
cpu	tso	c/ldv-races/race-4_1-thread_local_vars.yml	0.9824496456670347
cpu	tso	c/pthread-C-DAC/pthread-demo-datarace-3.yml	0.9518160167745799
