archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.lazy01.yml.log	0	2	435	5	1411	0	1410	0	0	0	1	0	0	73383	26	763313	516	10	1904	1904	0	26	0	3	142425	0	12152	0	2	4	0	0	143280	0	12152	0	2	0	0	0	356735	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.szymanski.yml.log	0	30	1151	909	10743	0	12900	0	0	0	1	0	0	402970	22	740000	306	10	2120	2120	14	29	5	31	1138127	0	13496	0	30	31	0	0	1148350	0	13496	0	25	0	0	0	2841642	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.dekker-unfair.yml.log	0	6	1267	592	3282	0	1609	0	0	0	1	0	0	138114	31	740484	688	10	2264	2264	11	31	3	7	323078	0	14392	0	6	7	0	0	325037	0	14392	0	3	0	0	0	803051	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.unwind2-100.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.unwind2-1.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.unwind3-1.yml.log	0	0	0	0	693	0	0	0	0	0	1	0	0	26018	18	617283	200	0	1328	1328	0	18	0	1	36107	0	8568	0	0	1	0	0	36876	0	8568	0	0	0	0	0	68770	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.exponential-nondet.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.queue_ok.yml.log	0	1	476	3	1068	0	4005	0	0	0	1	0	0	1260408	229	418527	21948	8	66080	66080	0	229	0	2	2971856	0	411112	0	1	3	0	0	2972952	0	411112	0	1	0	0	0	10777161	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.singleton_with-uninit-problems.yml.log	0	5	1238	652	2896	0	3214	0	0	0	1	0	0	231629	44	841942	1630	10	3200	3200	7	44	1	6	435766	0	20216	0	5	9	0	0	437400	0	20216	0	4	0	0	0	1495467	3	0	0
