backend	repetitions	total_seconds_mean	genmc_seconds_mean	ratio_mean	ratio_sd	ratio_ci_low	ratio_ci_high	delta_seconds_median	p_raw	rank_biserial	p_holm
cat	10	0.719	0.621	1.15790682775198	0.0332609000979813	1.13411341316809	1.18170024233587	0.1	0.00582502419946152	1	0.011650048398923
caat	10	0.645	0.621	1.03910633231346	0.031769592846428	1.0163797346709	1.06183292995603	0.025	0.0124597286093503	0.955555555555556	0.0124597286093503
