task	family	expected	previous_status	genmc_status	caat_sc_status	caat_sc_cpu_s	caat_sc_rss_mb	deagle_status	deagle_cpu_s	deagle_rss_mb	caat_log_output_bytes	source	source_missing	source_bytes	source_loc	pthread_create_calls	pthread_join_calls	mutex_ops	atomic_begin_calls	nondet_calls	assume_calls	loop_tokens	thread_routines	weak_encoding_identifiers	deagle_unwind_mode	deagle_true_incomplete_bound	deagle_log_has_failure	deagle_log_has_success	has_nondet	strict_semantics_comparable	mechanism_cluster
pthread-wmm/safe028_rmo.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.176047995	26.382336	false(unreach-call)	0.274591928	12.02176	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe028_rmo.c	False	9639	213	3	0	0	16	7	2	0	3	283	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe030_power.opt_pso.opt_rmo.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	61.000252527	26.206208	false(unreach-call)	0.257114653	11.718656	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe030_power.opt_pso.opt_rmo.opt.c	False	8379	206	3	0	0	16	3	2	0	3	197	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe030_tso.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	61.005376635	25.923584	true	0.236105129	11.186176	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe030_tso.c	False	2895	125	3	0	0	16	1	2	0	3	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe031_power.oepc_pso.oepc_rmo.oepc.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.460233832	26.19392	false(unreach-call)	0.267616169	11.784192	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe031_power.oepc_pso.oepc_rmo.oepc.c	False	6960	185	3	0	0	17	4	2	0	3	197	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe031_power.opt_pso.opt_rmo.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.415109029	26.17344	false(unreach-call)	0.260326505	11.689984	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe031_power.opt_pso.opt_rmo.opt.c	False	8529	210	3	0	0	17	3	2	0	3	197	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe031_tso.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	61.002080034	25.92768	true	0.226615637	11.317248	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe031_tso.c	False	3045	129	3	0	0	17	1	2	0	3	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe032_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.594376579	26.492928	false(unreach-call)	0.306748509	13.94688	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe032_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.c	False	12551	244	3	0	0	18	8	2	0	3	397	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe032_tso.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	60.994605271	25.931776	true	0.230507155	11.390976	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe032_tso.c	False	3183	131	3	0	0	18	1	2	0	3	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe034_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.985479378	26.136576	false(unreach-call)	0.265861719	11.812864	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe034_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.c	False	6578	183	3	0	0	18	3	2	0	3	171	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe034_tso.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	61.00236264	25.88672	true	0.223968722	11.358208	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe034_tso.c	False	3195	133	3	0	0	18	1	2	0	3	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe035_power.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	60.844962472	26.68544	true	0.559595122	18.096128	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe035_power.c	False	15143	266	3	0	0	19	8	2	0	3	523	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe035_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	60.358862121	25.952256	true	0.216662364	11.32544	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe035_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.c	False	3333	135	3	0	0	19	1	2	0	3	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/safe037.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	60.037103988	25.903104	true	0.223180556	11.337728	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/safe037.c	False	3345	137	3	0	0	19	1	2	0	3	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/thin002_power.opt.yml	pthread-wmm	false	TIMEOUT	TIMEOUT	TIMEOUT	60.525028565	26.394624	false(unreach-call)	0.289367861	12.931072	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/thin002_power.opt.c	False	9841	239	4	0	0	20	5	2	0	4	266	no_loops	False	True	False	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread-wmm/thin002_pso.oepc_pso.opt_tso.oepc_tso.opt.yml	pthread-wmm	true	TIMEOUT	TIMEOUT	TIMEOUT	60.678420406	25.890816	true	0.23803073	11.354112	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread-wmm/thin002_pso.oepc_pso.opt_tso.oepc_tso.opt.c	False	3713	153	4	0	0	20	1	2	0	4	0	no_loops	False	False	True	True	False	loop-free weak-memory encoding / explicit-schedule explosion
pthread/fib_safe-10.yml	pthread	true	TIMEOUT	TIMEOUT	TIMEOUT	60.982155152	25.956352	true	18.77768647	98.041856	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/fib_safe-10.c	False	410	11	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	False	True	False	True	finite non-WMM exploration explosion
pthread/fib_safe-11.yml	pthread	true	TIMEOUT	TIMEOUT	TIMEOUT	60.783442118	25.82528	true	54.802629358	133.341184	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/fib_safe-11.c	False	410	11	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	False	True	False	True	finite non-WMM exploration explosion
pthread/fib_safe-7.yml	pthread	true	TIMEOUT	true	TIMEOUT	60.489857387	25.82528	true	4.194805295	46.845952	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/fib_safe-7.c	False	409	11	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	False	True	False	True	finite non-WMM exploration explosion
pthread/fib_unsafe-10.yml	pthread	false	TIMEOUT	TIMEOUT	TIMEOUT	60.964474815	25.882624	false(unreach-call)	12.397032199	90.669056	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/fib_unsafe-10.c	False	412	11	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	True	False	False	True	finite non-WMM exploration explosion
pthread/fib_unsafe-11.yml	pthread	false	TIMEOUT	TIMEOUT	TIMEOUT	60.40037795	25.821184	false(unreach-call)	27.183621221	116.92032	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/fib_unsafe-11.c	False	412	11	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	True	False	False	True	finite non-WMM exploration explosion
pthread/fib_unsafe-12.yml	pthread	false	TIMEOUT	TIMEOUT	TIMEOUT	60.260554131	25.915392	false(unreach-call)	51.664750709	155.127808	1	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/fib_unsafe-12.c	False	412	11	0	0	0	0	0	0	0	0	0	suggested_finite_bound	False	True	False	False	True	finite non-WMM exploration explosion
pthread/triangular-longer-1.yml	pthread	true	TIMEOUT	TIMEOUT	TIMEOUT	60.223891248	25.94816	true	14.514730215	39.591936	323	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/triangular-longer-1.c	False	1241	47	2	0	0	5	0	0	2	2	0	suggested_finite_bound	False	False	True	False	True	loop or repeated-thread/state-space explosion
pthread/triangular-longer-2.yml	pthread	false	TIMEOUT	TIMEOUT	TIMEOUT	60.955623757	25.88672	false(unreach-call)	6.160213969	31.637504	323	/Users/sujie/Documents/Codes/sv-benchmarks/c/pthread/triangular-longer-2.c	False	1243	47	2	0	0	5	0	0	2	2	0	suggested_finite_bound	False	True	False	False	True	loop or repeated-thread/state-space explosion
weaver/popl20-bad-threaded-sum-2.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	60.701873574	94.097408	true	4.995487833	65.019904	1029	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/popl20-bad-threaded-sum-2.wvr.c	False	2532	82	3	3	0	8	4	3	2	2	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
weaver/popl20-figure3.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	61.002449875	111.833088	true	5.135998325	79.343616	1005	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/popl20-figure3.wvr.c	False	1975	58	3	3	0	0	4	4	2	2	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
weaver/popl20-more-nonblocking-counter-alt2.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	60.934261427	101.134336	true	5.287313051	70.152192	1049	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/popl20-more-nonblocking-counter-alt2.wvr.c	False	2203	66	3	3	0	3	4	3	2	2	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
weaver/popl20-mult-equiv.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	60.275059778	99.991552	true	5.295606241	68.767744	1508	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/popl20-mult-equiv.wvr.c	False	2659	91	4	4	0	8	4	2	3	3	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
weaver/popl20-threaded-sum-3.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	60.996248879	108.007424	true	5.072255241	65.18784	1520	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/popl20-threaded-sum-3.wvr.c	False	3026	103	4	4	0	11	5	3	3	3	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
weaver/spaghetti.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	60.934553891	83.787776	true	5.258112506	76.292096	1967	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/spaghetti.wvr.c	False	2371	80	5	5	0	0	10	2	4	4	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
weaver/test-easy11.wvr.yml	weaver	true	TIMEOUT	TIMEOUT	TIMEOUT	54.41906669	25.419776	true	5.102826149	92.114944	999	/Users/sujie/Documents/Codes/sv-benchmarks/c/weaver/test-easy11.wvr.c	False	1870	62	3	3	0	0	3	3	2	2	0	fallback_bound_3	True	False	True	True	False	unbounded loop / Deagle bounded-TRUE caveat
