task	expected	model	method	threads	repetition	status	verdict	walltime_seconds	cputime_seconds	memory_bytes	executions	blocked
13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	sc	cat	2	5	true	true	0.06701398000586778	0.063411392	25948160	0	1
13-privatized_29-multiple-protecting2-vesal_true.yml	true	sc	cat	2	5	true	true	0.07644723897101358	0.074060878	25808896	4	
13-privatized_24-multiple-protecting_true.yml	true	sc	cat	2	5	true	true	0.09161920403130352	0.103465562	25821184	7	
36-apron_21-traces-cluster-based_true.yml	true	sc	cat	2	5	true	true	0.06259517598664388	0.062622754	25911296	6	2
36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	sc	cat	2	5	true	true	0.060253345989622176	0.054035948	25890816	1	
13-privatized_27-multiple-protecting2_true.yml	true	sc	cat	2	5	true	true	0.12510896095773205	0.173833684	25837568	26	
14_spin2003.yml	true	sc	cat	2	5	true	true	0.055870751035399735	0.051001333	25763840	0	1
29_conditionals_vs.yml	true	sc	cat	2	5	true	true	0.05512502498459071	0.049982067	25780224	0	1
48_ticket_lock_low_contention_vs-pthread.yml	true	sc	cat	2	5	true	true	0.05726842599688098	0.052373677	25919488	0	1
46_monabsex2_vs.yml	true	sc	cat	2	5	true	true	0.05507596000097692	0.049142991	25821184	0	1
45_monabsex1_vs.yml	true	sc	cat	2	5	true	true	0.057443211029749364	0.051505133	25772032	0	1
stateful01-1.yml	false	sc	cat	2	5	false(unreach-call)	false	0.061993726005312055	0.060172778	25935872	0	2
stateful01-2.yml	true	sc	cat	2	5	true	true	0.06681494502117857	0.067774371	25964544	6	
time_var_mutex.yml	true	sc	cat	2	5	true	true	0.06053744099335745	0.056614434	25915392	2	
01b_inc.yml	true	sc	cat	2	5	true	true	0.05656276398804039	0.054064765	25841664	0	1
triangular-1.yml	true	sc	cat	2	5	TIMEOUT		61.014350883022416	121.938349524	25972736		
triangular-2.yml	false	sc	cat	2	5	false(unreach-call)	false	40.083916049974505	80.090387555	25841664	9069	5
02_inc_cas.yml	true	sc	cat	2	5	true	true	0.06001257000025362	0.053617935	25833472	0	1
28-race_reach_21-deref_read_racing.yml	false	sc	cat	2	5	false(unreach-call)	false	3.0043985199881718	4.749980222	57286656	0	
48_ticket_lock_low_contention_vs.yml	true	sc	cat	2	5	true	true	0.06064964103279635	0.058158305	25772032	0	1
28-race_reach_37-indirect_racing.yml	false	sc	cat	2	5	TIMEOUT		61.171659043000545	92.167770527	5933228032		
28-race_reach_45-escape_racing.yml	false	sc	cat	2	5	false(unreach-call)	false	0.05721509602153674	0.054505301	25882624	1	
28-race_reach_46-escape_racefree.yml	true	sc	cat	2	5	true	true	0.05555406695930287	0.051198874	25837568	2	
28-race_reach_01-simple_racing.yml	false	sc	cat	2	5	TIMEOUT		61.15935685898876	92.597177816	5933056000		
28-race_reach_11-ptr_racing.yml	false	sc	cat	2	5	TIMEOUT		61.146559176035225	91.676798982	5933101056		
circular_buffer_bad.yml	false	sc	cat	2	5	false(unreach-call)	false	0.08052054204745218	0.09255944	25972736	1	7
fib_safe-5.yml	true	sc	cat	2	5	TIMEOUT		61.00826654897537	121.735161681	25878528		
fib_safe-6.yml	true	sc	cat	2	5	TIMEOUT		61.01273401896469	121.924706679	25915392		
fib_unsafe-5.yml	false	sc	cat	2	5	false(unreach-call)	false	39.954403802985325	79.817750491	25837568	1156	6
fib_unsafe-6.yml	false	sc	cat	2	5	TIMEOUT		61.01078705501277	121.948098339	25829376		
fib_unsafe-7.yml	false	sc	cat	2	5	TIMEOUT		61.012639180989936	121.792077725	25837568		
28-race_reach_24-sound_lock_racing.yml	false	sc	cat	2	5	TIMEOUT		61.170477139006834	92.187360486	5933006848		
lazy01.yml	false	sc	cat	2	5	false(unreach-call)	false	0.07237398001598194	0.066608151	25952256	0	3
circular_buffer_ok.yml	true	sc	cat	2	5	TIMEOUT		61.012872389983386	121.750725538	25997312		
szymanski.yml	true	sc	cat	2	5	true	true	0.07703041902277619	0.08159079	25841664	6	25
dekker.yml	true	sc	cat	2	5	true	true	0.06815553497290239	0.063465188	25767936	4	6
