model	method	threads	runs	solved	all_walltime_seconds_n	all_walltime_seconds_mean	all_walltime_seconds_median	all_walltime_seconds_p95	all_walltime_seconds_geomean	all_walltime_seconds_sum	all_walltime_seconds_max	all_cputime_seconds_n	all_cputime_seconds_mean	all_cputime_seconds_median	all_cputime_seconds_p95	all_cputime_seconds_geomean	all_cputime_seconds_sum	all_cputime_seconds_max	all_rss_mib_n	all_rss_mib_mean	all_rss_mib_median	all_rss_mib_p95	all_rss_mib_geomean	all_rss_mib_sum	all_rss_mib_max	solved_walltime_seconds_n	solved_walltime_seconds_mean	solved_walltime_seconds_median	solved_walltime_seconds_p95	solved_walltime_seconds_geomean	solved_walltime_seconds_sum	solved_walltime_seconds_max	solved_cputime_seconds_n	solved_cputime_seconds_mean	solved_cputime_seconds_median	solved_cputime_seconds_p95	solved_cputime_seconds_geomean	solved_cputime_seconds_sum	solved_cputime_seconds_max	solved_rss_mib_n	solved_rss_mib_mean	solved_rss_mib_median	solved_rss_mib_p95	solved_rss_mib_geomean	solved_rss_mib_sum	solved_rss_mib_max
pso	caat	1	480	395	480	11.029115960864026	0.06674974499037489	61.65026287014189	0.2632136379242819	5293.975661214732	61.70104257395724	480	11.016423302508334	0.059786421	61.3912871443	0.24355158178950995	5287.883185203998	61.68328869	480	658.6251871744792	24.8046875	11729.6763671875	37.887391388999475	316140.08984375	11729.9765625	395	0.22966157864172107	0.06313723599305376	0.42393058859741106	0.08148023324289307	90.71632356347982	6.2531346309697255	395	0.22333686124050633	0.056684398	0.4162604209999792	0.07415557226051286	88.21806019000006	6.248869299	395	25.198526503164558	24.7890625	25.04921875	25.068284474689925	9953.41796875	55.8359375
pso	caat	2	480	392	480	10.972331470335726	0.06895000647637062	61.631960983527826	0.26389120493315077	5266.719105761149	61.73622461099876	480	21.75530090641875	0.065976859	121.94851813265	0.30672008614525137	10442.544435081003	122.165898206	480	686.3357096354167	24.84375	11730.02578125	38.629185496255204	329441.140625	11730.46875	392	0.15747442015396831	0.0665569635166321	0.41182157797738594	0.08089709720972282	61.729972700355574	3.3412044659489766	392	0.2322813604132653	0.063174605	0.7555748270499936	0.08370687502554322	91.05429328199989	6.602012942	392	25.23420559630102	24.828125	25.1150390625	25.101352689546097	9891.80859375	56.28125
pso	caat	4	480	389	480	10.528766666945133	0.07302801954210736	61.67870610332756	0.26787843822848184	5053.808000133664	61.866715776966885	480	32.53305554459792	0.0711155735	243.6290150235	0.3412864527235122	15615.866661406988	243.807515702	480	688.0744384765625	24.875	11730.3486328125	39.144397610786015	330275.73046875	11730.8046875	389	1.0074158780829523	0.07030501903500408	0.43744723300914634	0.09282372109438244	391.88477657426847	57.6887439910206	389	2.3703765593958868	0.068604642	1.5019098167999771	0.1017375659001948	922.0764816049998	122.366105808	389	41.6984555751928	24.8515625	25.1390625	26.50241217104402	16220.69921875	1298.10546875
pso	caat	8	480	386	480	10.472562395707913	0.07808613101951778	61.62221717966022	0.28109796508092566	5026.829949939798	61.880977986962534	480	53.011032285872915	0.0786962985	487.08773260009997	0.3967629550872392	25445.295497218987	487.380267326	480	692.5591227213541	24.875	11731.015625	40.626672461719416	332428.37890625	11731.43359375	386	0.9461983473589366	0.07560383950476535	0.36144524824339896	0.09866769193808889	365.23256208054954	57.55504593398655	386	2.524363190466321	0.07586369800000001	2.3622111854999996	0.11464892570942996	974.4041915200005	121.968998703	386	42.055881638601036	24.85546875	25.125	26.66410474630236	16233.5703125	1299.01171875
pso	cat	1	480	410	480	10.091189100481158	0.06545939747593366	61.26835756913933	0.24088921468385358	4843.770768230956	61.31142149795778	480	10.080130338866667	0.058845937	61.088639875249996	0.22185412280453226	4838.462562655997	61.303868898	480	284.75696614583336	24.7734375	4643.313085937501	35.69432059209421	136683.34375	4643.5	410	1.3791883513030436	0.06319030199665576	2.337312670782556	0.09360901984623715	565.4672240342479	46.10526199697051	410	1.3723177250634147	0.0569487565	2.3312093685999984	0.08501733455461971	562.6502672759999	46.100205797	410	30.72938262195122	24.76171875	25.021679687499997	25.95650342191824	12599.046875	481.5
pso	cat	2	480	404	480	10.306383131764111	0.06616813852451742	61.289445575277206	0.2369688824446809	4947.063903246773	61.35863876499934	480	20.4466793546	0.0635217295	121.9389201095	0.267990772523875	9814.406090207995	122.061406972	480	290.8110026041667	24.8046875	4643.692773437499	35.960797395729976	139589.28125	4643.92578125	404	0.8973580851909153	0.06393128249328583	0.37257280895428185	0.08440605993295694	362.5326664171298	46.07024646602804	404	1.7130643680816833	0.0614877615	0.6733452865999985	0.08590259262786154	692.0780047050004	92.07537885	404	31.659788830445546	24.775390625	25.09375	26.039256772213268	12790.5546875	549.2890625
pso	cat	4	480	411	480	9.297659346871903	0.07110911203199066	61.333046989364085	0.24361275142345634	4462.876486498513	61.44921842799522	480	28.625098421283333	0.0685062695	243.5146500437	0.30098480010009754	13740.047242215998	243.798795976	480	295.44890950520835	24.841796875	4644.0251953125	36.40064219702341	141815.4765625	4644.23046875	411	1.7740698061253788	0.06960261304629967	17.00958995448309	0.10750100890148528	729.1426903175307	49.686692404036876	411	6.313969769187349	0.066879067	44.760506456	0.11855604838839091	2595.0415751359983	197.947168675	411	31.58300068430657	24.83203125	25.12890625	26.05850912433791	12980.61328125	547.82421875
pso	cat	8	480	412	480	8.095757692184998	0.07713163198786788	61.29670294806129	0.251869598062725	3885.963692248799	61.41873533197213	480	38.70138175121875	0.0775290795	321.6580480840497	0.34007364460363887	18576.66324058501	487.283928123	480	297.8113037109375	24.875	4644.637109375	37.23498872991109	142949.42578125	4644.89453125	412	1.995233071055286	0.0761296424898319	20.733360077644463	0.13038405586390456	822.0360252747778	41.77469315199414	412	13.476694386978155	0.0757239795	94.62212016294995	0.16089092449093786	5552.398087434999	333.035697259	412	31.84447057038835	24.845703125	27.603710937499997	26.28300294721135	13119.921875	548.81640625
sc	caat	1	480	450	480	5.30674459213842	0.06860112500726245	61.29292617118627	0.1816267825517012	2547.237404226442	61.325266119034495	480	5.297329717995834	0.0611368075	61.128130488299995	0.16431134665384253	2542.718264638002	61.31614872	480	316.53309733072916	24.6484375	5410.1251953125	35.71266529074669	151935.88671875	5410.2890625	450	1.5763450413340858	0.06785349448909983	7.91891345201293	0.1232098689097686	709.3552686003386	42.057070726994425	450	1.5678036222066667	0.060865654500000005	7.912528226649999	0.1107243150070593	705.5116299930002	41.922550313	450	32.689618055555556	24.64453125	24.9044921875	26.308944451129214	14710.328125	584.78125
sc	caat	2	480	445	480	5.549883351868387	0.06843816649052314	61.27884662194702	0.18823944133451118	2663.944008896826	61.34461539797485	480	10.931792921685417	0.064082549	120.97222798045	0.20272024669782077	5247.260602409001	121.969891125	480	317.21497395833336	24.68359375	5410.517578125	35.791552641108034	152263.1875	5410.75	445	1.7169948535683575	0.06776053103385493	10.468414786574222	0.1254657653696845	764.0627098379191	58.74070263595786	445	3.3461504387797754	0.063335447	20.83814804319958	0.13016198589556993	1489.036945256998	117.20468587	445	32.92080407303371	24.6640625	24.9625	26.35348799764993	14649.7578125	594.48828125
