log	preventive-syncs	preventive-retentions	preventive-adaptive-retentions	preventive-used-checkpoints	preventive-adaptive-used	preventive-rollback-hits	preventive-unused-discards	preventive-live-checkpoints	preventive-unused-live	max-history-base-bytes	max-preventive-history-base-bytes	retained-undo-bytes	peak-undo-bytes	retained-snapshot-equivalent-bytes	peak-snapshot-equivalent-bytes	offline-evals	sync-ns	history-ns	checkpoint-ns	rollback-ns
caat-pso.preventive-pruning.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	41	41	40	0	0	0	40	1	1	2624	2624	0	0	17208	17208	47	3551027	0	11153	0
caat-pso.preventive-pruning.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	11	11	10	0	0	0	10	1	1	2048	2048	0	0	13496	13496	13	815428	0	3577	0
caat-pso.preventive-pruning.13-privatized_24-multiple-protecting_true.yml.log	96	96	95	0	0	0	95	1	1	4136	4136	0	0	26952	26952	108	14924580	0	25423	0
caat-pso.preventive-pruning.36-apron_21-traces-cluster-based_true.yml.log	44	44	43	0	0	0	43	1	1	2552	2552	0	0	16744	16744	57	4498368	0	14388	0
caat-pso.preventive-pruning.13-privatized_29-multiple-protecting2-vesal_true.yml.log	41	41	40	0	0	0	40	1	1	2624	2624	0	0	17208	17208	47	3724161	0	11131	0
caat-pso.preventive-pruning.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.14_spin2003.yml.log	1	1	0	0	0	0	0	1	1	896	896	0	0	6072	6072	1	67412	0	947	0
caat-pso.preventive-pruning.48_ticket_lock_low_contention_vs-pthread.yml.log	1	1	0	0	0	0	0	1	1	896	896	0	0	6072	6072	1	69054	0	794	0
caat-pso.preventive-pruning.29_conditionals_vs.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.46_monabsex2_vs.yml.log	5	5	4	0	0	0	4	1	1	1544	1544	0	0	10248	10248	5	278229	0	1869	0
caat-pso.preventive-pruning.13-privatized_27-multiple-protecting2_true.yml.log	344	344	343	0	0	0	343	1	1	4424	4424	0	0	28808	28808	380	61354496	0	102868	0
caat-pso.preventive-pruning.45_monabsex1_vs.yml.log	3	3	2	0	0	0	2	1	1	1184	1184	0	0	7928	7928	3	153405	0	1651	0
caat-pso.preventive-pruning.time_var_mutex.yml.log	10	10	9	0	0	0	9	1	1	2408	2408	0	0	15816	15816	12	904523	0	3421	0
caat-pso.preventive-pruning.stateful01-2.yml.log	31	31	30	0	0	0	30	1	1	2624	2624	0	0	17208	17208	37	3081861	0	9516	0
caat-pso.preventive-pruning.01b_inc.yml.log	4	4	3	0	0	0	3	1	1	1544	1544	0	0	10248	10248	4	235204	0	1623	0
caat-pso.preventive-pruning.stateful01-1.yml.log	16	16	15	0	0	0	15	1	1	2624	2624	0	0	17208	17208	18	1334921	0	4926	0
caat-pso.preventive-pruning.02_inc_cas.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.48_ticket_lock_low_contention_vs.yml.log	3	3	2	0	0	0	2	1	1	1832	1832	0	0	12104	12104	3	196335	0	1194	0
