stage	model	program	status	initialize	unchanged	insert	rollback	rollback_insert	rebuild	evicted	oracle	eval_ops	value_changes	queue_pushes	offline_evals	adapter_ns	sync_ns	offline_ns	copy_ns	worklist_ns	checkpoint_ns	rollback_ns	materialize_ns	equality_ns	insert_attempt_ns	history_ns	rebuild_ns	profiled_queries
stage-4	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	63	67	63	18	0	5385622	1462539	128497	891666	82579	7041	840875	3247	1771375	1151457	1463751	22
stage-4	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	187	204	187	25	0	9820503	2053624	124705	2508290	141584	20625	1359165	5961	2999372	3141789	2054834	35
stage-4	sc	correct/data-structures/fcombiner-async/variants/main0.c	0	1	8	20	0	176	122	0	0	4489	5090	4489	123	0	1040501756	55781747	7451063	433693864	5783167	3207168	54342505	241671	97818118	823477212	55787659	327
stage-4	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	185	164	185	18	0	7805876	2180750	229582	2282166	166081	10833	860248	3420	2973871	1533127	2181916	22
stage-4	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	455	415	455	25	0	14078916	3183795	324458	5273126	237249	42459	1292289	4665	4630039	4611503	3185336	35
stage-4	tso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	246	239	246	4	0	18272085	1029834	410542	10626916	172958	83042	931626	7082	3448375	12568500	1030166	10
stage-4	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	0	1	0	3	0	1	17	0	0	192	167	192	18	0	11465042	2589542	401334	3209542	272498	19542	1301625	4420	5130831	2045540	2590958	22
stage-4	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	0	1	1	5	0	4	24	0	0	498	455	498	25	0	19594249	5031833	416541	7030875	418042	53375	2378245	12251	6247665	5303586	5033290	35
stage-4	pso	correct/data-structures/fcombiner-async/variants/main0.c	42	1	2	1	0	3	3	0	0	260	257	260	4	0	21002166	1323459	644083	11837500	190041	87374	1077042	7043	4481708	13850958	1323916	10
