variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records
after	sc	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	15278	2736	13	0	0	0	0	0	0	0	0	1
after	sc	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	13-privatized_20-publish-regression_true.yml	0	41512	2536	12	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_24-multiple-protecting_true.yml	0	297281	10536	52	0	0	0	0	0	0	0	7	1
after	sc	r01	13-privatized_25-struct_nr_true.yml	0	35707	3336	16	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_27-multiple-protecting2_true.yml	0	1170344	12336	61	0	0	0	0	0	0	0	26	1
after	sc	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	100347	6336	31	0	0	0	0	0	0	0	4	1
after	sc	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	70563	4336	21	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	98287	5136	25	0	0	0	0	0	0	0	4	1
after	sc	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	98714	6136	30	0	0	0	0	0	0	0	3	1
after	sc	r01	13-privatized_33-traces-v-matters_true.yml	0	43492	3936	19	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	31452	2936	14	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_35-traces-ex-2_true.yml	0	76195	4136	20	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_36-traces-ex-3_true.yml	0	71707	3736	18	0	0	0	0	0	0	0	3	1
after	sc	r01	13-privatized_37-traces-ex-4_true.yml	0	27469	3136	15	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_38-traces-ex-4-switch_true.yml	0	68895	4136	20	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_40-traces-ex-6_true.yml	0	32370	2936	14	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	29923	2736	13	0	0	0	0	0	0	0	0	1
after	sc	r01	13-privatized_42-traces-ex-mini_true.yml	0	38889	3936	19	0	0	0	0	0	0	0	2	1
