source_line_bin	backend	tasks	all_repetitions_solved	paired_with_baseline	wall_ratio_geomean
0001-0050	caat-sc	32	32	32	1.00355
0001-0050	cat-sc	32	32	32	0.993842
0001-0050	genmc-sc	32	32	32	1
0051-0100	caat-sc	10	10	10	0.994871
0051-0100	cat-sc	10	10	10	1.10317
0051-0100	genmc-sc	10	10	10	1
0501-plus	caat-sc	54	48	48	1.60741
0501-plus	cat-sc	54	43	43	1.87524
0501-plus	genmc-sc	54	54	54	1
