backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
caat-sc	c/pthread-ext/46_monabsex2_vs.yml	5	pthread-ext	30796	719			true	true:5	0.0649302031	0.046459	26009600
caat-sc	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	5	pthread-ext	30774	703			true	true:5	0.065157677	0.045854	26013696
caat-sc	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	5	pthread-ext	31133	728			true	true:5	0.0568499612	0.043566	26034176
caat-sc	c/pthread-theta/exponential-nondet.yml	5	pthread-theta	33638	788			true	true:5	0.0656420072	0.046268	26112000
caat-sc	c/pthread-theta/unwind2-1.yml	5	pthread-theta	33683	783			true	false(unreach-call):5	0.0627606579	0.046205	26124288
caat-sc	c/pthread-theta/unwind2-100.yml	5	pthread-theta	33685	783			true	false(unreach-call):5	0.0625540048	0.046877	26132480
caat-sc	c/pthread-theta/unwind3-1.yml	5	pthread-theta	33579	780			true	false(unreach-call):5	0.0576394198	0.046532	26095616
caat-sc	c/pthread/butterfly.yml	5	pthread	33848	806			true	true:5	16.4636305	16.439154	26214400
caat-sc	c/pthread/fib_safe-5.yml	5	pthread	31317	728			true	true:5	4.29491526	4.280597	26062848
caat-sc	c/pthread/fib_safe-6.yml	5	pthread	31317	728			true	true:5	24.0339599	24.013207	26062848
caat-sc	c/pthread/fib_unsafe-5.yml	5	pthread	31317	728			true	false(unreach-call):5	1.17496535	1.163171	26066944
caat-sc	c/pthread/fib_unsafe-6.yml	5	pthread	31317	728			true	false(unreach-call):5	6.68677353	6.671474	26062848
caat-sc	c/pthread/fib_unsafe-7.yml	5	pthread	31317	728			true	false(unreach-call):5	36.0355825	36.023858	26066944
caat-sc	c/pthread/lazy01.yml	5	pthread	31389	739			true	false(unreach-call):5	0.0629285381	0.045632	26116096
caat-sc	c/pthread/queue.yml	5	pthread	44025	1068			true	false(unreach-call):5	0.0755042031	0.064732	26234880
caat-sc	c/pthread/queue_longer.yml	5	pthread	44020	1067			false	TIMEOUT:5			
caat-sc	c/pthread/queue_ok.yml	5	pthread	43780	1057			true	true:5	0.0649515172	0.050555	26226688
caat-sc	c/pthread/queue_ok_longer.yml	5	pthread	43782	1057			true	true:5	2.45419985	2.432173	164544512
caat-sc	c/pthread/queue_ok_longest.yml	5	pthread	43790	1057			true	true:5	14.9595535	14.945378	613257216
caat-sc	c/pthread/reorder_2.yml	5	pthread	60275	1310			true	false(unreach-call):5	0.119242527	0.107125	26202112
caat-sc	c/pthread/singleton.yml	5	pthread	56401	1166			true	false(unreach-call):5	0.0618407589	0.049006	26263552
caat-sc	c/pthread/singleton_with-uninit-problems.yml	5	pthread	56437	1166			true	true:5	0.0634869561	0.048674	26263552
caat-sc	c/pthread/stateful01-1.yml	5	pthread	30876	731			true	false(unreach-call):5	0.0670394611	0.047357	26099712
caat-sc	c/pthread/stateful01-2.yml	5	pthread	30876	731			true	true:5	0.060533039	0.04667	26095616
caat-sc	c/pthread/triangular-1.yml	5	pthread	30992	725			true	true:5	3.89574783	3.879094	26087424
caat-sc	c/pthread/triangular-2.yml	5	pthread	30994	725			true	false(unreach-call):5	0.934344042	0.924076	26095616
caat-sc	c/pthread/twostage_3.yml	5	pthread	61359	1342			true	false(unreach-call):5	0.0705841219	0.054388	26357760
cat-sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	5	goblint-regression	1061	42			true	true:5	0.0624592791	0.046636	26005504
cat-sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	5	goblint-regression	1011	45			true	true:5	0.059901505	0.046599	26009600
cat-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	5	goblint-regression	977	44			true	false(unreach-call):5	0.0612139648	0.045347	26017792
cat-sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	5	goblint-regression	974	44			true	false(unreach-call):5	0.0614641979	0.045782	26009600
cat-sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	5	goblint-regression	1081	43			true	true:5	0.0594184811	0.046482	26009600
cat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.064177322	0.046232	26009600
cat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.0649767299	0.046192	26013696
cat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	5	goblint-regression	1051	42			true	false(unreach-call):5	0.0631529801	0.046619	26013696
cat-sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	5	goblint-regression	1048	42			true	false(unreach-call):5	0.0600758728	0.046462	26013696
cat-sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	5	goblint-regression	1284	46			true	true:5	0.0640564119	0.04691	26021888
cat-sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	5	goblint-regression	1821	66			true	true:5	0.0747919439	0.058727	26066944
cat-sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	5	goblint-regression	1138	46			true	true:5	0.0602611499	0.046219	26021888
cat-sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	5	goblint-regression	2193	72			true	true:5	0.112229605	0.093189	26103808
cat-sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	5	goblint-regression	1674	53			true	true:5	0.0624447609	0.047814	26034176
cat-sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	5	goblint-regression	1337	51			true	true:5	0.063675337	0.047279	26021888
cat-sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	5	goblint-regression	1267	46			true	true:5	0.062379709	0.047355	26025984
cat-sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	5	goblint-regression	1377	53			true	true:5	0.0689363	0.048775	26046464
cat-sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	5	goblint-regression	1097	42			true	true:5	0.0619198	0.046446	25993216
cat-sc	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	5	goblint-regression	1379	54			true	true:5	0.063785759	0.04603	26013696
cat-sc	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	5	goblint-regression	1041	41			true	true:5	0.0616273889	0.045512	25985024
cat-sc	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	5	goblint-regression	987	39			true	true:5	0.0645126458	0.046666	25976832
cat-sc	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	5	goblint-regression	1041	41			true	true:5	0.060051037	0.04699	25993216
cat-sc	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	5	goblint-regression	1041	41			true	true:5	0.0642814259	0.046773	25985024
cat-sc	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	5	goblint-regression	959	38			true	true:5	0.057333485	0.046158	25972736
cat-sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	5	goblint-regression	945	37			true	false(unreach-call):5	0.0576429451	0.046111	25968640
cat-sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	5	goblint-regression	942	37			true	false(unreach-call):5	0.0662557839	0.046478	25972736
cat-sc	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	5	goblint-regression	1092	42			true	true:5	0.062133763	0.046784	25997312
cat-sc	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	5	goblint-regression	973	39			true	true:5	0.0614433582	0.046218	25972736
cat-sc	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	5	goblint-regression	1054	41			true	true:5	0.067385711	0.046704	25997312
cat-sc	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	5	goblint-regression	909	39			true	true:5	0.060205251	0.046108	25960448
cat-sc	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	5	goblint-regression	866	37			true	true:5	0.0584432131	0.045487	25968640
cat-sc	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	5	goblint-regression	816	36			true	true:5	0.0612737231	0.045326	25960448
cat-sc	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	5	goblint-regression	967	39			true	true:5	0.0611478421	0.046287	25964544
