baseline_runtime_bin	backend	tasks	all_repetitions_solved	wall_ratio_geomean	memory_ratio_geomean
lt-0.1s	caat-sc	79	79	1.06266	1.02805
lt-0.1s	cat-sc	79	79	1.13811	1.03307
lt-0.1s	genmc-sc	79	79	1	1
0.1-1s	caat-sc	5	5	7.49726	1.88647
0.1-1s	cat-sc	5	3	68.4955	3.3448
0.1-1s	genmc-sc	5	5	1	1
1-10s	caat-sc	12	6	3.77464	1.00399
1-10s	cat-sc	12	3	5.15396	1.0031
1-10s	genmc-sc	12	12	1	1
