metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	80	1.0083484197646841	1.0016428344137844	1.0151046013821892	1.0060215832093387	0.09291188222054621	0.35728294692475737
cpu	sc	90	1.0056814241117749	0.9941962026213654	1.0175295995683011	1.0061957999590299	0.24610644971627793	0.49221289943255586
cpu	tso	89	1.0107918463192183	0.9990697042382917	1.0222470239180155	1.014688995682046	0.08932073673118934	0.35728294692475737
cpu	pso	80	1.0081132287034542	0.9956597253459518	1.0206758555065936	1.0068789822679414	0.31430657986393706	0.49221289943255586
wall	all	80	1.0198426097756499	1.0051006594878666	1.0374852538073982	1.0061944387100359	0.03299261842647618	0.13197047370590473
wall	sc	90	1.008074589741598	0.9879634305331064	1.0284114898874692	1.0010602935383024	0.9161288770112893	0.9161288770112893
wall	tso	89	1.0187629600669985	0.9977214825324422	1.0420278173724262	1.0056438786535788	0.13736797135565199	0.27873564666163864
wall	pso	80	1.0310884174428212	1.0027168538188067	1.0649241057709353	1.017525992863051	0.09291188222054621	0.27873564666163864
memory	all	80	0.999977830146125	0.9998449255079106	1.0001114660006194	0.9999379623016442	0.7375543089843226	1.0
memory	sc	90	0.9999289541039079	0.9996749618335802	1.0001718917764122	1.0000791985320563	0.5984117182335187	1.0
memory	tso	89	0.9999624762363379	0.9997006944333331	1.000223657782028	0.9999217282404509	0.9151865048428769	1.0
memory	pso	80	0.9999867088219274	0.9997446611114974	1.0002186244056621	1.0001959888076108	0.49989687686032663	1.0
