variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r01	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	correct	0.071318265	0.07676646299660206	25956352.0	6	7136	2240	0	0
before	sc	r01	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	correct	0.071371011	0.07497202896047384	25829376.0	1	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	correct	0.076907572	0.08500122593250126	25858048.0	26	12336	3904	0	0
before	sc	r01	c/pthread-ext/14_spin2003.yml	true	correct	0.070275948	0.07304562500212342	25833472.0	0	0	0	0	0
before	sc	r01	c/pthread-ext/29_conditionals_vs.yml	true	correct	0.071654596	0.07543605496175587	25829376.0	0	0	0	0	0
before	sc	r01	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	correct	0.062333839	0.07337927108164877	25858048.0	0	0	0	0	0
before	sc	r01	c/pthread-ext/46_monabsex2_vs.yml	true	correct	0.054756147	0.05896472302265465	25812992.0	0	0	0	0	0
before	sc	r01	c/pthread-ext/45_monabsex1_vs.yml	true	correct	0.066171144	0.07224460295401514	25862144.0	0	0	0	0	0
before	sc	r01	c/pthread/stateful01-1.yml	false(unreach-call)	correct	0.071695506	0.07682966603897512	25817088.0	0	6336	1984	0	0
before	sc	r01	c/pthread/stateful01-2.yml	true	correct	0.069084983	0.08043901307974011	25894912.0	6	6536	2048	0	0
before	sc	r01	c/pthread-atomic/time_var_mutex.yml	true	correct	0.073541707	0.0819315769476816	25866240.0	2	5736	1792	0	0
before	sc	r01	c/pthread-ext/01b_inc.yml	true	correct	0.070092918	0.07170147600118071	25862144.0	0	0	0	0	0
before	sc	r01	c/pthread/triangular-1.yml	true	correct	6.194426586	6.208170422934927	25837568.0	16632	27336	8704	0	0
before	sc	r01	c/pthread/triangular-2.yml	false(unreach-call)	correct	1.472328933	1.4833321559708565	25923584.0	3638	27336	8704	0	0
before	sc	r01	c/pthread-ext/02_inc_cas.yml	true	correct	0.072596296	0.07533750601578504	25878528.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false(unreach-call)	correct	3.570498264	3.587845501024276	56512512.0	0	0	0	0	0
before	sc	r01	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	true	correct	0.068799353	0.07696944498457015	25837568.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	false(unreach-call)	correct	12.82738073	12.85484580998309	2061103104.0	0	1807053072	1680820	0	0
before	sc	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	false(unreach-call)	correct	0.067946441	0.07350544701330364	25853952.0	0	3936	1216	0	0
before	sc	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	true	correct	0.067924128	0.07131773896981031	25903104.0	2	3536	1088	0	0
before	sc	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	false(unreach-call)	correct	12.705341684	12.733859303058125	2061058048.0	0	1807007952	1680796	0	0
before	sc	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	false(unreach-call)	correct	12.795975087	12.87297380703967	2061029376.0	0	1807007952	1680796	0	0
before	sc	r01	c/pthread-deagle/circular_buffer_bad.yml	false(unreach-call)	correct	0.071250975	0.07895387604366988	25968640.0	1	34136	10880	0	0
before	sc	r01	c/pthread/fib_safe-5.yml	true	correct	3.759804412	3.8162796249380335	25915392.0	2772	194536	62208	0	0
before	sc	r01	c/pthread/fib_safe-6.yml	true	correct	18.685399944	18.754956046002917	25825280.0	12012	281136	89920	0	0
before	sc	r01	c/pthread/fib_unsafe-5.yml	false(unreach-call)	correct	1.02639575	1.0361999520100653	25894912.0	632	194536	62208	0	0
before	sc	r01	c/pthread/fib_unsafe-6.yml	false(unreach-call)	correct	5.226376539	5.236268195905723	25821184.0	2942	281136	89920	0	0
before	sc	r01	c/pthread/fib_unsafe-7.yml	false(unreach-call)	correct	24.952769437	24.982530231936835	25829376.0	13238	319136	102080	0	0
before	sc	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	correct	12.325083805	12.384866765001789	2060988416.0	0	1807007952	1680796	0	0
before	sc	r01	c/pthread/lazy01.yml	false(unreach-call)	correct	0.068590877	0.07435908098705113	25948160.0	1	5336	1664	0	0
before	sc	r01	c/pthread-deagle/circular_buffer_ok.yml	true	correct	3.051752403	3.059452015091665	25989120.0	3432	185736	59392	0	0
before	sc	r01	c/pthread-atomic/szymanski.yml	true	correct	0.06512343	0.07252540998160839	25808896.0	6	5936	1856	0	0
before	sc	r01	c/pthread-atomic/dekker.yml	true	correct	0.064398379	0.07182990806177258	25829376.0	4	6336	1984	0	0
before	sc	r01	c/pthread-atomic/dekker-unfair.yml	true	correct	0.066368461	0.0723319889511913	25821184.0	4	6336	1984	0	0
