model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio	full_check_ratio	candidate_ratio
sc	r02	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	correct	True	0.069764646	0.069054861	0.07432055403478444	0.07436653203330934	25812992.0	25890816.0	4	4	6336	6336	1984	1984	0	0	0	0	True	True	True	True	True	True	0.989826007287416	1.0006186444533687	1.0030149158997144		
sc	r02	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	correct	True	0.068094386	0.066505755	0.07600461994297802	0.07142140902578831	25882624.0	25821184.0	2	2	4336	4336	1344	1344	0	0	0	0	True	True	True	True	True	True	0.9766701619132008	0.9396982588607345	0.9976262066782718		
sc	r02	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	correct	True	0.064686882	0.06895847	0.06799795490223914	0.07382739603053778	25841664.0	25866240.0	4	4	5136	5136	1600	1600	0	0	0	0	True	True	True	True	True	True	1.0660348415000123	1.0857296537326695	1.0009510223490252		
sc	r02	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	correct	True	0.07034432	0.065723805	0.07400124799460173	0.07123388594482094	25845760.0	25825280.0	3	3	6136	6136	1920	1920	0	0	0	0	True	True	True	True	True	True	0.9343157343762793	0.9626038462218548	0.9992076069730587		
sc	r02	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	correct	True	0.073354475	0.062640345	0.0762901670532301	0.06698659807443619	25747456.0	25735168.0	1	1	3936	3936	1216	1216	0	0	0	0	True	True	True	True	True	True	0.8539403356100633	0.8780502214354503	0.999522748965956		
sc	r02	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	correct	True	0.067468455	0.054819367	0.07515102904289961	0.06051942007616162	25878528.0	25886720.0	1	1	2936	2936	896	896	0	0	0	0	True	True	True	True	True	True	0.8125184873434556	0.8053039438969545	1.0003165558721114		
sc	r02	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	correct	True	0.055214395	0.069912969	0.06395632599014789	0.07603881496470422	25825280.0	25743360.0	2	2	4136	4136	1280	1280	0	0	0	0	True	True	True	True	True	True	1.2662090927556122	1.1889178089500883	0.9968279143536876		
sc	r02	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	correct	True	0.069681731	0.066627363	0.07492506795097142	0.08334960299544036	25735168.0	25870336.0	3	3	3736	3736	1152	1152	0	0	0	0	True	True	True	True	True	True	0.9561668753607743	1.1124394715261612	1.0052522680248288		
sc	r02	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	correct	True	0.072534976	0.069044909	0.08188515098299831	0.07495233695954084	25882624.0	25755648.0	2	2	3136	3136	960	960	0	0	0	0	True	True	True	True	True	True	0.9518843571410295	0.9153349057767883	0.9950941604684286		
sc	r02	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	correct	True	0.067558068	0.069832083	0.07344588194973767	0.07484494603704661	25821184.0	25874432.0	2	2	4136	4136	1280	1280	0	0	0	0	True	True	True	True	True	True	1.033660154402284	1.0190489112550434	1.0020621827411167		
