variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	lazy_depth_fallbacks	records
after	pso	r02	36-apron_11-traces-max-simple_true.yml	0	249139	3304	16	20	171	0	0	1
after	pso	r02	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_21-traces-cluster-based_true.yml	0	2438144	6648	35	172	3116	0	0	1
after	pso	r02	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	45_monabsex1_vs.yml	0	110063	3304	16	8	57	0	0	1
after	pso	r02	46_monabsex2_vs.yml	0	168664	4184	21	18	137	0	0	1
after	pso	r02	48_ticket_lock_low_contention_vs-pthread.yml	0	37903	2600	12	2	8	0	0	1
after	pso	r02	48_ticket_lock_low_contention_vs.yml	0	116978	4888	25	8	99	0	0	1
after	pso	r02	butterfly.yml	0	12988973970	11224	61	694890	54985280	0	0	1
after	pso	r02	circular_buffer_bad.yml	0	11986547	31880	89	476	37904	0	0	1
after	pso	r02	circular_buffer_ok.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	dekker-unfair.yml	0	849895	6648	35	74	1600	0	0	1
after	pso	r02	dekker.yml	0	807538	6648	35	70	1568	0	0	1
after	pso	r02	exponential-nondet.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	fib_safe-5.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	fib_safe-6.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	fib_unsafe-5.yml	0	5711060051	171752	243	96526	11518678	0	0	1
after	pso	r02	fib_unsafe-6.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	fib_unsafe-7.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	lazy01.yml	0	386801	5592	29	36	861	0	0	1
after	pso	r02	pthread-demo-datarace-3.yml	0	34215846	231304	262	80	930799	0	0	1
after	pso	r02	queue.yml	0	401951343	145000	205	5918	2074810	0	0	1
after	pso	r02	queue_longer.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	queue_ok.yml	0	9195825	534328	433	34	133711	0	0	1
after	pso	r02	queue_ok_longer.yml	113163064	3176682146	44133960	8033	34	49930431	0	0	1
after	pso	r02	queue_ok_longest.yml	594192704	17123750765	174022760	16033	34	203270106	0	16	1
after	pso	r02	race-1_1-join.yml	0	63633	3304	16	6	30	0	0	1
after	pso	r02	race-1_2-join.yml	0	276630	5416	28	26	546	0	0	1
after	pso	r02	race-1_3-join.yml	0	276041	5416	28	26	546	0	0	1
after	pso	r02	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	1
after	pso	r02	reorder_2.yml	0	236324363	29416	82	12692	778472	0	0	1
after	pso	r02	singleton.yml	0	514635	8760	47	40	1331	0	0	1
after	pso	r02	singleton_with-uninit-problems.yml	0	1598850	8936	48	130	3400	0	0	1
after	pso	r02	stateful01-1.yml	0	372879	6824	36	20	941	0	0	1
after	pso	r02	stateful01-2.yml	0	3115739	6824	36	246	4314	0	0	1
after	pso	r02	szymanski.yml	0	6500184	5944	31	756	9033	0	0	1
after	pso	r02	time_var_mutex.yml	0	631781	6296	33	44	1007	0	0	1
after	pso	r02	triangular-1.yml	0	0	0	0	0	0	0	0	0
after	pso	r02	triangular-2.yml	0	7841960972	24488	68	493952	14750405	0	0	1
after	pso	r02	twostage_3.yml	0	4930438	36104	101	138	38625	0	0	1
after	pso	r02	unwind2-1.yml	0	69209	3656	18	6	63	0	0	1
after	pso	r02	unwind2-100.yml	0	70589	3656	18	6	63	0	0	1
after	pso	r02	unwind3-1.yml	0	67567	3656	18	6	187	0	0	1
after	pso	r03	01b_inc.yml	0	150122	4184	21	10	129	0	0	1
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_01-priv_nr_true.yml	0	226215	4360	22	20	590	0	0	1
after	pso	r03	13-privatized_18-first-reads_true.yml	0	262510	3304	16	20	209	0	0	1
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	0	29634	1896	8	2	27	0	0	1
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	0	35170	1896	8	2	27	0	0	1
after	pso	r03	13-privatized_19-publish-precision_true.yml	0	812785	4536	23	66	1041	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	0	46624	2776	13	2	43	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	0	44838	2776	13	2	43	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	380561	4712	24	36	597	0	0	1
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	14268774	10520	57	852	23592	0	0	1
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	236298	4360	22	20	590	0	0	1
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	50311046	11224	61	3092	82273	0	0	1
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	1779592	6824	36	176	3243	0	0	1
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	775833	5064	26	60	981	0	0	1
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2031791	5768	30	168	2572	0	0	1
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2061352	6824	36	152	3063	0	0	1
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	8348503	5240	27	20	306	0	0	1
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	327863	5416	28	24	292	0	0	1
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	752256	4888	25	60	766	0	0	1
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	660053	4360	22	54	666	0	0	1
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	638906	4888	25	56	604	0	0	1
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	0	733276	4888	25	60	761	0	0	1
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	0	160934	4184	21	16	159	0	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	40039	2776	13	2	44	0	0	1
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	0	515632	5064	26	40	596	0	0	1
after	pso	r03	13-privatized_44-traces-mine2_true.yml	0	104680	4184	21	6	69	0	0	1
after	pso	r03	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	734028	4888	25	58	797	0	0	1
after	pso	r03	13-privatized_46-refine-protected1_true.yml	0	83743	2952	14	8	47	0	0	1
after	pso	r03	13-privatized_47-refine-protected2_true.yml	0	196191	3128	15	20	171	0	0	1
after	pso	r03	13-privatized_57-singlethreaded-unlock_true.yml	0	39832	1544	6	2	6	0	0	1
after	pso	r03	13-privatized_58-singlethreaded-lock_true.yml	0	32877	1544	6	2	6	0	0	1
after	pso	r03	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	29007	2248	10	2	13	0	0	1
