model	task	status	cpu_s	wall_s	rss_bytes	profile_records	checkpoint_records	final_records	max_active_events	max_stable_events	profiled_queries	max_current_base_bytes	max_published_predicate_bytes	max_transactional_predicate_bytes_lower_bound	base_relation_peak_sum	base_set_peak_sum	predicate_relation_peak_sum	predicate_set_peak_sum	predicate_evaluation_ns_sum	normalized_base_relation_peak_sum	reach_relation_peak_sum	target_relation_peak_sum	all_relation_peak_sum	target_relation_share	target_sparse_projection	target_packed_to_sparse	target_structural_projection	target_packed_to_structural
tso	dekker-unfair.yml	true	0.079698054	0.08783249999396503	26087424	4	3	1	31	31	7	2264	11456	0	2232	32	11408	48	187543	2232	248	4960	13640	0.36363636363636365	12132	0.4088361358391032	2104	2.3574144486692017
tso	unwind3-1.yml	false(unreach-call)	0.079044464	0.08737864001886919	26030080	2	1	1	18	18	1	1328	6672	0	1296	32	6624	48	16807	1296	144	2880	7920	0.36363636363636365	4952	0.5815831987075929	1136	2.535211267605634
tso	exponential-nondet.yml	true	0.070887472	0.08036545797949657	26091520	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	unwind2-1.yml	false(unreach-call)	0.072131934	0.07867359404917806	26075136	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	unwind2-100.yml	false(unreach-call)	0.075038302	0.08239533100277185	26075136	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	43_NetBSD_sysmon_power_sliced.yml	true	0.075088586	0.08058554999297485	25935872	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	queue_ok.yml	true	0.089657319	0.10066115303197876	26198016	3	2	1	229	229	3	66080	337280	0	65952	128	337088	192	2691878	65952	7328	146560	403040	0.36363636363636365	503696	0.2909691559988565	60664	2.4159303705657393
tso	triangular-2.yml	false(unreach-call)	2.243308413	2.2495545860147104	26062848	14	13	1	64	68	7732	9856	50144	0	9792	64	50048	96	503615070	9792	1088	21760	59840	0.36363636363636365	60196	0.36148581301083127	6572	3.3110164333536214
tso	fib_unsafe-5.yml	false(unreach-call)	2.605908898	2.622623500006739	26017792	12	11	1	239	243	1405	70112	357888	0	69984	128	357696	192	999337765	69984	7776	155520	427680	0.36363636363636365	555856	0.2797846924383294	46388	3.3525911873760457
tso	28-race_reach_21-deref_read_racing.yml	false(unreach-call)	3.572092904	3.5949565839837305	56238080	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	queue.yml	false(unreach-call)	0.125430884	0.13066201895708218	26193920	6	5	1	201	201	20	58016	296064	0	57888	128	295872	192	10604140	57888	6432	128640	353760	0.36363636363636365	546452	0.23540951446787642	50168	2.564184340615532
tso	singleton.yml	false(unreach-call)	0.088035822	0.09261130000231788	26173440	4	3	1	43	43	5	3128	15872	0	3096	32	15824	48	128712	3096	344	6880	18920	0.36363636363636365	22592	0.3045325779036827	3228	2.131350681536555
tso	singleton_with-uninit-problems.yml	true	0.090206198	0.09866233798675239	26189824	5	4	1	44	44	9	3200	16240	0	3168	32	16192	48	208686	3168	352	7040	19360	0.36363636363636365	23792	0.29589778076664425	3340	2.1077844311377247
tso	pthread-demo-datarace-3.yml	false(unreach-call)	0.180672288	0.187867478991393	26087424	4	4	0	134	134	8	29040	148080	0	94320	160	482080	240	28383558	94320	10480	209600	576400	0.36363636363636365	1030284	0.20343905175660304	88112	2.378790630107136
