task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	benchmark-consistent	0.069329597s	0.07478016801178455s	25690112B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	true	wrong	conditional-input-miss	0.068117145s	0.07383133104303852s	25657344B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	benchmark-consistent	0.073841553s	0.07838709105271846s	25694208B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	benchmark-consistent	0.072080955s	0.077839387988206s	25686016B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.069345322s	0.07331854203948751s	25722880B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	benchmark-consistent	0.071184682s	0.07889887201599777s	25731072B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	benchmark-consistent	0.069792707s	0.075610249012243s	25686016B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.064416602s	0.07030660001328215s	25772032B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	true	wrong	conditional-input-miss	0.067221941s	0.07518206402892247s	25718784B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	benchmark-consistent	0.070244955s	0.07528177701169625s	25677824B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	benchmark-consistent	0.057725984s	0.06550465896725655s	25710592B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	benchmark-consistent	0.059605632s	0.06788731599226594s	25661440B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.069734503s	0.07689973997185007s	25735168B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	benchmark-consistent	0.069557516s	0.0786708120140247s	25698304B			shard1/fair-census-shard1.2026-07-15_17-15-49.results.genmc-fair-sc.unreach-call.xml.bz2
