model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio
sc	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	correct	True	0.072447656	0.071770592	0.07640322099905461	0.07875683100428432	25878528.0	25776128.0											True	True	True	True	True	True	0.9906544388406437	1.030805114947429	0.9960430515986072
sc	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	correct	True	0.067864984	0.067665383	0.07296752696856856	0.07398471003398299	25763840.0	25804800.0											True	True	True	True	True	True	0.9970588514394992	1.013940215705167	1.0015898251192368
sc	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	correct	True	0.068126632	0.069383478	0.07746843399945647	0.07482655392959714	25747456.0	25739264.0											True	True	True	True	True	True	1.0184486736405813	0.9658973347792488	0.9996818326439707
sc	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	correct	True	0.066853722	0.070540155	0.0811966749606654	0.08584278903435916	25874432.0	25755648.0											True	True	True	True	True	True	1.0551417765491051	1.0572204967253216	0.9954092132341301
sc	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	correct	True	0.067653112	0.069750227	0.07513081992510706	0.07578260102309287	25833472.0	25804800.0											True	True	True	True	True	True	1.0309980566747616	1.008675282642137	0.9988901220865705
sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.068762173	0.0702568	0.07752814097329974	0.07735783001407981	25812992.0	25796608.0											True	True	True	True	True	True	1.0217361804432794	0.9978032369010552	0.9993652808632181
sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.0704363	0.064510159	0.07449987903237343	0.0708253220655024	25817088.0	25784320.0											True	True	True	True	True	True	0.9158652427796463	0.9506770076059551	0.9987307631286689
sc	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	correct	True	0.070518164	0.076540765	0.07303410104941577	0.11380671407096088	25808896.0	25825280.0											True	True	True	True	True	True	1.0854049603446851	1.558268157418106	1.000634819869862
sc	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	correct	True	0.06715941	0.074990467	0.08506907499395311	0.07745999097824097	25825280.0	25767936.0											True	True	True	True	True	True	1.1166040172181382	0.9105540525008293	0.9977795400475813
sc	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	correct	True	0.069075002	0.066329159	0.07531047007068992	0.07362195197492838	25812992.0	25837568.0											True	True	True	True	True	True	0.9602483833442379	0.9775792383957156	1.0009520787051729
sc	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	correct	True	0.058598504	0.065633908	0.06454982701689005	0.07148215803317726	25772032.0	25833472.0											True	True	True	True	True	True	1.1200611537796255	1.1073950363100633	1.002383979656707
sc	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	correct	correct	True	0.075616027	0.069991094	0.08022596000228077	0.0976836180780083	25808896.0	25776128.0											True	True	True	True	True	True	0.9256118944202133	1.2176060975179508	0.9987303602602762
sc	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	correct	True	0.070241053	0.069843447	0.10989341500680894	0.10669227095786482	25812992.0	25825280.0											True	True	True	True	True	True	0.9943394071840012	0.9708704652708647	1.0004760393525864
sc	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	correct	correct	True	0.069202483	0.072136633	0.07629096996970475	0.07698223390616477	25849856.0	25788416.0											True	True	True	True	True	True	1.0423994902032636	1.009060888028223	0.9976231975915069
sc	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	correct	correct	True	0.072890981	0.066033123	0.07786944496911019	0.07281707902438939	25821184.0	25804800.0											True	True	True	True	True	True	0.9059162339988264	0.9351174784060036	0.9993654822335025
sc	r01	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	correct	correct	True	0.072252258	0.073474851	0.08698768599424511	0.08973587106447667	25886720.0	25882624.0											True	True	True	True	True	True	1.0169211735915575	1.0315928057956774	0.9998417721518987
sc	r01	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	true	correct	correct	True	0.07270239	0.072558238	0.09153970098122954	0.07794397603720427	25804800.0	25931776.0											True	True	True	True	True	True	0.9980172316205834	0.8514772847377651	1.004920634920635
sc	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	13.20266299	13.106371295	13.314480976900086	13.153653456945904	2061008896.0	2061049856.0											True	True	True	True	True	True	0.9927066459946048	0.987920856980215	1.0000198737618646
sc	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	12.225079892	12.260604131	12.33434565202333	12.289020312018692	2060955648.0	2061049856.0											True	True	True	True	True	True	1.0029058492307479	0.9963252740531718	1.0000457108332688
sc	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	13.185863366	13.027439506	13.239659557002597	13.283203940023668	2061017088.0	2061066240.0											True	True	True	True	True	True	0.9879853252227307	1.0032889352504566	1.000023848419446
sc	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	3.972912373	4.113927933	4.001564056030475	4.140853276941925	56373248.0	56262656.0											True	True	True	True	True	True	1.0354942537767369	1.0348086945407102	0.9980382184116835
sc	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	12.725485738	12.72720331	12.778310100082308	12.752831859048456	2060939264.0	2061000704.0											True	True	True	True	True	True	1.0001349710364982	0.9980061337661786	1.0000298116499953
