repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T01:02:17+00:00
02	28-51	0-23	0	0	2026-07-17T01:03:20+00:00
03	0-23	28-51	0	0	2026-07-17T01:04:24+00:00
04	28-51	0-23	0	0	2026-07-17T01:05:27+00:00
