repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T00:19:11+00:00
02	28-51	0-23	0	0	2026-07-17T00:20:14+00:00
03	0-23	28-51	0	0	2026-07-17T00:21:17+00:00
04	28-51	0-23	0	0	2026-07-17T00:22:21+00:00
