task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-pso.profile.exponential-nondet.yml.log	0	0	0	0	0	0
caat-pso.profile.lazy01.yml.log	2120	0	14200	0	14200	0
caat-pso.profile.pthread-demo-datarace-3.yml.log	94480	0	619120	0	619120	0
caat-pso.profile.queue.yml.log	59168	0	387768	0	387768	0
caat-pso.profile.queue_ok.yml.log	218456	0	1431576	0	1431576	0
caat-pso.profile.race-1_1-join.yml.log	1184	0	8064	0	8064	0
caat-pso.profile.race-1_2-join.yml.log	2048	0	13728	0	13728	0
caat-pso.profile.race-1_3-join.yml.log	2048	0	13728	0	13728	0
caat-pso.profile.race-2_1-container_of.yml.log	0	0	0	0	0	0
caat-pso.profile.race-3_1-container_of-global.yml.log	0	0	0	0	0	0
caat-pso.profile.race-4_1-thread_local_vars.yml.log	0	0	0	0	0	0
caat-pso.profile.reorder_2.yml.log	11872	0	77992	0	77992	0
caat-pso.profile.singleton.yml.log	3416	0	22696	0	22696	0
caat-pso.profile.singleton_with-uninit-problems.yml.log	3488	0	23168	0	23168	0
caat-pso.profile.stateful01-1.yml.log	2624	0	17504	0	17504	0
caat-pso.profile.stateful01-2.yml.log	2624	0	17504	0	17504	0
caat-pso.profile.szymanski.yml.log	2264	0	15144	0	15144	0
caat-pso.profile.time_var_mutex.yml.log	2408	0	16088	0	16088	0
caat-pso.profile.twostage_3.yml.log	14608	0	95928	0	95928	0
caat-pso.profile.unwind2-1.yml.log	1328	0	9008	0	9008	0
caat-pso.profile.unwind2-100.yml.log	1328	0	9008	0	9008	0
caat-pso.profile.unwind3-1.yml.log	1328	0	9008	0	9008	0
caat-sc.profile.01b_inc.yml.log	0	0	0	0	0	0
caat-sc.profile.02_inc_cas.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_01-priv_nr_true.yml.log	1024	0	3608	0	3608	0
caat-sc.profile.13-privatized_18-first-reads_true.yml.log	768	0	2744	0	2744	0
caat-sc.profile.13-privatized_18-first-reads_unknown_1_neg.yml.log	512	0	1880	0	1880	0
