metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	79	1.0025015504145702	0.9977850299572706	1.0073391590136926	1.0026487589091098	0.3681876338306308	0.3681876338306308
cpu	sc	90	1.0120870820307952	1.005005773746697	1.019455216930636	1.0104300857849768	2.966452922520188e-05	0.00011865811690080752
cpu	tso	89	0.9896724081147847	0.9828811452569406	0.9965913414962636	0.9857385079279377	0.0002655853429874699	0.0007967560289624098
cpu	pso	79	1.0121125782054385	1.0036750196280282	1.020844132373281	1.0134607924433603	0.0031830106288350717	0.006366021257670143
wall	all	79	0.9936699022499355	0.976098832353869	1.0096807800373366	0.9993465044129661	1.0	1.0
wall	sc	90	0.9901667703310216	0.9749635463584214	1.0044665128904335	1.004432777415134	0.7520332015985947	1.0
wall	tso	89	0.9643912168131156	0.9333721852565459	0.9925280239624721	0.9903286355824165	0.5250147872924269	1.0
wall	pso	79	1.0379684743214186	1.0115621459008575	1.066459650387424	1.0208193803857157	0.006553297670283774	0.026213190681135097
memory	all	79	0.9999549497957082	0.9997786082062756	1.0001214517367916	1.0000782803135395	0.8221442424521855	1.0
memory	sc	90	0.9999101346630453	0.9996424898664636	1.0001740689203862	0.9999606639918182	0.9151865048428769	1.0
memory	tso	89	0.9999347256921343	0.9996536779626222	1.0001967794745477	0.9999211480838984	0.3318343545999156	1.0
memory	pso	79	0.999953597291405	0.9997460865545893	1.000157733988217	0.9999210920855361	0.6487911623106449	1.0
