   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/core-direction-review-20260718/finite-skeleton-pthread-wmm.xml
name:                    finite-skeleton-pthread-wmm
run sets:                finite-skeleton.pthread-wmm.unreach-call
date:                    Sat, 2026-07-18 05:52:39 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector
parallel runs:           48
resource limits:
- memory:                4000.0 MB
- time:                  15 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    81923ccee93e
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



finite-skeleton.pthread-wmm.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
mix030_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.07        0.09        None
mix030_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   ERROR                            0.06        0.07        None
mix030_tso.yml                                                                                                                                                         ERROR                            0.08        0.10        None
mix031.oepc.yml                                                                                                                                                        ERROR                            0.08        0.09        None
mix031.opt.yml                                                                                                                                                         ERROR                            0.07        0.09        None
mix032.oepc.yml                                                                                                                                                        ERROR                            0.08        0.10        None
mix032.opt.yml                                                                                                                                                         ERROR                            0.07        0.08        None
mix033.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix033_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.07        0.07        None
mix033_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.09        None
mix034_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.yml                                                                                                     ERROR                            0.08        0.09        None
mix034_pso.opt_tso.opt.yml                                                                                                                                             ERROR                            0.06        0.07        None
mix035.oepc.yml                                                                                                                                                        ERROR                            0.06        0.08        None
mix035_power.opt_rmo.opt.yml                                                                                                                                           ERROR                            0.07        0.08        None
mix035_pso.opt_tso.opt.yml                                                                                                                                             ERROR                            0.07        0.09        None
mix036.oepc.yml                                                                                                                                                        ERROR                            0.07        0.08        None
mix036_power.opt_rmo.opt.yml                                                                                                                                           ERROR                            0.07        0.07        None
mix036_pso.opt_tso.opt.yml                                                                                                                                             ERROR                            0.07        0.07        None
mix037.opt.yml                                                                                                                                                         ERROR                            0.07        0.07        None
mix037_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.09        None
mix037_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.08        None
mix038.opt.yml                                                                                                                                                         ERROR                            0.07        0.08        None
mix038_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.06        0.08        None
mix038_tso.oepc.yml                                                                                                                                                    ERROR                            0.06        0.07        None
mix039.oepc.yml                                                                                                                                                        ERROR                            0.08        0.09        None
mix039.opt.yml                                                                                                                                                         ERROR                            0.06        0.07        None
mix040.opt.yml                                                                                                                                                         ERROR                            0.08        0.08        None
mix040_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.08        None
mix040_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.08        None
mix041_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.08        None
mix041_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  ERROR                            0.08        0.08        None
mix042.oepc.yml                                                                                                                                                        ERROR                            0.06        0.07        None
mix042.opt.yml                                                                                                                                                         ERROR                            0.08        0.08        None
mix043.oepc.yml                                                                                                                                                        ERROR                            0.08        0.10        None
mix043.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix044.opt.yml                                                                                                                                                         ERROR                            0.08        0.10        None
mix044_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.07        0.09        None
mix044_tso.oepc.yml                                                                                                                                                    ERROR                            0.07        0.07        None
mix045_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.07        0.08        None
mix045_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  ERROR                            0.07        0.08        None
mix046.oepc.yml                                                                                                                                                        ERROR                            0.08        0.09        None
mix046.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix047_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.08        None
mix047_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  ERROR                            0.08        0.09        None
mix048_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr000_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml    ERROR                            0.07        0.07        None
mix049_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr001_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml    ERROR                            0.08        0.09        None
mix050.yml                                                                                                                                                             ERROR                            0.08        0.10        None
mix051_power.oepc_power.opt_pso.oepc_rmo.oepc.yml                                                                                                                      ERROR                            0.08        0.09        None
mix051_pso.opt_rmo.opt_tso.opt.yml                                                                                                                                     ERROR                            0.07        0.08        None
mix051_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.09        None
mix052_power.oepc_power.opt_pso.oepc_rmo.oepc.yml                                                                                                                      ERROR                            0.06        0.07        None
mix052_pso.opt_rmo.opt_tso.opt.yml                                                                                                                                     ERROR                            0.06        0.07        None
mix052_tso.oepc.yml                                                                                                                                                    ERROR                            0.06        0.07        None
mix053.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix053_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.09        0.09        None
mix053_tso.oepc.yml                                                                                                                                                    ERROR                            0.07        0.08        None
mix054_power.oepc_power.opt_pso.oepc_rmo.oepc.yml                                                                                                                      ERROR                            0.06        0.08        None
mix054_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                            ERROR                            0.07        0.09        None
mix055.opt.yml                                                                                                                                                         ERROR                            0.07        0.07        None
mix055_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.10        None
mix055_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.09        None
mix056_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.08        None
mix056_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  ERROR                            0.08        0.09        None
mix057_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.09        None
mix057_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  ERROR                            0.07        0.08        None
rfi000_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.10        None
rfi000_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   ERROR                            0.07        0.08        None
rfi000_tso.yml                                                                                                                                                         ERROR                            0.08        0.11        None
rfi001_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.09        None
rfi001_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  ERROR                            0.08        0.09        None
rfi002_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      ERROR                            0.07        0.07        None
rfi002_tso.yml                                                                                                                                                         ERROR                            0.09        0.11        None
rfi003_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      ERROR                            0.07        0.07        None
rfi003_tso.yml                                                                                                                                                         ERROR                            0.09        0.10        None
rfi004.yml                                                                                                                                                             ERROR                            0.08        0.09        None
rfi005.yml                                                                                                                                                             ERROR                            0.08        0.09        None
rfi006_power.oepc.yml                                                                                                                                                  ERROR                            0.08        0.09        None
