variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25993216
after	pso	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25952256
after	pso	r01	36-apron_21-traces-cluster-based_true.yml	0	3809609	6648	35	172	1147	0	86	36792	41091	0	6	1	26071040
after	pso	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26013696
after	pso	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25878528
after	pso	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26005504
after	pso	r01	45_monabsex1_vs.yml	0	166011	3304	16	8	31	0	4	758	766	0	0	1	25997312
after	pso	r01	46_monabsex2_vs.yml	0	322577	4184	21	18	66	0	9	2087	2105	0	0	1	25989120
after	pso	r01	48_ticket_lock_low_contention_vs-pthread.yml	0	46028	2600	12	2	3	0	1	149	151	0	0	1	26083328
after	pso	r01	48_ticket_lock_low_contention_vs.yml	0	197986	4888	25	8	57	0	4	1230	1366	0	0	1	26034176
after	pso	r01	butterfly.yml	0	18734981460	11224	61	694890	17811839	0	347445	323679200	392253708	0	64560	1	26230784
after	pso	r01	circular_buffer_bad.yml	0	13140427	31880	89	476	13886	0	238	151461	228264	0	1	1	26173440
after	pso	r01	circular_buffer_ok.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26181632
after	pso	r01	dekker-unfair.yml	0	1175317	6648	35	74	464	0	37	15829	17944	0	4	1	26058752
after	pso	r01	dekker.yml	0	1169925	6648	35	70	451	0	35	15388	17489	0	4	1	26083328
after	pso	r01	exponential-nondet.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26087424
after	pso	r01	fib_safe-5.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26030080
after	pso	r01	fib_safe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26103808
after	pso	r01	fib_unsafe-5.yml	0	7402180852	171752	243	96526	3814084	0	48263	23175953	64243734	0	632	1	26046464
after	pso	r01	fib_unsafe-6.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26095616
after	pso	r01	fib_unsafe-7.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26058752
after	pso	r01	lazy01.yml	0	544762	5592	29	36	327	0	18	5633	6478	0	1	1	26173440
after	pso	r01	pthread-demo-datarace-3.yml	0	35012028	231304	262	80	454000	0	40	278340	1865819	0	0	1	26087424
after	pso	r01	queue.yml	0	443419117	145000	205	5918	1480526	0	2959	3321776	5741117	0	2	1	26247168
after	pso	r01	queue_longer.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	82251776
after	pso	r01	queue_ok.yml	0	13122211	534328	433	34	102809	0	17	38538	191008	0	2	1	26243072
after	pso	r01	queue_ok_longer.yml	179567097	3742937732	44133960	8033	34	49930426	0	1	137	143	16	2	1	125554688
after	pso	r01	queue_ok_longest.yml	536438434	16819411575	174022760	16033	34	203270101	16	1	137	143	16	2	1	473575424
after	pso	r01	race-1_1-join.yml	0	91745	3304	16	6	17	0	3	415	421	0	1	1	26206208
after	pso	r01	race-1_2-join.yml	0	428976	5416	28	26	333	0	13	4020	4682	0	1	1	26222592
after	pso	r01	race-1_3-join.yml	0	446905	5416	28	26	333	0	13	4020	4682	0	1	1	26222592
after	pso	r01	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26300416
after	pso	r01	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26349568
after	pso	r01	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26349568
after	pso	r01	reorder_2.yml	0	311640116	29416	82	12692	356071	0	6346	3497435	4326542	0	162	1	26218496
after	pso	r01	singleton.yml	0	847731	8760	47	40	280	0	20	11366	12741	0	1	1	26214400
after	pso	r01	singleton_with-uninit-problems.yml	0	2400678	8936	48	130	956	0	65	33330	36110	0	4	1	26218496
after	pso	r01	stateful01-1.yml	0	537331	6824	36	20	318	0	10	4392	5748	0	0	1	26107904
