back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
0	0	correct	5	1	0.066338326	26083328.0	2	1	0	01	3	0	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	baseline	0.07425424107350409	2	1
3	3	correct	117	78	0.074676708	25976832.0	31	84	78	01	20	3	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	87	baseline	0.08698052098043263	84	84
1	1	correct	31	16	0.063650755	25952256.0	10	18	16	01	8	1	true	goblint-regression/13-privatized_20-publish-regression_true.yml	19	baseline	0.07700476492755115	18	18
3	3	correct	46	26	0.07185871	26038272.0	18	32	26	01	15	3	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	33	baseline	0.07649136509280652	32	32
4	4	correct	112	70	0.072058599	26083328.0	34	78	70	01	26	4	true	goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	80	baseline	0.08531555195804685	78	78
1	1	correct	25	10	0.071837941	26034176.0	11	12	10	01	11	1	true	goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	13	baseline	0.07664745103102177	12	12
0	0	correct	1	0	0.072007182	26144768.0	0	0	0	01	2	0	true	goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	1	baseline	0.07511981797870249	0	0
3	3	correct	126	82	0.070197337	26042368.0	33	88	82	01	21	3	true	goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	91	baseline	0.07795254199299961	88	88
6	6	correct	515	414	0.108499145	26038272.0	137	426	414	01	49	6	true	goblint-regression/13-privatized_24-multiple-protecting_true.yml	432	baseline	0.11654296691995114	426	426
8	7	correct	118	73	0.075976287	26107904.0	27	88	73	01	30	8	true	goblint-regression/36-apron_21-traces-cluster-based_true.yml	94	baseline	0.08483875507954508	88	88
0	0	correct	0	0	0.071057444	26079232.0	0	0	0	01	0	0	true	goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	baseline	0.08044840698130429	0	0
28	25	correct	1859	1510	0.19679194	26173440.0	155	1553	1510	01	167	28	true	goblint-regression/13-privatized_27-multiple-protecting2_true.yml	1564	baseline	0.20467345300130546	1563	1563
0	0	correct	3	1	0.066120152	25972736.0	1	1	1	01	1	0	true	pthread-ext/14_spin2003.yml	1	baseline	0.07791234098840505	1	1
0	0	correct	0	0	0.067039173	25882624.0	0	0	0	01	0	0	true	pthread-ext/29_conditionals_vs.yml	0	baseline	0.0758852290455252	0	0
0	0	correct	3	1	0.067248505	25968640.0	1	1	1	01	1	0	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	1	baseline	0.07560002198442817	1	1
0	0	correct	15	9	0.066339631	25964544.0	9	9	9	01	3	0	true	pthread-ext/46_monabsex2_vs.yml	9	baseline	0.0747025579912588	9	9
0	0	correct	8	4	0.069513233	26058752.0	4	4	4	01	2	0	true	pthread-ext/45_monabsex1_vs.yml	4	baseline	0.07435189303942025	4	4
2	2	correct	52	36	0.072013723	26054656.0	41	3	0	01	20	4	false(unreach-call)	pthread/stateful01-1.yml	10	baseline	0.07884409802500159	43	3
5	5	correct	135	104	0.076775101	26116096.0	40	112	104	01	31	5	true	pthread/stateful01-2.yml	126	baseline	0.0829484579153359	114	114
1	1	correct	26	16	0.066873964	26071040.0	13	18	16	01	9	1	true	pthread-atomic/time_var_mutex.yml	23	baseline	0.08402743702754378	18	18
0	0	correct	11	5	0.071593712	26001408.0	5	5	5	01	3	0	true	pthread-ext/01b_inc.yml	5	baseline	0.07987292692996562	5	5
		error			60.977325418	26042368.0				01			TIMEOUT	pthread/triangular-1.yml		baseline	61.0162534910487		
3648	3648	correct	262766	242312	20.949792291	26152960.0	624	248041	241818	01	12076	3668	false(unreach-call)	pthread/triangular-2.yml	249550	baseline	20.96859018097166	249629	249105
0	0	correct	1	0	0.065319292	25952256.0	0	0	0	01	1	0	true	pthread-ext/02_inc_cas.yml	0	baseline	0.07859593397006392	0	0
0	0	correct	1	0	3.087564264	56582144.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	0	baseline	3.102188875898719	1	1
0	0	correct	8	4	0.073509159	26050560.0	4	4	4	01	2	0	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	4	baseline	0.07933558104559779	4	4
		error			61.046008072	1057112064.0				01			TIMEOUT	goblint-regression/28-race_reach_37-indirect_racing.yml		baseline	61.07166126300581		
