   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/core-direction-review-20260718/decisive-diagnostic-283.xml
name:                    decisive-diagnostic-283
run sets:                recursive-caat-observation-only.pthread-wmm-283
date:                    Sun, 2026-07-19 09:28:47 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    e174c7375735
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



recursive-caat-observation-only.pthread-wmm-283
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
mix023_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.98       61.02        None
mix023_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.00       61.01        None
mix023_tso.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix024_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                               false(unreach-call)             19.77       19.78        None
mix024_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.00       61.01        None
mix025_power.oepc_power.opt_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                     false(unreach-call)             18.49       18.50        None
mix025_pso.opt_rmo.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.01        None
mix026.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.01        None
mix026_power.opt_tso.opt.yml                                                                                                                                           TIMEOUT                         61.00       61.01        None
mix026_pso.opt_rmo.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.01        None
mix027_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix027_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         60.96       61.01        None
mix027_tso.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix028_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)             18.32       18.34        None
mix028_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.00       61.01        None
mix028_tso.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix029_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                               TIMEOUT                         61.00       61.01        None
mix029_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         60.68       61.01        None
mix030_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.72       61.01        None
mix030_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.00       61.01        None
mix030_tso.yml                                                                                                                                                         TIMEOUT                         60.64       61.01        None
mix031.oepc.yml                                                                                                                                                        false(unreach-call)              0.20        0.21        None
mix031.opt.yml                                                                                                                                                         false(unreach-call)              6.47        6.47        None
mix032.oepc.yml                                                                                                                                                        TIMEOUT                         60.96       61.01        None
mix032.opt.yml                                                                                                                                                         TIMEOUT                         60.91       61.01        None
mix033.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix033_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix033_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.02        None
mix034_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.yml                                                                                                     false(unreach-call)              0.19        0.20        None
