model	task_yaml	cat_wall_seconds	caat_wall_seconds	wall_ratio_caat_over_cat	cat_memory_bytes	caat_memory_bytes	memory_ratio_caat_over_cat	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
sc	c/goblint-regression/28-race_reach_46-escape_racefree.yml	0.06110152299515903	0.06026079482398927	0.9862404711051741	26025984.0	26054656.0	1.0011016682404785	17	0	1088	1088	150	519031	0	3
sc	c/pthread-C-DAC/pthread-demo-datarace-3.yml	0.09701208001933992	0.09421299793757498	0.9711470769289049	26083328.0	26091520.0	1.0003140703517588	262	0	83840	83840	33272	509567	0	40
sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	0.060261149890720844	0.06222082790918648	1.0325197581197731	26021888.0	26021888.0	1.0	16	0	1024	1024	122	476562	0	3
sc	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	0.06020525097846985	0.06157817877829075	1.0228041205294847	25960448.0	25976832.0	1.0006311139160617	0	0	0	0	0	0	0	0
sc	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	1.7765804261434823	1.7763740688096732	0.9998838457686618	56135680.0	56152064.0	1.0002918642831085	0	0	0	0	0	0	0	0
sc	c/ldv-races/race-4_1-thread_local_vars.yml	0.07055107806809247	0.06908814515918493	0.979264201923384	26333184.0	26353664.0	1.0007777259293824	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0.06738571100868285	0.06100964220240712	0.9053795127953143	25997312.0	26009600.0	1.0004726642508273	20	9	1280	1280	174	628099	0	4
sc	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	0.06127372314222157	0.0668228748254478	1.090563318151015	25960448.0	25968640.0	1.0003155569580309	0	0	0	0	0	0	0	0
sc	c/ldv-races/race-1_1-join.yml	0.0613055641297251	0.06372371595352888	1.0394442471597989	26226688.0	26251264.0	1.0009370607527721	0	0	0	0	0	0	0	0
sc	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	0.05829476681537926	0.0589364068582654	1.0110068206451228	25964544.0	25976832.0	1.0004732607666824	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	0.06146419793367386	0.06549285491928458	1.0655447743734987	26009600.0	26030080.0	1.000787401574803	8	0	512	512	34	531250	0	1
sc	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	0.0642814259044826	0.061814127024263144	0.961617234753229	25985024.0	26001408.0	1.0006305170239596	20	5	1280	1280	158	628099	0	5
sc	c/pthread/singleton.yml	0.06404461502097547	0.061840758891776204	0.9655887364069957	26238976.0	26263552.0	1.0009366219169529	43	0	2752	2752	1548	837209	0	5
sc	c/pthread-theta/unwind2-1.yml	0.06018884596414864	0.06276065786369145	1.0427290448644704	26107904.0	26124288.0	1.0006275494195167	0	0	0	0	0	0	0	0
sc	c/pthread-deagle/circular_buffer_bad.yml	0.07246767194010317	0.06243558903224766	0.8615647137644031	26132480.0	26148864.0	1.0006269592476489	85	0	10880	10880	4636	641660	0	7
sc	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	0.061443358194082975	0.06616900488734245	1.0769106186926247	25972736.0	25985024.0	1.0004731114966094	13	0	832	832	92	544378	0	1
sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	0.06121396482922137	0.06220620311796665	1.0162093452288787	26017792.0	26025984.0	1.0003148614609572	8	0	512	512	34	531250	0	1
sc	c/pthread/fib_unsafe-5.yml	20.02372042508796	1.1749653450679034	0.058678673099918796	26046464.0	26066944.0	1.0007862871520679	243	76	62208	62208	33554	587419	0	1405
sc	c/pthread/queue_ok.yml	0.07534555508755147	0.06495151715353131	0.8620484257904492	26214400.0	26226688.0	1.00046875	229	0	58624	58624	21948	418527	0	3
sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0.060075872810557485	0.06431032600812614	1.0704850882636616	26013696.0	26038272.0	1.0009447331128956	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	0.0401588031090796	0.045601942809298635	1.135540386635387	25935872.0	25944064.0	1.0003158559696779	0	0	0	0	0	0	0	0
sc	c/pthread-ext/46_monabsex2_vs.yml	0.06051665684208274	0.0649302031379193	1.0729310990749812	25989120.0	26009600.0	1.0007880220646177	0	0	0	0	0	0	0	0
sc	c/pthread/stateful01-1.yml	0.06479018297977746	0.06703946110792458	1.0347163416539382	26079232.0	26099712.0	1.0007852991989947	31	0	1984	1984	688	715920	0	2
sc	c/pthread-atomic/dekker.yml	0.06484421901404858	0.059317181119695306	0.9147643694628224	26054656.0	26071040.0	1.0006288319446628	31	11	1984	1984	688	740484	0	7
sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	0.06625578389503062	0.059145799139514565	0.8926888440897411	25972736.0	25993216.0	1.0007885191610155	13	0	832	832	92	544378	0	1
sc	c/pthread/triangular-1.yml	46.55658942600712	3.8957478310912848	0.08367768943390576	26079232.0	26087424.0	1.000314119679598	68	50	8704	8704	2708	711468	0	32277
sc	c/pthread/queue_ok_longer.yml	5.294883312890306	2.4541998519562185	0.46350404851821936	253988864.0	164544512.0	0.6478414423712687	4029	0	16244928	16244928	5291788	325992	1	3
