category	cputime	executions	expected	memory	model	repetition	status	task	variant	walltime
correct	0.067077064		true	26038272.0	tso	02	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	census	0.0767422589706257
correct	0.069146274		false	25939968.0	tso	02	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	census	0.07637758000055328
correct	0.06784496		false	25985024.0	tso	02	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	census	0.07603250502143055
correct	0.067674568		false	26001408.0	tso	02	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	census	0.07589750498300418
correct	0.065937275		false	25964544.0	tso	02	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	census	0.07678656501229852
correct	0.064653866		true	25919488.0	tso	02	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	census	0.07304423401365057
correct	0.071440898		true	26038272.0	tso	02	true	goblint-regression/13-privatized_01-priv_nr_true.yml	census	0.08207879401743412
correct	0.067971532		true	26013696.0	tso	02	true	goblint-regression/13-privatized_19-publish-precision_true.yml	census	0.0762569640064612
correct	0.06626106		true	26071040.0	tso	02	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	census	0.07379371102433652
correct	0.070602178		true	25935872.0	tso	02	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	census	0.07530509197385982
correct	0.05834559		true	25956352.0	tso	02	true	goblint-regression/13-privatized_25-struct_nr_true.yml	census	0.06546942197019234
correct	0.071159228		true	26050560.0	tso	02	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	census	0.0811221360345371
correct	0.068159468		false	25956352.0	tso	02	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	census	0.08670864201849326
correct	0.064808407		true	26050560.0	tso	02	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	census	0.07835552899632603
correct	0.065752563		true	26046464.0	tso	02	true	goblint-regression/13-privatized_20-publish-regression_true.yml	census	0.07500394800445065
correct	0.071751041		true	26021888.0	tso	02	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	census	0.07818322797538713
correct	0.06786455		true	25956352.0	tso	02	true	goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	census	0.07499961199937388
correct	0.064948367		true	26091520.0	tso	02	true	goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	census	0.07390432397369295
correct	0.07125432		true	26030080.0	tso	02	true	goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	census	0.07979934604372829
correct	0.071857274		true	26046464.0	tso	02	true	goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	census	0.07509627199033275
correct	0.072774666		true	26034176.0	tso	02	true	goblint-regression/13-privatized_24-multiple-protecting_true.yml	census	0.08218235900858417
correct	0.073602516		true	26042368.0	tso	02	true	goblint-regression/36-apron_21-traces-cluster-based_true.yml	census	0.0819076260086149
correct	0.068656527		true	26091520.0	tso	02	true	goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	census	0.07684249500744045
correct	0.083980704		true	26083328.0	tso	02	true	goblint-regression/13-privatized_27-multiple-protecting2_true.yml	census	0.09143989603035152
correct	0.069122801		true	25927680.0	tso	02	true	pthread-ext/14_spin2003.yml	census	0.07380381302209571
correct	0.069010991		true	25997312.0	tso	02	true	pthread-ext/29_conditionals_vs.yml	census	0.07857360102934763
correct	0.069346452		true	25948160.0	tso	02	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	census	0.08027234900509939
correct	0.069305877		true	26025984.0	tso	02	true	pthread-ext/46_monabsex2_vs.yml	census	0.08349508896935731
correct	0.066091215		true	25939968.0	tso	02	true	pthread-ext/45_monabsex1_vs.yml	census	0.0731676520081237
correct	0.07567828		false	26046464.0	tso	02	false(unreach-call)	pthread/stateful01-1.yml	census	0.08408421999774873
correct	0.076925401		true	26034176.0	tso	02	true	pthread/stateful01-2.yml	census	0.07937479799147695
correct	0.073240635		true	26112000.0	tso	02	true	pthread-atomic/time_var_mutex.yml	census	0.08276050200220197
correct	0.070455686		true	25931776.0	tso	02	true	pthread-ext/01b_inc.yml	census	0.07811980100814253
correct	7.317953633		true	26005504.0	tso	02	true	pthread/triangular-1.yml	census	7.3297850509989075
correct	1.855174959		false	26042368.0	tso	02	false(unreach-call)	pthread/triangular-2.yml	census	1.8652864179457538
correct	0.076528714		true	25919488.0	tso	02	true	pthread-ext/02_inc_cas.yml	census	0.08567873702850193
correct	3.087337298		false	56688640.0	tso	02	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	census	3.100388237973675
correct	0.075165917		true	26013696.0	tso	02	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	census	0.0817367349518463
error	26.771059332		false	3999997952.0	tso	02	OUT OF MEMORY	goblint-regression/28-race_reach_37-indirect_racing.yml	census	26.793984793010168
correct	0.078448519		false	26034176.0	tso	02	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	census	0.08513691200641915
correct	0.071820301		true	26038272.0	tso	02	true	goblint-regression/28-race_reach_46-escape_racefree.yml	census	0.0801493750186637
error	26.798365808		false	3999997952.0	tso	02	OUT OF MEMORY	goblint-regression/28-race_reach_01-simple_racing.yml	census	26.82070737198228
error	30.5617573		false	3999997952.0	tso	02	OUT OF MEMORY	goblint-regression/28-race_reach_11-ptr_racing.yml	census	30.586445844033733
correct	0.081731034		false	26095616.0	tso	02	false(unreach-call)	pthread-deagle/circular_buffer_bad.yml	census	0.0911122320103459
correct	7.446527905		true	26054656.0	tso	02	true	pthread/fib_safe-5.yml	census	7.462701443990227
correct	39.77301619		true	26046464.0	tso	02	true	pthread/fib_safe-6.yml	census	39.805485306016635
correct	2.066648441		false	26054656.0	tso	02	false(unreach-call)	pthread/fib_unsafe-5.yml	census	2.076734164962545
correct	11.445990484		false	26079232.0	tso	02	false(unreach-call)	pthread/fib_unsafe-6.yml	census	11.46199818799505
correct	58.788104327		false	26083328.0	tso	02	false(unreach-call)	pthread/fib_unsafe-7.yml	census	58.827488905983046
error	27.288283979		false	3999997952.0	tso	02	OUT OF MEMORY	goblint-regression/28-race_reach_24-sound_lock_racing.yml	census	27.315665359026752
correct	0.069389344		false	26116096.0	tso	02	false(unreach-call)	pthread/lazy01.yml	census	0.07799695996800438
correct	5.554746971		true	26103808.0	tso	02	true	pthread-deagle/circular_buffer_ok.yml	census	5.5646036399994045
correct	0.100945282		true	26099712.0	tso	02	true	pthread-atomic/szymanski.yml	census	0.10784620401682332
correct	0.069431161		true	26046464.0	tso	02	true	pthread-atomic/dekker.yml	census	0.07702350796898827
correct	0.072278805		true	26009600.0	tso	02	true	pthread-atomic/dekker-unfair.yml	census	0.08235702698584646
correct	0.070750712		false	26009600.0	tso	02	false(unreach-call)	pthread-theta/unwind3-1.yml	census	0.07796595600666478
correct	0.071512578		true	26140672.0	tso	02	true	pthread-theta/exponential-nondet.yml	census	0.07815629697870463
correct	0.067560682		false	26025984.0	tso	02	false(unreach-call)	pthread-theta/unwind2-1.yml	census	0.07410809397697449
correct	0.071459376		false	26120192.0	tso	02	false(unreach-call)	pthread-theta/unwind2-100.yml	census	0.08141908200923353
error	60.972953905		true	26132480.0	tso	02	TIMEOUT	pthread/butterfly.yml	census	61.01212373498129
correct	0.068132596		true	25952256.0	tso	02	true	pthread-ext/43_NetBSD_sysmon_power_sliced.yml	census	0.07525762595469132
error	26.013437148		false	3999997952.0	tso	02	OUT OF MEMORY	goblint-regression/28-race_reach_06-cond_racing1.yml	census	26.038773506996222
correct	0.083231951		true	26189824.0	tso	02	true	pthread/queue_ok.yml	census	0.09097675303928554
correct	2.927827648		true	309211136.0	tso	02	true	pthread/queue_ok_longer.yml	census	2.938498275994789
correct	17.226147671		true	1189249024.0	tso	02	true	pthread/queue_ok_longest.yml	census	17.242925480008125
error	61.017880429		false	494424064.0	tso	02	TIMEOUT	pthread/queue_longer.yml	census	61.04288040101528
correct	0.110135566		false	26157056.0	tso	02	false(unreach-call)	pthread/queue.yml	census	0.11952110897982493
correct	0.074936938		false	26247168.0	tso	02	false(unreach-call)	pthread/singleton.yml	census	0.08217516605509445
correct	0.078394898		true	26210304.0	tso	02	true	pthread/singleton_with-uninit-problems.yml	census	0.0876185719971545
correct	0.154589115		false	26099712.0	tso	02	false(unreach-call)	pthread-C-DAC/pthread-demo-datarace-3.yml	census	0.16189379198476672
correct	0.202052604		false	26132480.0	tso	02	false(unreach-call)	pthread/reorder_2.yml	census	0.21404605900170282
correct	0.092388457		false	26341376.0	tso	02	false(unreach-call)	pthread/twostage_3.yml	census	0.10161818796768785
correct	0.074335656		true	26275840.0	tso	02	true	ldv-races/race-1_1-join.yml	census	0.08160221303114668
correct	0.074162859		false	26300416.0	tso	02	false(unreach-call)	ldv-races/race-1_3-join.yml	census	0.08546934695914388
correct	0.081080723		false	26210304.0	tso	02	false(unreach-call)	ldv-races/race-1_2-join.yml	census	0.08564512198790908
correct	0.07552882		true	26320896.0	tso	02	true	ldv-races/race-4_1-thread_local_vars.yml	census	0.08534684998448938
correct	0.074327255		true	26267648.0	tso	02	true	ldv-races/race-2_1-container_of.yml	census	0.08442615799140185
correct	0.079238907		true	26308608.0	tso	02	true	ldv-races/race-3_1-container_of-global.yml	census	0.08595925703411922
correct	0.065656135		true	25952256.0	tso	03	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	baseline	0.07104327197885141
correct	0.06455697		false	25956352.0	tso	03	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	baseline	0.07029306498588994
correct	0.064016821		true	25948160.0	tso	03	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	baseline	0.06950326298829168
correct	0.053195608		true	25919488.0	tso	03	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	baseline	0.05901201697997749
correct	0.051129763		true	25927680.0	tso	03	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	baseline	0.054621021961793303
correct	0.066124484		true	26034176.0	tso	03	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	baseline	0.07441980601288378
correct	0.075858032		true	25939968.0	tso	03	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	baseline	0.07940610300283879
correct	0.063494196		false	25923584.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	baseline	0.06977674801601097
correct	0.064173667		false	25993216.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	baseline	0.06916094798361883
correct	0.065150669		true	26025984.0	tso	03	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	baseline	0.0719201149768196
correct	0.070570766		true	25948160.0	tso	03	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	baseline	0.07421191601315513
correct	0.06715723		true	25899008.0	tso	03	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	baseline	0.07383959699654952
correct	0.0658723		false	25964544.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	baseline	0.0718334160046652
correct	0.074525828		false	25948160.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	baseline	0.07840511901304126
correct	0.06646146		true	25935872.0	tso	03	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	baseline	0.0725207049981691
correct	0.062295188		true	26017792.0	tso	03	true	goblint-regression/13-privatized_18-first-reads_true.yml	baseline	0.06832060997840017
correct	0.067673233		true	25931776.0	tso	03	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	baseline	0.06994756998028606
correct	0.069731402		true	25989120.0	tso	03	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	baseline	0.07552564301295206
correct	0.06562181		true	25952256.0	tso	03	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	baseline	0.07881838001776487
correct	0.069443071		false	26042368.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	baseline	0.07862479297909886
correct	0.071797781		false	25931776.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	baseline	0.07690519100287929
correct	0.064748242		false	26038272.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	baseline	0.07613863801816478
correct	0.054863952		false	25993216.0	tso	03	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	baseline	0.06284024403430521
correct	0.051902284		true	25976832.0	tso	03	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	baseline	0.06051308900350705
correct	0.068005264		true	26046464.0	tso	03	true	goblint-regression/13-privatized_01-priv_nr_true.yml	baseline	0.07574710698099807
correct	0.068320335		true	25993216.0	tso	03	true	goblint-regression/13-privatized_19-publish-precision_true.yml	baseline	0.07573200401384383
correct	0.070310927		true	25952256.0	tso	03	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	baseline	0.07593276601983234
correct	0.06808493		true	26025984.0	tso	03	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	baseline	0.07571379200089723
correct	0.068281097		true	26083328.0	tso	03	true	goblint-regression/13-privatized_25-struct_nr_true.yml	baseline	0.07803953194525093
correct	0.068793595		true	26079232.0	tso	03	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	baseline	0.07462279498577118
