category	cputime	memory	repetition	status	task	variant	walltime
correct	0.078562254	26009600.0	01	true	pthread-ext/29_conditionals_vs.yml	baseline	0.08702005498344079
correct	0.076843296	26058752.0	01	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	baseline	0.08825483702821657
correct	0.075540291	26058752.0	01	true	pthread-ext/46_monabsex2_vs.yml	baseline	0.0881143839797005
correct	0.07467349	26001408.0	01	true	pthread-ext/45_monabsex1_vs.yml	baseline	0.08740824699634686
correct	0.079498921	26071040.0	01	false(unreach-call)	pthread/stateful01-1.yml	baseline	0.09428913902956992
correct	0.077565936	26050560.0	01	true	pthread/stateful01-2.yml	baseline	0.09098478901432827
correct	0.080168331	26091520.0	01	true	pthread-atomic/time_var_mutex.yml	baseline	0.08936276502208784
correct	0.077295971	26046464.0	01	true	pthread-ext/01b_inc.yml	baseline	0.08918617601739243
correct	23.277197234	26030080.0	01	true	pthread/triangular-1.yml	baseline	23.30142644996522
correct	5.350711773	26136576.0	01	false(unreach-call)	pthread/triangular-2.yml	baseline	5.3590273160371
correct	0.077384397	25997312.0	01	true	pthread-ext/02_inc_cas.yml	baseline	0.08883593702921644
correct	2.999144296	56328192.0	01	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	baseline	3.017501459980849
correct	0.076964744	26001408.0	01	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	baseline	0.08542853296967223
error	27.302866708	3999997952.0	01	OUT OF MEMORY	goblint-regression/28-race_reach_37-indirect_racing.yml	baseline	27.328787481994368
correct	0.082814407	26013696.0	01	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	baseline	0.09008565597468987
correct	0.081441008	26062848.0	01	true	goblint-regression/28-race_reach_46-escape_racefree.yml	baseline	0.09256878303131089
error	29.21095758	3999997952.0	01	OUT OF MEMORY	goblint-regression/28-race_reach_01-simple_racing.yml	baseline	29.23563601297792
error	27.713383516	3999997952.0	01	OUT OF MEMORY	goblint-regression/28-race_reach_11-ptr_racing.yml	baseline	27.735318808990996
correct	0.11293217	26132480.0	01	false(unreach-call)	pthread-deagle/circular_buffer_bad.yml	baseline	0.12149833899457008
correct	31.12895929	26034176.0	01	true	pthread/fib_safe-5.yml	baseline	31.16034335299628
error	60.97911829	26038272.0	01	TIMEOUT	pthread/fib_safe-6.yml	baseline	61.020060105016455
correct	7.599978305	26025984.0	01	false(unreach-call)	pthread/fib_unsafe-5.yml	baseline	7.6281553019653074
correct	45.356469308	26066944.0	01	false(unreach-call)	pthread/fib_unsafe-6.yml	baseline	45.40947233705083
error	60.971516322	26107904.0	01	TIMEOUT	pthread/fib_unsafe-7.yml	baseline	61.01556337601505
error	28.164782522	3999997952.0	01	OUT OF MEMORY	goblint-regression/28-race_reach_24-sound_lock_racing.yml	baseline	28.19356422801502
correct	0.076302144	26144768.0	01	false(unreach-call)	pthread/lazy01.yml	baseline	0.08171975502045825
correct	30.869347653	26120192.0	01	true	pthread-deagle/circular_buffer_ok.yml	baseline	30.89336575899506
correct	0.087547899	26079232.0	01	true	pthread-atomic/szymanski.yml	baseline	0.09528900898294523
correct	0.07289846	26034176.0	01	true	pthread-atomic/dekker.yml	baseline	0.08081294503062963
correct	0.077328891	26071040.0	01	true	pthread-atomic/dekker-unfair.yml	baseline	0.08146814297651872
correct	0.075396059	26050560.0	01	false(unreach-call)	pthread-theta/unwind3-1.yml	baseline	0.07758932502474636
correct	0.067473103	26075136.0	01	true	pthread-theta/exponential-nondet.yml	baseline	0.07625309994909912
correct	0.071384783	26144768.0	01	false(unreach-call)	pthread-theta/unwind2-1.yml	baseline	0.08029461099067703
correct	0.074483438	26169344.0	01	false(unreach-call)	pthread-theta/unwind2-100.yml	baseline	0.08086194895440713
correct	36.217760711	26226688.0	01	true	pthread/butterfly.yml	baseline	36.24947720399359
correct	0.06388707	25960448.0	01	true	pthread-ext/43_NetBSD_sysmon_power_sliced.yml	baseline	0.07016807101899758
error	25.850333094	3999997952.0	01	OUT OF MEMORY	goblint-regression/28-race_reach_06-cond_racing1.yml	baseline	25.87153170001693
correct	0.095769273	26193920.0	01	true	pthread/queue_ok.yml	baseline	0.10484244202962145
correct	31.592986767	1060139008.0	01	true	pthread/queue_ok_longer.yml	baseline	31.605978134961333
error	61.101580292	2222489600.0	01	TIMEOUT	pthread/queue_ok_longest.yml	baseline	61.13126304699108
error	61.008480784	432910336.0	01	TIMEOUT	pthread/queue_longer.yml	baseline	61.03686274198117
correct	0.818418017	26230784.0	01	false(unreach-call)	pthread/queue.yml	baseline	0.8247940680012107
correct	0.077893222	26304512.0	01	false(unreach-call)	pthread/singleton.yml	baseline	0.08248042297782376
correct	0.081252279	26255360.0	01	true	pthread/singleton_with-uninit-problems.yml	baseline	0.09025948203634471
correct	1.797615356	26128384.0	01	false(unreach-call)	pthread-C-DAC/pthread-demo-datarace-3.yml	baseline	1.8106288849958219
correct	0.440613732	26193920.0	01	false(unreach-call)	pthread/reorder_2.yml	baseline	0.44963849300984293
correct	0.109140787	26300416.0	01	false(unreach-call)	pthread/twostage_3.yml	baseline	0.11775453801965341
correct	0.075964742	26292224.0	01	true	ldv-races/race-1_1-join.yml	baseline	0.08522105001611635
correct	0.078637622	26238976.0	01	false(unreach-call)	ldv-races/race-1_3-join.yml	baseline	0.08721126400632784
correct	0.078817469	26296320.0	01	false(unreach-call)	ldv-races/race-1_2-join.yml	baseline	0.08694245002698153
correct	0.074867456	26320896.0	01	true	ldv-races/race-4_1-thread_local_vars.yml	baseline	0.08156390802469105
correct	0.080828691	26271744.0	01	true	ldv-races/race-2_1-container_of.yml	baseline	0.09049673000117764
correct	0.069274835	26267648.0	01	true	ldv-races/race-3_1-container_of-global.yml	baseline	0.07638542697532102
correct	0.076688145	25882624.0	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	no-retain	0.08135931700235233
correct	0.085477908	25890816.0	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	no-retain	0.08980833896202967
correct	0.072003433	25886720.0	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	no-retain	0.07824807404540479
correct	0.071601789	26009600.0	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	no-retain	0.07326320896390826
correct	0.072657319	26009600.0	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	no-retain	0.07784269697731361
correct	0.079182523	25993216.0	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	no-retain	0.08163972897455096
correct	0.069253848	26005504.0	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	no-retain	0.07665526802884415
correct	0.071905346	25972736.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	no-retain	0.07867412600899115
correct	0.070399199	26030080.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	no-retain	0.07605542900273576
correct	0.067557375	26034176.0	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	no-retain	0.0739400539896451
correct	0.070621128	25976832.0	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	no-retain	0.07548916101222858
correct	0.069714167	26001408.0	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	no-retain	0.07349724200321361
correct	0.074766218	26009600.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	no-retain	0.07653410302009434
correct	0.073231806	26009600.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	no-retain	0.0810628830222413
correct	0.074432612	26034176.0	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	no-retain	0.08037515403702855
correct	0.068797337	26017792.0	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	no-retain	0.07365580298937857
correct	0.068728191	26034176.0	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	no-retain	0.07441170699894428
correct	0.073538569	26025984.0	01	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	no-retain	0.07786588702583686
correct	0.078595305	26046464.0	01	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	no-retain	0.08190723101142794
correct	0.072925584	26038272.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	no-retain	0.08095712802605703
correct	0.070984123	26062848.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	no-retain	0.08863429602934048
correct	0.071951147	26042368.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	no-retain	0.0813929729629308
correct	0.073145207	26005504.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	no-retain	0.08279939298518002
correct	0.072489308	26017792.0	01	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	no-retain	0.08306456101126969
correct	0.07475818	26021888.0	01	true	goblint-regression/13-privatized_01-priv_nr_true.yml	no-retain	0.08007112500490621
correct	0.072156826	26021888.0	01	true	goblint-regression/13-privatized_19-publish-precision_true.yml	no-retain	0.08135230297921225
correct	0.071366053	26038272.0	01	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	no-retain	0.08277489396277815
correct	0.07163422	26017792.0	01	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	no-retain	0.08188721403712407
correct	0.078872282	26087424.0	01	true	goblint-regression/13-privatized_25-struct_nr_true.yml	no-retain	0.0854419440147467
correct	0.073876136	26017792.0	01	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	no-retain	0.0836397570092231
correct	0.074275549	26054656.0	01	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	no-retain	0.07761413202388212
correct	0.074087745	26107904.0	01	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	no-retain	0.08376739296363667
correct	0.079102603	26005504.0	01	true	goblint-regression/13-privatized_20-publish-regression_true.yml	no-retain	0.08581902296282351
correct	0.081955079	26005504.0	01	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	no-retain	0.08971378899877891
correct	0.082494415	26095616.0	01	true	goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	no-retain	0.09375371399801224
correct	0.078034093	26021888.0	01	true	goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	no-retain	0.09097925503738225
correct	0.081848886	26071040.0	01	true	goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	no-retain	0.09074631094699726
correct	0.081177112	25997312.0	01	true	goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	no-retain	0.0905171160120517
correct	0.095777241	26107904.0	01	true	goblint-regression/13-privatized_24-multiple-protecting_true.yml	no-retain	0.10455257899593562
correct	0.086272468	26091520.0	01	true	goblint-regression/36-apron_21-traces-cluster-based_true.yml	no-retain	0.09463993198005483
correct	0.083383031	26034176.0	01	true	goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	no-retain	0.0900687089888379
correct	0.148731841	26140672.0	01	true	goblint-regression/13-privatized_27-multiple-protecting2_true.yml	no-retain	0.15557499101851135
correct	0.074526724	25948160.0	01	true	pthread-ext/14_spin2003.yml	no-retain	0.08384717401349917
correct	0.081891963	25997312.0	01	true	pthread-ext/29_conditionals_vs.yml	no-retain	0.09818073903443292
correct	0.082204808	26071040.0	01	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	no-retain	0.0909929380286485
correct	0.075229844	25952256.0	01	true	pthread-ext/46_monabsex2_vs.yml	no-retain	0.0925279840012081
correct	0.078966955	26046464.0	01	true	pthread-ext/45_monabsex1_vs.yml	no-retain	0.08983783301664516
correct	0.079213178	26050560.0	01	false(unreach-call)	pthread/stateful01-1.yml	no-retain	0.09365425794385374
correct	0.086003207	26148864.0	01	true	pthread/stateful01-2.yml	no-retain	0.10060362698277459
correct	0.085777245	26112000.0	01	true	pthread-atomic/time_var_mutex.yml	no-retain	0.09552064200397581
correct	0.08073072	26009600.0	01	true	pthread-ext/01b_inc.yml	no-retain	0.09323649597354233
correct	22.894746582	26034176.0	01	true	pthread/triangular-1.yml	no-retain	22.92038198298542
correct	5.30772836	26071040.0	01	false(unreach-call)	pthread/triangular-2.yml	no-retain	5.325986020965502
correct	0.081529787	25956352.0	01	true	pthread-ext/02_inc_cas.yml	no-retain	0.08915657398756593
correct	3.065321992	56770560.0	01	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	no-retain	3.08534256904386
