back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
0	0	correct	0	0	0.07246051	25944064.0	0	0	0	01	0	0	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	0	baseline	0.07456582097802311	0	0
0	0	correct	0	0	0.070118578	25927680.0	1	1	0	01	0	0	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	baseline	0.07658959296531975	1	1
0	0	correct	0	0	0.074122929	25964544.0	0	0	0	01	0	0	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	0	baseline	0.07634383102413267	0	0
0	0	correct	3	1	0.058973661	25948160.0	1	1	1	01	1	0	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1	baseline	0.06351682601962239	1	1
1	1	correct	15	8	0.069255904	25952256.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	11	baseline	0.0731597759295255	10	10
0	0	correct	8	4	0.071075074	25960448.0	4	4	4	01	2	0	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	4	baseline	0.07547768391668797	4	4
1	1	correct	15	8	0.069317561	25956352.0	6	10	8	01	4	1	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	11	baseline	0.07267700997181237	10	10
1	1	correct	16	6	0.068087007	26046464.0	8	2	0	01	7	1	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1	baseline	0.07305187301244587	9	2
0	0	correct	4	1	0.067971498	25993216.0	2	1	0	01	2	0	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	baseline	0.07429008698090911	2	1
1	1	correct	16	6	0.069685017	26046464.0	7	8	6	01	8	1	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	9	baseline	0.07599679403938353	8	8
0	0	correct	4	1	0.069816217	25960448.0	1	1	1	01	2	0	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1	baseline	0.07752717297989875	1	1
1	1	correct	10	2	0.072024928	26017792.0	3	4	2	01	7	1	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	4	baseline	0.07455681508872658	4	4
1	1	correct	4	1	0.066835009	25989120.0	3	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1	baseline	0.07134794699959457	4	2
1	1	correct	4	1	0.069676605	26087424.0	3	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1	baseline	0.07458528503775597	4	2
2	2	correct	42	23	0.070577065	26046464.0	12	27	23	01	10	2	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	29	baseline	0.0766887339996174	27	27
1	1	correct	15	8	0.067966438	25980928.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_18-first-reads_true.yml	11	baseline	0.07300284202210605	10	10
3	3	correct	46	26	0.064701799	25960448.0	18	32	26	01	15	3	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	33	baseline	0.07153844891581684	32	32
1	1	correct	45	26	0.055629417	26071040.0	16	28	26	01	10	1	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	29	baseline	0.06420430494472384	28	28
3	3	correct	46	26	0.066841262	26038272.0	18	32	26	01	15	3	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	33	baseline	0.07363838597666472	32	32
1	1	correct	8	2	0.070649079	26046464.0	4	2	0	01	5	1	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	1	baseline	0.08010091295000166	5	2
0	0	correct	1	0	0.068058033	25956352.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0	baseline	0.0828877140302211	1	1
0	0	correct	1	0	0.060242835	26079232.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0	baseline	0.06982591992709786	1	1
1	1	correct	8	2	0.068394591	26062848.0	4	2	0	01	5	1	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1	baseline	0.07992554293014109	5	2
3	3	correct	45	26	0.06942819	25993216.0	21	31	26	01	15	3	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	31	baseline	0.07588813407346606	32	32
1	1	correct	15	8	0.067265924	26005504.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_01-priv_nr_true.yml	11	baseline	0.07734037493355572	10	10
2	2	correct	47	29	0.06804329	26050560.0	16	33	29	01	9	2	true	goblint-regression/13-privatized_19-publish-precision_true.yml	35	baseline	0.07745000591967255	33	33
1	1	correct	36	18	0.066317998	26066944.0	13	20	18	01	9	1	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	21	baseline	0.07447409897577018	20	20
