backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	0.09	0.06	0.02	54558720	24	16
cat	tso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52723712	4	0
caat	tso	correct/litmus/SB/variants/sb0.c	2	0	0.06	0.03	0.01	52592640	4	0
genmc	tso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52641792	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.06	0.03	0.01	52576256	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.06	0.03	0.01	52740096	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52723712	4	0
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.07	0.04	0.02	53805056	2	6
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.06	0.04	0.02	53772288	2	6
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.06	0.03	0.01	53739520	2	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	0.04	0.02	53526528	8	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	0.04	0.02	53460992	8	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	0.03	0.01	53575680	8	6
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.09	0.06	0.02	54525952	0	0
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.09	0.06	0.02	54509568	0	0
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.08	0.05	0.02	54542336	0	0
caat	sc	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52576256	3	0
genmc	sc	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52527104	3	0
cat	sc	correct/litmus/SB/variants/sb0.c	3	0	0.06	0.03	0.01	52740096	3	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52658176	4	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52674560	4	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.06	0.03	0.01	52609024	4	0
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.02	53755904	2	6
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.02	53821440	2	6
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.07	0.04	0.02	53739520	2	6
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.03	0.01	53542912	8	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53444608	8	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53444608	8	6
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.11	0.08	0.02	54542336	24	16
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.09	0.06	0.01	54542336	24	16
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.17	0.14	0.02	54525952	24	16
caat	tso	correct/litmus/SB/variants/sb0.c	3	0	0.06	0.03	0.02	52609024	4	0
genmc	tso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52641792	4	0
cat	tso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52625408	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52658176	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52641792	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52592640	4	0
