metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	80	0.9999553635170897	0.9955652166648765	1.0044350080886038	0.9983589309863506	0.7375543089843226	1.0
cpu	sc	90	0.9867137347682293	0.9792184539092746	0.9941971878956014	0.9902461305479688	0.11334435404342065	0.4533774161736826
cpu	tso	89	0.9960901977775355	0.9901125682581896	1.0019325583264413	0.9985524985049672	0.6718086491746106	1.0
cpu	pso	80	1.005901009313428	0.9950263004882959	1.0174020452011867	1.0041420208467668	0.5764306261883931	1.0
wall	all	80	1.0006971199444832	0.9963183120979813	1.0049745257962084	0.9992852404545541	0.9110721212260928	1.0
wall	sc	90	0.9892135759060431	0.9819818757850693	0.996353713728475	0.9929970882993282	0.46079247271897156	1.0
wall	tso	89	0.9964002558321234	0.9910010971329298	1.001687365313462	0.9985820089128308	0.39657015814551616	1.0
wall	pso	80	1.005205003980849	0.9955972567211098	1.0154235876277704	1.0044893433404323	0.5764306261883931	1.0
memory	all	80	0.999984701415871	0.999822422663424	1.0001472435409384	1.0000760167802774	0.7375543089843226	1.0
memory	sc	90	0.9998780358962832	0.9996332807430438	1.0001200969165422	0.999920969548465	0.7493290032022806	1.0
memory	tso	89	0.999939095731386	0.9997068307736403	1.0001759139581148	0.9999214639126679	0.7493290032022806	1.0
memory	pso	80	1.0001113622363573	0.9998519263150253	1.0003666457732288	1.000117764069303	0.4159851975073048	1.0
