model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,realized_revisit_prefixes,rf_offered,rf_queued,validity_queries,work_added,work_popped
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_25-struct_nr_true.yml,true,correct,0.059018625,0.06674532091710716,25853952,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml,true,correct,0.071325543,0.07958275999408215,25935872,0,0,1,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml,false(unreach-call),correct,0.06885867,0.07557396905031055,25882624,0,0,4,0,0,1,1,3,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml,true,correct,0.069300901,0.07762132794596255,25829376,3,3,39,0,0,4,6,20,3,9,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_20-publish-regression_true.yml,true,correct,0.063324189,0.06812961003743112,25767936,1,1,15,0,0,2,2,8,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml,true,correct,0.071501914,0.07748689292930067,25845760,3,3,20,0,0,4,6,15,3,7,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml,true,correct,0.066459293,0.07352502003777772,25923584,4,4,42,0,0,5,8,26,4,10,8,8
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml,true,correct,0.073148014,0.08073348901234567,25804800,1,1,15,0,0,2,2,11,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml,true,correct,0.074414147,0.0766850981162861,25907200,0,0,1,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml,true,correct,0.068504067,0.07355298101902008,25800704,3,3,44,0,0,4,6,21,3,9,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_24-multiple-protecting_true.yml,true,correct,0.074042183,0.08177370193880051,25858048,6,6,101,0,0,5,12,49,6,18,12,12
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_21-traces-cluster-based_true.yml,true,correct,0.069066899,0.07585695304442197,25919488,8,7,45,0,0,4,15,30,8,21,15,15
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml,true,correct,0.066402431,0.0708503290079534,25845760,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml,true,correct,0.076255523,0.08328177698422223,25907200,28,25,349,0,0,9,43,167,28,54,53,53
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/14_spin2003.yml,true,correct,0.069480166,0.08186018106061965,25825280,0,0,2,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/29_conditionals_vs.yml,true,correct,0.065408363,0.07085639901924878,25710592,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml,true,correct,0.064208721,0.07973678491543978,25788416,0,0,2,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/46_monabsex2_vs.yml,true,correct,0.064814146,0.08953422505874187,25767936,0,0,6,0,0,0,0,3,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/45_monabsex1_vs.yml,true,correct,0.067592599,0.0851653820136562,25812992,0,0,4,0,0,0,0,2,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-1.yml,false(unreach-call),correct,0.066564708,0.07182928407564759,25939968,2,2,16,0,0,5,3,12,4,2,7,3
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-2.yml,true,correct,0.069638558,0.0767790440004319,25890816,5,5,31,0,0,5,8,18,5,9,10,10
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/time_var_mutex.yml,true,correct,0.069598273,0.07586483901832253,25894912,1,1,10,0,0,2,2,5,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/01b_inc.yml,true,correct,0.068500246,0.07490633905399591,25821184,0,0,6,0,0,0,0,3,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-1.yml,true,correct,5.875022639,5.8923216060502455,25841664,16631,16631,93321,0,0,46,27390,54976,16631,32277,33262,33262
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-2.yml,false(unreach-call),correct,1.454065836,1.4601657770108432,25866240,3648,3648,20454,0,0,36,6223,12076,3668,7732,7317,7287
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/02_inc_cas.yml,true,correct,0.072043689,0.076834381907247,25858048,0,0,1,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_21-deref_read_racing.yml,false(unreach-call),correct,3.177507013,3.1923462779959664,56213504,0,0,1,0,0,1,1,1,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs.yml,true,correct,0.071219565,0.08084176701959223,25812992,0,0,4,0,0,0,0,2,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_37-indirect_racing.yml,false(unreach-call),correct,11.478461325,11.501681630965322,2061090816,1,1,6,0,0,2,2,5,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_45-escape_racing.yml,false(unreach-call),correct,0.065424499,0.0765734181040898,25866240,1,1,8,0,0,2,2,6,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_46-escape_racefree.yml,true,correct,0.063348413,0.06876135303173214,25808896,1,1,19,0,0,2,2,10,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_01-simple_racing.yml,false(unreach-call),correct,11.469964356,11.491600131965242,2061041664,1,1,8,0,0,2,2,6,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_11-ptr_racing.yml,false(unreach-call),correct,11.571713871,11.589379413984716,2061021184,1,1,8,0,0,2,2,6,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_bad.yml,false(unreach-call),correct,0.075333941,0.08417113008908927,25952256,8,8,126,0,0,50,9,112,49,7,58,10
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-5.yml,true,correct,3.497198345,3.505355944042094,25894912,2771,2771,16239,0,0,36,4492,9505,2771,5163,5542,5542
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-6.yml,true,correct,17.093984864,17.111463056062348,25919488,12011,12011,72075,0,0,49,19270,42043,12011,21777,24022,24022
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-5.yml,false(unreach-call),correct,0.98998409,0.9947927379980683,25829376,642,642,3736,0,0,26,1108,2204,652,1405,1295,1275
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-6.yml,false(unreach-call),correct,4.91515689,4.9277590359561145,25870336,2954,2954,17614,0,0,37,5010,10305,2969,6177,5924,5897
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-7.yml,false(unreach-call),correct,23.494776299,23.54769379796926,25853952,13252,13252,80554,0,0,50,22139,46931,13273,26672,26526,26491
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_24-sound_lock_racing.yml,false(unreach-call),correct,11.422338741,11.440442751045339,2061012992,1,1,8,0,0,2,2,6,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/lazy01.yml,false(unreach-call),correct,0.067852135,0.07512824097648263,25927680,2,2,10,0,0,3,4,7,2,4,5,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_ok.yml,true,correct,2.928857611,2.9383608399657533,25956352,3431,3431,22305,0,0,50,5147,12868,3431,5148,6862,6862
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/szymanski.yml,true,correct,0.064922042,0.06951905891764909,25853952,47,11,85,0,0,6,30,129,19,57,30,30
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker.yml,true,correct,0.070104291,0.07426995306741446,25874432,4,3,21,0,0,4,9,22,6,16,9,9
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker-unfair.yml,true,correct,0.073193922,0.07564580603502691,25825280,4,3,22,0,0,4,9,23,6,16,9,9
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind3-1.yml,false(unreach-call),correct,0.067812923,0.07318465400021523,25907200,0,0,2,0,0,1,2,3,1,2,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/exponential-nondet.yml,true,correct,0.069604067,0.07514835009351373,25890816,0,0,0,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-1.yml,false(unreach-call),correct,0.070505721,0.07363656698726118,25919488,1,1,3,1,0,3,2,2,0,1,4,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-100.yml,false(unreach-call),correct,0.06799597,0.08292265294585377,25870336,1,1,3,1,0,3,2,2,0,1,4,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/butterfly.yml,true,correct,12.799916009,12.813052625046112,26021888,32161,19876,29854,993,161,21,89068,248693,76012,223322,96882,96882
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml,true,correct,0.069016927,0.07381423795595765,25780224,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_06-cond_racing1.yml,false(unreach-call),correct,11.37467176,11.413240768015385,2061008896,1,1,8,0,0,2,2,6,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok.yml,true,correct,0.072270198,0.08005084504839033,26062848,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longer.yml,true,correct,0.419492098,0.42752069095149636,79360000,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longest.yml,true,correct,1.551846748,1.5767896110191941,276865024,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_longer.yml,TIMEOUT,error,61.044127458,61.08244685304817,1172393984,,,,,,,,,,,,
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue.yml,false(unreach-call),correct,0.087028764,0.09690878400579095,26046464,22,22,919,0,0,401,23,859,400,20,423,25
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton.yml,false(unreach-call),correct,0.068067799,0.0780234260018915,26066944,3,3,19,0,0,3,6,12,3,5,8,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton_with-uninit-problems.yml,true,correct,0.067930951,0.077179696992971,26099712,3,3,23,0,0,3,7,13,3,9,7,7
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-C-DAC/pthread-demo-datarace-3.yml,false(unreach-call),correct,0.115617269,0.12560507201123983,25853952,40,40,1720,0,0,801,41,1660,800,40,841,41
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/reorder_2.yml,false(unreach-call),correct,0.136131505,0.14295717200729996,25972736,166,166,842,0,0,17,273,512,172,322,339,329
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/twostage_3.yml,false(unreach-call),correct,0.079342435,0.08500340406317264,26218496,11,9,64,0,0,10,16,45,15,20,26,17
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_1-join.yml,true,correct,0.067307854,0.07688649091869593,26087424,0,0,2,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_3-join.yml,false(unreach-call),correct,0.07149566,0.07549607998225838,26083328,2,2,15,0,0,3,3,9,2,1,5,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_2-join.yml,false(unreach-call),correct,0.065375738,0.07335953298024833,26054656,2,2,15,0,0,3,3,9,2,1,5,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-4_1-thread_local_vars.yml,true,correct,0.069558405,0.07369970204308629,26222592,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-2_1-container_of.yml,true,correct,0.061941065,0.07029388891533017,26185728,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-3_1-container_of-global.yml,true,correct,0.066764558,0.07364773901645094,26132480,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_66-mine-W-init_true.yml,true,correct,0.07424252,0.07949268294032663,25956352,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml,false(unreach-call),correct,0.064633204,0.0720355809899047,25976832,0,0,0,0,0,1,1,0,0,0,1,1
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_16-traces-unprot2_true.yml,true,correct,0.072295619,0.07385812909342349,25956352,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml,true,correct,0.071809907,0.0781329870223999,25952256,0,0,2,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_47-refine-protected2_true.yml,true,correct,0.071308169,0.07692617899738252,26001408,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_46-refine-protected1_true.yml,true,correct,0.082489167,0.08723416598513722,25956352,0,0,4,0,0,0,0,2,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_11-traces-max-simple_true.yml,true,correct,0.066816657,0.07134739600587636,25993216,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml,false(unreach-call),correct,0.072462242,0.07789526297710836,25931776,1,1,10,0,0,2,2,7,1,1,3,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml,false(unreach-call),correct,0.066278314,0.06889404798857868,26001408,0,0,3,0,0,1,1,2,0,0,1,1
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_40-traces-ex-6_true.yml,true,correct,0.068762356,0.07462903496343642,25993216,1,1,10,0,0,2,2,8,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml,true,correct,0.068780555,0.07496812206227332,25952256,0,0,3,0,0,0,0,2,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_44-traces-mine2_true.yml,true,correct,0.071493796,0.0767767729703337,25939968,1,1,8,0,0,2,2,7,1,2,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml,false(unreach-call),correct,0.067667385,0.07253570097964257,26025984,1,1,3,0,0,2,2,3,1,1,3,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml,false(unreach-call),correct,0.066822575,0.07439503108616918,26021888,1,1,3,0,0,2,2,3,1,1,3,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_36-traces-ex-3_true.yml,true,correct,0.07216662,0.07587899395730346,26017792,2,2,19,0,0,3,4,10,2,6,4,4
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_true.yml,true,correct,0.07381453,0.07638779992703348,26013696,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_35-traces-ex-2_true.yml,true,correct,0.06738512,0.07520061207469553,26013696,3,3,20,0,0,4,6,15,3,7,6,6
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_37-traces-ex-4_true.yml,true,correct,0.072034475,0.07724292296916246,26038272,1,1,19,0,0,2,2,10,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml,true,correct,0.068629392,0.07181462703738362,26054656,3,3,20,0,0,4,6,15,3,7,6,6
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml,false(unreach-call),correct,0.068976733,0.07742992299608886,26038272,1,1,6,0,0,2,2,5,1,1,3,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml,false(unreach-call),correct,0.067804427,0.07468689500819892,26062848,0,0,1,0,0,1,1,1,0,0,1,1
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml,false(unreach-call),correct,0.064096567,0.07488716300576925,25960448,0,0,1,0,0,1,1,1,0,0,1,1
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml,false(unreach-call),correct,0.069963947,0.07868336501996964,25972736,1,1,6,0,0,2,2,5,1,1,3,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml,true,correct,0.068214635,0.07518294092733413,25948160,3,3,19,0,0,4,5,15,3,5,6,6
