model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,realized_revisit_prefixes,rf_offered,rf_queued,validity_queries,work_added,work_popped
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_01-priv_nr_true.yml,true,correct,0.066447774,0.07670102000702173,25964544,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_true.yml,true,correct,0.067827201,0.07551790901925415,25972736,2,2,18,0,0,3,4,9,2,6,4,4
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml,true,correct,0.066474774,0.07242459408007562,26066944,1,1,18,0,0,2,2,9,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_33-traces-v-matters_true.yml,true,correct,0.067551605,0.07637970603536814,25980928,2,2,15,0,0,2,4,14,2,5,4,4
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_25-struct_nr_true.yml,true,correct,0.068376343,0.07606178696732968,26017792,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml,true,correct,0.071813312,0.07413448800798506,26009600,0,0,1,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml,false(unreach-call),correct,0.072813718,0.079450104967691,25968640,0,0,4,0,0,1,1,3,0,0,1,1
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml,true,correct,0.071969741,0.07845544093288481,26103808,3,3,39,0,0,4,6,20,3,9,6,6
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_20-publish-regression_true.yml,true,correct,0.06800311,0.0775727960281074,26091520,1,1,15,0,0,2,2,8,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml,true,correct,0.071816931,0.07855866302270442,25976832,3,3,20,0,0,4,6,15,3,7,6,6
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml,true,correct,0.070838335,0.07546823297161609,26042368,4,4,42,0,0,5,8,26,4,10,8,8
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml,true,correct,0.071622928,0.07653829001355916,25972736,1,1,15,0,0,2,2,11,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml,true,correct,0.074449874,0.08095043594948947,26083328,0,0,1,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml,true,correct,0.06974219,0.07600257999729365,25997312,3,3,44,0,0,4,6,21,3,9,6,6
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_24-multiple-protecting_true.yml,true,correct,0.073243238,0.0800599689828232,26050560,6,6,101,0,0,5,12,49,6,18,12,12
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_21-traces-cluster-based_true.yml,true,correct,0.074832397,0.08154694805853069,26025984,8,7,45,0,0,4,15,30,8,21,15,15
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml,true,correct,0.066967195,0.07541499799117446,26042368,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml,true,correct,0.08418443,0.08650047599803656,26103808,28,25,349,0,0,9,43,167,28,54,53,53
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/14_spin2003.yml,true,correct,0.066715996,0.07421730004716665,25993216,0,0,2,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/29_conditionals_vs.yml,true,correct,0.066290944,0.0728152800584212,25919488,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml,true,correct,0.079083757,0.0992350890301168,26046464,0,0,2,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/46_monabsex2_vs.yml,true,correct,0.06718322,0.07336637401022017,26005504,0,0,6,0,0,0,0,3,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/45_monabsex1_vs.yml,true,correct,0.067493895,0.08615261898376048,25948160,0,0,4,0,0,0,0,2,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-1.yml,false(unreach-call),correct,0.070101179,0.0877349820220843,26030080,2,2,16,0,0,5,3,12,4,2,7,3
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-2.yml,true,correct,0.071959331,0.07385464303661138,26132480,5,5,31,0,0,5,8,18,5,9,10,10
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/time_var_mutex.yml,true,correct,0.072577655,0.08105511299800128,26050560,1,1,10,0,0,2,2,5,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/01b_inc.yml,true,correct,0.07210681,0.07637703500222415,26050560,0,0,6,0,0,0,0,3,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-1.yml,true,correct,7.572950361,7.582622612011619,26083328,16631,16631,93321,0,0,46,27390,54976,16631,32277,33262,33262
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-2.yml,false(unreach-call),correct,1.876434739,1.8844941190909594,26042368,3648,3648,20454,0,0,36,6223,12076,3668,7732,7317,7287
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/02_inc_cas.yml,true,correct,0.068065614,0.07695454300846905,26066944,0,0,1,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_21-deref_read_racing.yml,false(unreach-call),correct,3.192363362,3.2117341270204633,56778752,0,0,1,0,0,1,1,1,0,0,1,1
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs.yml,true,correct,0.075404194,0.0815224580001086,26054656,0,0,4,0,0,0,0,2,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_37-indirect_racing.yml,TIMEOUT,error,61.023683673,61.062075676978566,1057185792,,,,,,,,,,,,
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_45-escape_racing.yml,false(unreach-call),correct,0.070901818,0.08047143707517534,26079232,1,1,8,0,0,2,2,6,1,1,3,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_46-escape_racefree.yml,true,correct,0.069773555,0.07940749602857977,26099712,1,1,19,0,0,2,2,10,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_01-simple_racing.yml,TIMEOUT,error,61.032589837,61.062046564067714,1057128448,,,,,,,,,,,,
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_11-ptr_racing.yml,TIMEOUT,error,61.033557406,61.061634049983695,1057128448,,,,,,,,,,,,
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_bad.yml,false(unreach-call),correct,0.076007423,0.08184889110270888,26066944,8,8,126,0,0,50,9,112,49,7,58,10
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-5.yml,true,correct,6.346576511,6.360037192935124,25964544,2771,2771,16239,0,0,36,4492,9505,2771,5163,5542,5542
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-6.yml,true,correct,31.627335331,31.663683514110744,26021888,12011,12011,72075,0,0,49,19270,42043,12011,21777,24022,24022
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-5.yml,false(unreach-call),correct,1.770620872,1.7765923381084576,26079232,642,642,3736,0,0,26,1108,2204,652,1405,1295,1275
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-6.yml,false(unreach-call),correct,9.322396373,9.36993035604246,26058752,2954,2954,17614,0,0,37,5010,10305,2969,6177,5924,5897
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-7.yml,false(unreach-call),correct,46.16553041,46.20307722198777,26034176,13252,13252,80554,0,0,50,22139,46931,13273,26672,26526,26491
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_24-sound_lock_racing.yml,TIMEOUT,error,61.034030904,61.062336340895854,1057181696,,,,,,,,,,,,
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/lazy01.yml,false(unreach-call),correct,0.07084684,0.07683500600978732,26066944,2,2,10,0,0,3,4,7,2,4,5,4
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_ok.yml,true,correct,4.181809629,4.197025130968541,26124288,3431,3431,22305,0,0,50,5147,12868,3431,5148,6862,6862
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/szymanski.yml,true,correct,0.071381663,0.07699272106401622,26034176,47,11,85,0,0,6,30,129,19,57,30,30
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker.yml,true,correct,0.066851787,0.07269472198095173,25993216,4,3,21,0,0,4,9,22,6,16,9,9
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker-unfair.yml,true,correct,0.068161396,0.07650651002768427,26038272,4,3,22,0,0,4,9,23,6,16,9,9
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind3-1.yml,false(unreach-call),correct,0.065828643,0.07392680796328932,26116096,0,0,2,0,0,1,2,3,1,2,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/exponential-nondet.yml,true,correct,0.06447907,0.073732536053285,26050560,0,0,0,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-1.yml,false(unreach-call),correct,0.073865439,0.0864025530172512,26079232,1,1,3,1,0,3,2,2,0,1,4,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-100.yml,false(unreach-call),correct,0.066477032,0.07151460601016879,26103808,1,1,3,1,0,3,2,2,0,1,4,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/butterfly.yml,true,correct,18.11547704,18.139658582978882,26136576,32161,19876,29854,993,161,21,89068,248693,76012,223322,96882,96882
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml,true,correct,0.064453223,0.07547440507914871,26005504,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_06-cond_racing1.yml,TIMEOUT,error,61.032405785,61.053614687989466,1057210368,,,,,,,,,,,,
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok.yml,true,correct,0.076296975,0.08311526803299785,26222592,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longer.yml,true,correct,1.196396411,1.2039584181038663,55472128,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longest.yml,true,correct,4.871883447,4.939399900962599,243027968,1,1,7,0,0,2,2,4,1,3,2,2
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_longer.yml,TIMEOUT,error,61.002356628,61.04451512102969,604536832,,,,,,,,,,,,
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue.yml,false(unreach-call),correct,0.096984615,0.10511874104849994,26173440,22,22,919,0,0,401,23,859,400,20,423,25
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton.yml,false(unreach-call),correct,0.069677853,0.07887032197322696,26230784,3,3,19,0,0,3,6,12,3,5,8,6
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton_with-uninit-problems.yml,true,correct,0.070341379,0.07609087601304054,26222592,3,3,23,0,0,3,7,13,3,9,7,7
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-C-DAC/pthread-demo-datarace-3.yml,false(unreach-call),correct,0.154921062,0.16251018305774778,26083328,40,40,1720,0,0,801,41,1660,800,40,841,41
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/reorder_2.yml,false(unreach-call),correct,0.151330125,0.16063819197006524,26189824,166,166,842,0,0,17,273,512,172,322,339,329
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/twostage_3.yml,false(unreach-call),correct,0.089186107,0.09465619910042733,26365952,11,9,64,0,0,10,16,45,15,20,26,17
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_1-join.yml,true,correct,0.06876126,0.07293753500562161,26206208,0,0,2,0,0,0,0,1,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_3-join.yml,false(unreach-call),correct,0.076757611,0.08853958395775408,26214400,2,2,15,0,0,3,3,9,2,1,5,4
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_2-join.yml,false(unreach-call),correct,0.068928218,0.07747421297244728,26226688,2,2,15,0,0,3,3,9,2,1,5,4
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-4_1-thread_local_vars.yml,true,correct,0.075223112,0.08581969398073852,26353664,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-2_1-container_of.yml,true,correct,0.072446474,0.08007887902203947,26357760,0,0,0,0,0,0,0,0,0,0,0,0
tso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-3_1-container_of-global.yml,true,correct,0.072645575,0.08478658401872963,26345472,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_66-mine-W-init_true.yml,true,correct,0.076486607,0.0823723670328036,25968640,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml,false(unreach-call),correct,0.079784685,0.08452207699883729,25948160,0,0,0,0,0,1,1,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_16-traces-unprot2_true.yml,true,correct,0.069061663,0.07426909205969423,25956352,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml,true,correct,0.077813048,0.079504719004035,25948160,0,0,3,1,1,1,1,1,0,1,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_47-refine-protected2_true.yml,true,correct,0.068560217,0.07256785605568439,25989120,1,1,15,8,8,6,10,4,1,11,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_46-refine-protected1_true.yml,true,correct,0.056784258,0.06359501497354358,26021888,0,0,8,4,4,4,4,2,0,4,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_11-traces-max-simple_true.yml,true,correct,0.068376587,0.07235535094514489,25989120,1,1,15,8,8,6,10,4,1,11,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml,false(unreach-call),correct,0.079191812,0.08356771408580244,26009600,1,1,16,6,0,8,2,7,1,1,9,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml,false(unreach-call),correct,0.068427316,0.07261577202007174,25952256,0,0,4,1,0,2,1,2,0,0,2,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_40-traces-ex-6_true.yml,true,correct,0.069611755,0.07368668494746089,25952256,1,1,16,6,6,7,8,8,1,9,8,8
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml,true,correct,0.071556218,0.07468727708328515,25997312,0,0,4,1,1,1,1,2,0,1,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_44-traces-mine2_true.yml,true,correct,0.068558925,0.07526273897383362,26013696,1,1,10,2,2,3,4,7,1,4,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml,false(unreach-call),correct,0.066088104,0.07338729395996779,26001408,1,1,4,1,0,3,2,3,1,1,4,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml,false(unreach-call),correct,0.0699529,0.07320985198020935,26001408,1,1,4,1,0,3,2,3,1,1,4,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_36-traces-ex-3_true.yml,true,correct,0.0704243,0.07554438197985291,25956352,2,2,42,23,23,12,27,10,2,29,27,27
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_true.yml,true,correct,0.067917766,0.07249693898484111,26071040,1,1,15,8,8,6,10,4,1,11,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_35-traces-ex-2_true.yml,true,correct,0.070939892,0.07798085699323565,26013696,3,3,46,26,26,18,32,15,3,33,32,32
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_37-traces-ex-4_true.yml,true,correct,0.07086387,0.08157155092339963,25968640,1,1,45,26,26,16,28,10,1,29,28,28
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml,true,correct,0.071057301,0.07667008007410914,25980928,3,3,46,26,26,18,32,15,3,33,32,32
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml,false(unreach-call),correct,0.064924606,0.07451628800481558,26034176,1,1,8,2,0,4,2,5,1,1,5,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml,false(unreach-call),correct,0.067015389,0.07219959003850818,26066944,0,0,1,0,0,1,1,1,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml,false(unreach-call),correct,0.058044424,0.06239324889611453,26071040,0,0,1,0,0,1,1,1,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml,false(unreach-call),correct,0.06756789,0.0739830470411107,26034176,1,1,8,2,0,4,2,5,1,1,5,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml,true,correct,0.071357075,0.0791067749960348,25935872,3,3,45,26,26,21,31,15,3,31,32,32
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_01-priv_nr_true.yml,true,correct,0.071316329,0.07624922809191048,26030080,1,1,15,8,8,6,10,4,1,11,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_true.yml,true,correct,0.07051122,0.07616266293916851,26054656,2,2,47,29,29,16,33,9,2,35,33,33
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml,true,correct,0.068158784,0.07673462992534041,25956352,1,1,36,18,18,13,20,9,1,21,20,20
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_33-traces-v-matters_true.yml,true,correct,0.068128028,0.07666966202668846,26050560,2,2,22,7,7,8,11,14,2,12,11,11
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_25-struct_nr_true.yml,true,correct,0.066779099,0.07354529295116663,26054656,1,1,15,8,8,6,10,4,1,11,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml,true,correct,0.070394959,0.07752249599434435,26083328,0,0,1,0,0,0,0,2,0,1,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml,false(unreach-call),correct,0.071788207,0.07756609003990889,26038272,0,0,5,1,0,2,1,3,0,0,2,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml,true,correct,0.07241463,0.07687523297499865,26005504,3,3,117,78,78,31,84,20,3,87,84,84
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_20-publish-regression_true.yml,true,correct,0.070014061,0.07678573799785227,26062848,1,1,31,16,16,10,18,8,1,19,18,18
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml,true,correct,0.068784801,0.07625109702348709,26042368,3,3,46,26,26,18,32,15,3,33,32,32
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml,true,correct,0.077450241,0.0896057829959318,26058752,4,4,112,70,70,34,78,26,4,80,78,78
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml,true,correct,0.068707793,0.08044839801732451,26066944,1,1,25,10,10,11,12,11,1,13,12,12
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml,true,correct,0.074272933,0.08012478495948017,26030080,0,0,1,0,0,0,0,2,0,1,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml,true,correct,0.071763957,0.07921777595765889,25989120,3,3,126,82,82,33,88,21,3,91,88,88
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_24-multiple-protecting_true.yml,true,correct,0.105121487,0.11160146503243595,26021888,6,6,515,414,414,137,426,49,6,432,426,426
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_21-traces-cluster-based_true.yml,true,correct,0.075470325,0.08176006702706218,26071040,8,7,118,73,73,27,88,30,8,94,88,88
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml,true,correct,0.068576712,0.07678005797788501,26005504,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml,true,correct,0.200194265,0.20775537798181176,26124288,28,25,1859,1510,1510,155,1553,167,28,1564,1563,1563
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/14_spin2003.yml,true,correct,0.064187417,0.07119622197933495,25985024,0,0,3,1,1,1,1,1,0,1,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/29_conditionals_vs.yml,true,correct,0.06602644,0.07304911396931857,25968640,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml,true,correct,0.072531907,0.09116331906989217,26038272,0,0,3,1,1,1,1,1,0,1,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/46_monabsex2_vs.yml,true,correct,0.077110695,0.0904765969607979,25972736,0,0,15,9,9,9,9,3,0,9,9,9
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/45_monabsex1_vs.yml,true,correct,0.071054384,0.073652921942994,26021888,0,0,8,4,4,4,4,2,0,4,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-1.yml,false(unreach-call),correct,0.074089888,0.09339420299511403,26107904,2,2,52,36,0,41,3,20,4,10,43,3
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-2.yml,true,correct,0.078280312,0.084282046998851,26136576,5,5,135,104,104,40,112,31,5,126,114,114
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/time_var_mutex.yml,true,correct,0.074397723,0.0962414089590311,26091520,1,1,26,16,16,13,18,9,1,23,18,18
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/01b_inc.yml,true,correct,0.066588649,0.07332774100359529,25968640,0,0,11,5,5,5,5,3,0,5,5,5
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-1.yml,TIMEOUT,error,60.971338426,61.01482393895276,26116096,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-2.yml,false(unreach-call),correct,21.039629016,21.063868363038637,26046464,3648,3648,262766,242312,241818,624,248041,12076,3668,249550,249629,249105
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/02_inc_cas.yml,true,correct,0.067269303,0.07378443505149335,25993216,0,0,1,0,0,0,0,1,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_21-deref_read_racing.yml,false(unreach-call),correct,3.150559653,3.1720236140536144,56291328,0,0,1,0,0,1,1,1,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs.yml,true,correct,0.068758558,0.0739847719669342,26099712,0,0,8,4,4,4,4,2,0,4,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_37-indirect_racing.yml,TIMEOUT,error,60.920529533,61.05829613900278,1057103872,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_45-escape_racing.yml,false(unreach-call),correct,0.070054193,0.07731614890508354,25989120,1,1,11,3,0,5,2,6,1,1,6,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_46-escape_racefree.yml,true,correct,0.06968463,0.07624924799893051,26087424,1,1,45,26,26,16,28,10,1,29,28,28
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_01-simple_racing.yml,TIMEOUT,error,61.016030445,61.05927339394111,1057193984,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_11-ptr_racing.yml,TIMEOUT,error,61.030050529,61.06187315995339,1057112064,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_bad.yml,false(unreach-call),correct,0.103577531,0.11006403702776879,26132480,8,8,1022,896,168,945,177,175,49,238,954,178
