archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	0	29	6092	0	8307	0	0	0	1	0	0	339433	24	628099	342	1832	1832	14	25	30	1083802	0	11896	0	31	0	0	1086877	0	11896	0	0	0	0	1555152	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_true.yml.log	0	32	5478	0	7504	0	0	0	1	0	0	271471	22	642857	254	1688	1688	15	23	33	876304	0	10984	0	35	0	0	883613	0	10984	0	0	0	0	1262996	2	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	0	0	860	0	0	0	0	0	1	0	0	24686	13	639053	108	968	968	0	13	1	38035	0	6424	0	1	0	0	43188	0	6424	0	0	0	0	74126	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	0	28	6311	0	7907	0	0	0	1	0	0	333940	24	628099	342	1832	1832	14	25	29	1063614	0	11896	0	30	0	0	1071300	0	11896	0	0	0	0	1529639	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_42-traces-ex-mini_true.yml.log	0	19	5071	0	5877	0	0	0	1	0	0	254298	25	627599	388	1904	1904	12	26	20	764000	0	12352	0	21	0	0	770597	0	12352	0	0	0	0	1114049	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_01-priv_nr_true.yml.log	0	9	3448	0	3549	0	0	0	1	0	0	139108	21	580498	256	1616	1616	10	22	10	377947	0	10528	0	11	0	0	379798	0	10528	0	0	0	0	567638	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_25-struct_nr_true.yml.log	0	9	3006	0	3532	0	0	0	1	0	0	129465	21	580498	256	1616	1616	10	22	10	382373	0	10528	0	11	0	0	383677	0	10528	0	0	0	0	560916	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	837	0	0	0	0	0	1	0	0	17700	10	640000	64	752	752	0	10	1	35174	0	5056	0	1	0	0	35676	0	5056	0	0	0	0	59575	0	0	0
