variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.066725451	0.20446077699307352	26038272		1345612	30	2192	2192	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	0.064351213	0.10551184101495892	26075136		1178038	36	2624	2624	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	0.059384876	0.0931502248859033	25956352		152553	27	1976	1976	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.064759734	0.15927726204972714	25968640		194081	28	2048	2048	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.063708774	0.126909383921884	25985024		437226	25	1832	1832	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.060421452	0.13064968097023666	25960448		317211	22	1616	1616	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	0.060937358	0.14070129895117134	25948160		388311	25	1832	1832	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	0.059857698	0.08877623302396387	25956352		380595	25	1832	1832	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	0.05938085	0.09599320904817432	25935872		116063	21	1544	1544	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	false(unreach-call)	correct	0.062598319	0.10924411891028285	25976832		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
