metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	80	1.0012054721876853	0.9954834763056389	1.0068189684090083	1.001784196320001	0.9110721212260928	1.0
cpu	sc	90	0.9994364584381035	0.9925194103133359	1.0059192257116993	1.0035934644048878	0.46079247271897156	1.0
cpu	tso	89	1.0051468225677285	0.9964857793593509	1.0139359249878903	1.0071550199949377	0.5250147872924269	1.0
cpu	pso	80	1.0058222937670556	0.9959599685443241	1.0160355856418386	1.0029999766757867	0.4340422553454787	1.0
wall	all	80	1.0017083258628907	0.9816164229181625	1.0261844427008038	0.9959639314601243	0.2185180394787037	0.8740721579148149
wall	sc	90	1.0122573690535932	0.9877238630361099	1.0399654645319978	1.0007950553164755	1.0	1.0
wall	tso	89	1.0221485971513593	0.9967187341424613	1.0530106391644138	1.005924026171024	0.5250147872924269	1.0
wall	pso	80	0.9746438072939464	0.9461049506597518	1.0036368680986625	0.9904337012876012	0.2185180394787037	0.8740721579148149
memory	all	80	0.9999890190566865	0.999803986467642	1.0001940743239321	0.9998980865480793	0.31430657986393706	0.9429197395918112
memory	sc	90	0.999808868817286	0.9995964406794288	1.0000292486062232	0.9998813408662659	0.23537986221105522	0.9415194488442209
memory	tso	89	1.0001440605478251	0.9998879699628419	1.0004072090944158	1.0	0.6569924675863579	1.0
memory	pso	80	1.0000430187392673	0.9997645861673249	1.0003387628447162	1.0	1.0	1.0
