task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	benchmark-consistent	0.074184341s	0.07642445003148168s	25694208B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	true	wrong	conditional-input-miss	0.066986901s	0.06822104199090973s	25559040B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	benchmark-consistent	0.069615327s	0.07432622602209449s	25690112B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	benchmark-consistent	0.070832824s	0.07346925098681822s	25620480B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.065952907s	0.07281813398003578s	25661440B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	benchmark-consistent	0.065534185s	0.0735560329630971s	25681920B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	benchmark-consistent	0.055348045s	0.06070192198967561s	25702400B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.064886941s	0.06905798800289631s	25665536B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	true	wrong	conditional-input-miss	0.069078248s	0.07563733001006767s	25772032B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	benchmark-consistent	0.072453328s	0.07838739798171446s	25698304B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	benchmark-consistent	0.066403164s	0.07301318895770237s	25632768B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	benchmark-consistent	0.068624427s	0.07141923595918342s	25673728B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	benchmark-consistent	0.072235109s	0.07560209801886231s	25694208B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	benchmark-consistent	0.075672201s	0.0780847670393996s	25681920B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	benchmark-consistent	0.069462322s	0.07467142603127286s	25726976B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	correct	benchmark-consistent	0.067172389s	0.07250796700827777s	25653248B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	correct	benchmark-consistent	0.061155234s	0.0685321040218696s	25661440B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	true	wrong	conditional-input-miss	0.066930048s	0.07286839396692812s	25735168B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	benchmark-consistent	0.072851712s	0.08052414702251554s	25751552B			shard1/fair-census-shard1.2026-07-15_17-01-43.results.genmc-fair-sc.unreach-call.xml.bz2
