baseline	backend	paired_tasks	wall_ratio_geomean	bootstrap_95ci_low	bootstrap_95ci_high	cpu_ratio_geomean	cpu_95ci_low	cpu_95ci_high	memory_ratio_geomean	memory_95ci_low	memory_95ci_high	backend_faster	baseline_faster	ties	exact_sign_p	holm_p
GenMC	Deagle	375	5.29121	4.06603	6.83277	5.52282	4.23306	7.20335	1.01895	0.920329	1.1288	63	312	0	9.53873e-41	4.76937e-40
GenMC	GenMC+CAAT	394	1.28535	1.22276	1.35293	1.16232	1.10484	1.22622	1.02263	1.0049	1.04641	183	211	0	0.173677	0.173677
GenMC	GenMC+CAT	355	1.67894	1.50677	1.88624	1.39319	1.24038	1.57996	1.02362	1.00366	1.05156	95	260	0	7.30217e-19	2.19065e-18
GenMC+CAT	GenMC+CAAT	355	0.692344	0.628602	0.756588	0.745772	0.677823	0.814432	0.99996	0.995059	1.00579	250	105	0	9.01692e-15	1.80338e-14
GenMC+CAT	Deagle	325	6.68705	5.2	8.59114	8.59454	6.54904	11.29	1.12004	1.00402	1.25475	41	284	0	7.10963e-46	4.26578e-45
GenMC+CAAT	Deagle	362	5.26845	3.99226	6.82472	6.13995	4.65571	8.0267	1.04026	0.938883	1.15298	64	298	0	3.25231e-37	1.30092e-36
