repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T01:32:17+00:00
02	28-51	0-23	0	0	2026-07-17T01:33:21+00:00
03	0-23	28-51	0	0	2026-07-17T01:34:24+00:00
04	28-51	0-23	0	0	2026-07-17T01:35:27+00:00
