model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_40-traces-ex-6_true.yml,true,correct,0.06948684,0.07542646105866879,26071040,1,1,10,0,0,2,2,2,8,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml,true,correct,0.067704197,0.08010953990742564,26050560,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_44-traces-mine2_true.yml,true,correct,0.071723282,0.07709905703086406,26013696,1,1,8,0,0,2,1,2,7,1,0,0,1,2,2,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml,false(unreach-call),correct,0.067955388,0.07422643806785345,26071040,1,1,3,0,0,2,2,2,3,1,1,1,1,1,1,3,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml,false(unreach-call),correct,0.069998202,0.07935216499026865,26054656,1,1,3,0,0,2,2,2,3,1,1,1,1,1,1,3,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_36-traces-ex-3_true.yml,true,correct,0.07074409,0.08168796601239592,26009600,2,2,19,0,0,3,2,4,10,2,2,2,2,2,6,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_true.yml,true,correct,0.070914574,0.07540336798410863,26083328,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_35-traces-ex-2_true.yml,true,correct,0.076627661,0.08722335891798139,25989120,3,3,20,0,0,4,2,6,15,3,1,1,3,5,7,6,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_37-traces-ex-4_true.yml,true,correct,0.07374029,0.07750417792703956,26038272,1,1,19,0,0,2,2,2,10,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml,true,correct,0.07404163,0.08555916394107044,25952256,3,3,20,0,0,4,2,6,15,3,1,1,3,5,7,6,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml,false(unreach-call),correct,0.068473126,0.0732085530180484,26009600,1,1,6,0,0,2,2,2,5,1,1,1,1,1,1,3,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml,false(unreach-call),correct,0.070178478,0.07954682596027851,26030080,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml,false(unreach-call),correct,0.071582142,0.07998514408245683,26062848,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml,false(unreach-call),correct,0.076302813,0.0808112210361287,26013696,1,1,6,0,0,2,2,2,5,1,1,1,1,1,1,3,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml,true,correct,0.070110986,0.08093090995680541,26025984,3,3,19,0,0,4,3,5,15,3,2,1,2,3,5,6,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_01-priv_nr_true.yml,true,correct,0.07574534,0.0806454389821738,26025984,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_true.yml,true,correct,0.067868385,0.07462673599366099,26099712,2,2,18,0,0,3,2,4,9,2,2,2,2,2,6,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml,true,correct,0.069728508,0.07410594297107309,26050560,1,1,18,0,0,2,2,2,9,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_33-traces-v-matters_true.yml,true,correct,0.068273309,0.07610313803888857,26058752,2,2,15,0,0,2,2,4,14,2,1,1,2,3,5,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_25-struct_nr_true.yml,true,correct,0.071776002,0.07821798592340201,26017792,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml,true,correct,0.074592642,0.0769673848990351,26083328,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml,false(unreach-call),correct,0.072899659,0.08100786700379103,26009600,0,0,4,0,0,1,0,1,3,0,0,0,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml,true,correct,0.077567617,0.08104486798401922,26005504,3,3,39,0,0,4,2,6,20,3,3,3,3,3,9,6,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_20-publish-regression_true.yml,true,correct,0.0716387,0.08011637500021607,26042368,1,1,15,0,0,2,2,2,8,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml,true,correct,0.071798256,0.07726348901633173,26099712,3,3,20,0,0,4,2,6,15,3,1,1,3,5,7,6,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml,true,correct,0.076736934,0.08580882498063147,26071040,4,4,42,0,0,5,2,8,26,4,2,2,4,6,10,8,8
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml,true,correct,0.071204458,0.0755741789471358,26001408,1,1,15,0,0,2,2,2,11,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml,true,correct,0.072952572,0.07808320201002061,26062848,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml,true,correct,0.07702716,0.08531221398152411,26091520,3,3,44,0,0,4,2,6,21,3,3,3,3,3,9,6,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_24-multiple-protecting_true.yml,true,correct,0.083266288,0.09098634799011052,26091520,6,6,101,0,0,5,2,12,49,6,6,6,6,6,18,12,12
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_21-traces-cluster-based_true.yml,true,correct,0.080820123,0.08505907305516303,26091520,8,7,45,0,0,4,2,15,30,8,5,5,8,11,21,15,15
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml,true,correct,0.078338607,0.08264292206149548,26054656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml,true,correct,0.123574463,0.12945936701726168,26095616,28,25,349,0,0,9,4,43,167,28,28,18,18,18,54,53,53
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/14_spin2003.yml,true,correct,0.075874458,0.0791699510300532,25939968,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
