adapter-ns	adaptive-offline	checkpoint-ns	copy-ns	cpu_s	equality-ns	eval-ops	evicted	has_statistics	history-ns	initialize	insert	insert-attempt-ns	lazy-cycle-checks	lazy-depth-fallbacks	lazy-edge-candidates	materialize-ns	max-active-events	max-base-relation-density-ppm	max-base-relation-pairs	max-current-base-bytes	max-history-base-bytes	max-inactive-events	max-stable-events	model	offline-evals	offline-ns	oracle	peak-snapshot-equivalent-bytes	peak-undo-bytes	preventive-all-pruned-fallbacks	preventive-co-candidates	preventive-co-pruned	preventive-lookup-ns	preventive-prefix-inconsistent	preventive-prefix-queries	preventive-rf-candidates	preventive-rf-pruned	profiled-queries	queue-pushes	rebuild	rebuild-ns	repetition	replace	retained-snapshot-equivalent-bytes	retained-undo-bytes	rollback	rollback-insert	rollback-ns	status	sync-ns	task	unchanged	value-changes	worklist-ns
0	26	9716	0	0.066256188	8742	0	0	True	0	1	0	0	54	0	666	385292	21	650887	270	1616	1616	16	22	pso	27	657034	0	4360	0	0	0	0	0	0	0	0	0	29	0	0	660975	r01	0	4360	0	0	0	0	true	1171619	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	2	0	0
0	29	10532	0	0.071329115	9452	0	0	True	0	1	0	0	60	0	766	464099	24	628099	342	1832	1832	14	25	pso	30	746703	0	4888	0	0	0	0	0	0	0	0	0	31	0	0	757877	r01	0	4888	0	0	0	0	true	1372685	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	1	0	0
0	29	10658	0	0.071350362	8727	0	0	True	0	1	0	0	60	0	761	458558	24	628099	342	1832	1832	14	25	pso	30	735477	0	4888	0	0	0	0	0	0	0	0	0	31	0	0	744877	r01	0	4888	0	0	0	0	true	1345270	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	1	0	0
0	27	6882	0	0.062277116	6124	0	0	True	0	1	0	0	56	0	604	296523	24	614958	342	1832	1832	14	25	pso	28	497519	0	4888	0	0	0	0	0	0	0	0	0	29	0	0	500641	r01	0	4888	0	0	0	0	true	894639	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	1	0	0
0	0	1136	0	0.069799266	0	0	0	True	0	1	0	0	2	0	43	35103	13	639053	108	968	968	0	13	pso	1	41887	0	2776	0	0	0	0	0	0	0	0	0	1	0	0	48675	r01	0	2776	0	0	0	0	false(unreach-call)	91430	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	0	0	0
0	0	0	0	0.074749931	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	false(unreach-call)	0	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0
0	0	1049	0	0.065793283	0	0	0	True	0	1	0	0	2	0	43	31087	13	639053	108	968	968	0	13	pso	1	47480	0	2776	0	0	0	0	0	0	0	0	0	1	0	0	48283	r01	0	2776	0	0	0	0	false(unreach-call)	86339	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	0	0	0
0	28	9990	0	0.062799123	8486	0	0	True	0	1	0	0	58	0	797	573071	24	628099	342	1832	1832	14	25	pso	29	856173	0	4888	0	0	0	0	0	0	0	0	0	30	0	0	860145	r01	0	4888	0	0	0	0	true	1569830	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	1	0	0
0	0	0	0	0.070394512	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	false(unreach-call)	0	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0
0	9	4671	0	0.075276633	3913	0	0	True	0	1	0	0	20	0	590	185560	21	580498	256	1616	1616	10	22	pso	10	317559	0	4360	0	0	0	0	0	0	0	0	0	11	0	0	319404	r01	0	4360	0	0	0	0	true	558189	c/goblint-regression/13-privatized_01-priv_nr_true.yml	1	0	0
0	19	5156	0	0.060325908	4762	0	0	True	0	1	0	0	40	0	596	238268	25	627599	388	1904	1904	12	26	pso	20	391897	0	5064	0	0	0	0	0	0	0	0	0	21	0	0	394359	r01	0	5064	0	0	0	0	true	704105	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	1	0	0
0	32	10273	0	0.069898468	9690	0	0	True	0	1	0	0	66	0	1041	465478	22	642857	254	1688	1688	15	23	pso	33	830326	0	4536	0	0	0	0	0	0	0	0	0	35	0	0	834362	r01	0	4536	0	0	0	0	true	1448375	c/goblint-regression/13-privatized_19-publish-precision_true.yml	2	0	0
