backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-sc	r02	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.056617342	0.0634539210004732	25817088	0		2026-07-15T03:07:08.312473+00:00	1	2									
caat-sc	r03	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.056484878	0.06291972799226642	25751552	0		2026-07-15T03:08:12.355806+00:00	1	2									
caat-sc	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.061151593	0.06318817799910903	25788416	0		2026-07-15T03:06:04.539151+00:00	1	1									
caat-sc	r02	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.055059357	0.06059987796470523	25866240	0		2026-07-15T03:07:08.455506+00:00	1	1									
caat-sc	r03	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.055972922	0.06433318799827248	25804800	0		2026-07-15T03:08:12.475552+00:00	1	1									
caat-sc	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.057649781	0.06279654701938853	25751552	0		2026-07-15T03:06:04.244303+00:00	2	2									
caat-sc	r02	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.056761202	0.06208259001141414	25780224	0		2026-07-15T03:07:08.092234+00:00	2	2									
caat-sc	r03	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.057946492	0.06810025998856872	25743360	0		2026-07-15T03:08:12.174196+00:00	2	2									
caat-sc	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	unreach-call	true	true	correct	0.064782889	0.06907521199900657	25825280	0		2026-07-15T03:06:04.144801+00:00	3										
caat-sc	r02	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	unreach-call	true	true	correct	0.056266692	0.0592400569585152	25825280	0		2026-07-15T03:07:07.975070+00:00	3										
caat-sc	r03	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	unreach-call	true	true	correct	0.069173544	0.07304444198962301	25825280	0		2026-07-15T03:08:12.100924+00:00	3										
caat-sc	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	unreach-call	true	true	correct	0.065735754	0.07447829598095268	25821184	0		2026-07-15T03:06:04.261560+00:00	2										
caat-sc	r02	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	unreach-call	true	true	correct	0.068453949	0.0835220460430719	25829376	0		2026-07-15T03:07:08.108110+00:00	2										
caat-sc	r03	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	unreach-call	true	true	correct	0.071886865	0.07414733100449666	25825280	0		2026-07-15T03:08:12.190831+00:00	2										
caat-sc	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	unreach-call	true	true	correct	0.058676461	0.0630405200063251	25747456	0		2026-07-15T03:06:04.255382+00:00	2	2									
caat-sc	r02	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	unreach-call	true	true	correct	0.052492918	0.06406583799980581	25792512	0		2026-07-15T03:07:08.125225+00:00	2	2									
caat-sc	r03	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	unreach-call	true	true	correct	0.065036913	0.07110873196506873	25837568	0		2026-07-15T03:08:12.199006+00:00	2	2									
caat-sc	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	unreach-call	true	true	correct	0.068943566	0.07160692499019206	25731072	0		2026-07-15T03:06:04.082148+00:00	1	1									
caat-sc	r02	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	unreach-call	true	true	correct	0.072536055	0.07473594398470595	25821184	0		2026-07-15T03:07:07.906692+00:00	1	1									
caat-sc	r03	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	unreach-call	true	true	correct	0.066543265	0.07187190797412768	25833472	0		2026-07-15T03:08:12.040254+00:00	1	1									
caat-sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.070708412	0.07588675699662417	25829376	42		2026-07-15T03:06:04.071836+00:00	0										
caat-sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.068122713	0.07343941199360415	25821184	42		2026-07-15T03:07:07.894370+00:00	0										
caat-sc	r03	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.063901997	0.06936426600441337	25808896	42		2026-07-15T03:08:12.026461+00:00	0										
caat-sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.077063221	0.0796715869801119	25821184	42		2026-07-15T03:06:04.067525+00:00	0										
caat-sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.065312231	0.07076642295578495	25751552	42		2026-07-15T03:07:07.882535+00:00	0										
caat-sc	r03	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.069638844	0.07471633603563532	25759744	42		2026-07-15T03:08:12.011722+00:00	0										
caat-sc	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	unreach-call	true	true	correct	0.077424095	0.07900500600226223	25825280	0		2026-07-15T03:06:04.383601+00:00	2										
caat-sc	r02	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	unreach-call	true	true	correct	0.057182	0.06256056402344257	25808896	0		2026-07-15T03:07:08.302213+00:00	2										
caat-sc	r03	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	unreach-call	true	true	correct	0.066596782	0.07211424905108288	25849856	0		2026-07-15T03:08:12.339275+00:00	2										
caat-sc	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	unreach-call	true	true	correct	0.066553335	0.07210393098648638	25845760	0		2026-07-15T03:06:04.114837+00:00	1	1									
caat-sc	r02	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	unreach-call	true	true	correct	0.069238684	0.07673409098060802	25825280	0		2026-07-15T03:07:07.932644+00:00	1	1									
caat-sc	r03	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	unreach-call	true	true	correct	0.066607952	0.07353968400275335	25800704	0		2026-07-15T03:08:12.063356+00:00	1	1									
caat-sc	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	unreach-call	true	true	correct	0.071496248	0.07364304101793095	25862144	0		2026-07-15T03:06:04.348400+00:00	2	2									
caat-sc	r02	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	unreach-call	true	true	correct	0.066394994	0.07323132402962074	25759744	0		2026-07-15T03:07:08.221351+00:00	2	2									
caat-sc	r03	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	unreach-call	true	true	correct	0.055300325	0.06346487102564424	25829376	0		2026-07-15T03:08:12.285123+00:00	2	2									
caat-sc	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	unreach-call	true	true	correct	0.070404019	0.0722265059594065	25825280	0		2026-07-15T03:06:04.048487+00:00	1										
caat-sc	r02	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	unreach-call	true	true	correct	0.076330351	0.08175753697287291	25825280	0		2026-07-15T03:07:07.865461+00:00	1										
caat-sc	r03	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	unreach-call	true	true	correct	0.068446278	0.07726488402113318	25821184	0		2026-07-15T03:08:11.989319+00:00	1										
caat-sc	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	unreach-call	true	true	correct	0.065032639	0.06935206899652258	25825280	0		2026-07-15T03:06:04.039966+00:00	2										
caat-sc	r02	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	unreach-call	true	true	correct	0.066000572	0.07075261796126142	25776128	0		2026-07-15T03:07:07.856169+00:00	2										
caat-sc	r03	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	unreach-call	true	true	correct	0.068280883	0.07473194500198588	25825280	0		2026-07-15T03:08:11.980892+00:00	2										
caat-sc	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	unreach-call	true	true	correct	0.068737358	0.07358585996553302	25825280	0		2026-07-15T03:06:04.032227+00:00	1										
caat-sc	r02	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	unreach-call	true	true	correct	0.07005816	0.07415811100509018	25714688	0		2026-07-15T03:07:07.849306+00:00	1										
caat-sc	r03	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	unreach-call	true	true	correct	0.067405773	0.07315852300962433	25735168	0		2026-07-15T03:08:11.971235+00:00	1										
caat-sc	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	unreach-call	true	true	correct	0.066822486	0.07013357803225517	25710592	0		2026-07-15T03:06:04.097534+00:00	1										
caat-sc	r02	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	unreach-call	true	true	correct	0.061080696	0.06585301895393059	25829376	0		2026-07-15T03:07:07.918292+00:00	1										
caat-sc	r03	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	unreach-call	true	true	correct	0.060614321	0.06505430600373074	25825280	0		2026-07-15T03:08:12.052469+00:00	1										
caat-sc	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	unreach-call	true	true	correct	0.067076996	0.07394842297071591	25829376	0		2026-07-15T03:06:04.010545+00:00	1										
caat-sc	r02	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	unreach-call	true	true	correct	0.068259462	0.07382271002279595	25694208	0		2026-07-15T03:07:07.824052+00:00	1										
caat-sc	r03	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	unreach-call	true	true	correct	0.073561246	0.07647793198702857	25690112	0		2026-07-15T03:08:11.946080+00:00	1										
caat-sc	r01	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	unreach-call	true	true	correct	0.074700997	0.08184683200670406	25849856	0		2026-07-15T03:06:04.558011+00:00	0	1									
caat-sc	r02	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	unreach-call	true	true	correct	0.067175684	0.07464100600918755	25829376	0		2026-07-15T03:07:08.495401+00:00	0	1									
caat-sc	r03	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	unreach-call	true	true	correct	0.05953262	0.06733315897872671	25845760	0		2026-07-15T03:08:12.484913+00:00	0	1									
caat-sc	r01	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	unreach-call	true	true	correct	0.067252407	0.07143974798964337	25817088	0		2026-07-15T03:06:04.408728+00:00	0	1									
caat-sc	r02	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	unreach-call	true	true	correct	0.062748828	0.06524066004203632	25825280	0		2026-07-15T03:07:08.327026+00:00	0	1									
caat-sc	r03	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	unreach-call	true	true	correct	0.061037201	0.06281654996564612	25919488	0		2026-07-15T03:08:12.351634+00:00	0	1									
caat-sc	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	OUT OF MEMORY	error	21.890947817	21.893524923012592	3999997952		9	2026-07-15T03:06:04.923138+00:00											
caat-sc	r02	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	OUT OF MEMORY	error	22.867169919	22.872597572975792	3999997952		9	2026-07-15T03:07:08.976333+00:00											
caat-sc	r03	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	OUT OF MEMORY	error	23.034691094	23.043500106956344	3999997952		9	2026-07-15T03:08:12.837035+00:00											
caat-sc	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	OUT OF MEMORY	error	22.649877652	22.656062568014022	3999997952		9	2026-07-15T03:06:05.763977+00:00											
caat-sc	r02	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	OUT OF MEMORY	error	23.376437856	23.383369479037356	3999997952		9	2026-07-15T03:07:09.942591+00:00											
caat-sc	r03	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	OUT OF MEMORY	error	21.352566643	21.35895356698893	3999997952		9	2026-07-15T03:08:13.707774+00:00											
caat-sc	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	OUT OF MEMORY	error	22.21278778	22.218173086002935	3999997952		9	2026-07-15T03:06:04.932995+00:00											
caat-sc	r02	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	OUT OF MEMORY	error	23.445650168	23.450841813988518	3999997952		9	2026-07-15T03:07:09.004073+00:00											
