index	kind	model	program	sha256	arguments	expected_sc	builtin_status	cat_status	classification	builtin_signature	cat_signature
94	correct	tso	correct/litmus/SB+2sc+scf/variants/sb+2sc+scf0.c	237f9c2d57c58e15c30786e17d61cf6ffe0f59904e9800e814629f7e839c24b3	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
95	correct	sc	correct/litmus/SB+3sc+acq/variants/sb+3sc+acq0.c	808d92ba4cea607da3a85c6b43eeccc63a5acb922dd540b755e03e28683cb348	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
95	correct	tso	correct/litmus/SB+3sc+acq/variants/sb+3sc+acq0.c	808d92ba4cea607da3a85c6b43eeccc63a5acb922dd540b755e03e28683cb348	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
96	correct	sc	correct/litmus/SB+3sc+rel/variants/sb+3sc+rel0.c	bd96c9282cf5b7e1efe046ec631610dce6abe36766fbfceaaeab6ffc8310d471	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
96	correct	tso	correct/litmus/SB+3sc+rel/variants/sb+3sc+rel0.c	bd96c9282cf5b7e1efe046ec631610dce6abe36766fbfceaaeab6ffc8310d471	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
97	correct	sc	correct/litmus/SB+4sc/variants/sb+4sc0.c	d28337b8c311c7031f9d2b7afc8ef1f52c6c5853b5e93c235fc9c48ef702f05b	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
97	correct	tso	correct/litmus/SB+4sc/variants/sb+4sc0.c	d28337b8c311c7031f9d2b7afc8ef1f52c6c5853b5e93c235fc9c48ef702f05b	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
98	correct	sc	correct/litmus/SB+assert/variants/SB+assert0.c	fc660b0e9edb9c511c3a5bbe2979992b727a9a09313d772bd82f58effbea2fa6	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
98	correct	tso	correct/litmus/SB+assert/variants/SB+assert0.c	fc660b0e9edb9c511c3a5bbe2979992b727a9a09313d772bd82f58effbea2fa6	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
99	correct	sc	correct/litmus/SB+assert/variants/SB+assert1.c	a71680f444e297a114571470971d6f6472965d1ba8f3ca8a45f8f574a8a9602c	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
99	correct	tso	correct/litmus/SB+assert/variants/SB+assert1.c	a71680f444e297a114571470971d6f6472965d1ba8f3ca8a45f8f574a8a9602c	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
100	correct	sc	correct/litmus/SB+rfis/variants/SB+rfis0.c	40cefe3fc7303310c6ea41aa7f235ffacec699a3c6fb6f57ca483fb7f2baca0f	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
100	correct	tso	correct/litmus/SB+rfis/variants/SB+rfis0.c	40cefe3fc7303310c6ea41aa7f235ffacec699a3c6fb6f57ca483fb7f2baca0f	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
101	correct	sc	correct/litmus/SB+scfs/variants/sb+scfs0.c	6d2b5245c74f9d2e8a24a8db4e58e7f5502a6290af72a210983e73264d31ebbb	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
101	correct	tso	correct/litmus/SB+scfs/variants/sb+scfs0.c	6d2b5245c74f9d2e8a24a8db4e58e7f5502a6290af72a210983e73264d31ebbb	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
102	correct	sc	correct/litmus/SB/variants/sb0.c	71b41783cc8dd69c39118a4c452df25919c17712ec6c0d85193b7717cc027f93	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
