repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T00:38:15+00:00
02	28-51	0-23	0	0	2026-07-17T00:39:18+00:00
03	0-23	28-51	0	0	2026-07-17T00:40:21+00:00
04	28-51	0-23	0	0	2026-07-17T00:41:25+00:00
