repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T00:08:43+00:00
02	28-51	0-23	0	0	2026-07-17T00:09:47+00:00
03	0-23	28-51	0	0	2026-07-17T00:10:50+00:00
04	28-51	0-23	0	0	2026-07-17T00:11:53+00:00
