baseline_runtime_bin	backend	tasks	all_repetitions_solved	wall_ratio_geomean	memory_ratio_geomean
lt-0.1s	caat-tso	79	79	1.07501	1.04333
lt-0.1s	cat-tso	79	79	1.21628	1.04819
lt-0.1s	genmc-tso	79	79	1	1
0.1-1s	caat-tso	5	5	12.6214	2.17144
0.1-1s	cat-tso	5	1	59.6661	1.01009
0.1-1s	genmc-tso	5	5	1	1
1-10s	caat-tso	12	5	5.25954	1.009
1-10s	cat-tso	12	2	3.46876	1.00736
1-10s	genmc-tso	12	12	1	1
