repetition	baseline_cores	pruning_cores	baseline_status	pruning_status	finished
01	0-23	28-51	0	0	2026-07-17T00:27:13+00:00
02	28-51	0-23	0	0	2026-07-17T00:28:16+00:00
03	0-23	28-51	0	0	2026-07-17T00:29:20+00:00
04	28-51	0-23	0	0	2026-07-17T00:30:23+00:00
